5672_75791_000000_000000	When it was the Five Hundred and Sixty-sixth Night,	When it was the Five Hundred and Sixty sixth Night,	true	27.3	30.25	22.482944
5672_75791_000001_000000	She said, It hath reached me, O auspicious King, that Sindbad the Seaman thus continued:--When I smote the serpent on the head with my golden staff she cast the man forth of her mouth.	She said, It hath reached me, O auspicious King, that Sindbad the Seaman thus continued:--When I smote the serpent on the head with my golden staff she cast the man forth of her mouth.	true	30.26	41.145	24.866484
5672_75791_000001_000001	Then I smote her a second time, and she turned and fled; whereupon he came up to me and said, "Since my deliverance from yonder serpent hath been at thy hands I will never leave thee, and thou shalt be my comrade on this mountain." "And welcome," answered I; so we fared on along the mountain, till we fell in with a company of folk, and I looked and saw amongst them the very man who had carried me and cast me down there.	Then I smote her a second time, and she turned and fled; whereupon he came up to me and said, "Since my deliverance from yonder serpent hath been at thy hands I will never leave thee, and thou shalt be my comrade on this mountain." "And welcome," answered I; so we fared on along the mountain, till we fell in with a company of folk, and I looked and saw amongst them the very man who had carried me and cast me down there.	false	41.145	65.32	24.798904
5672_75791_000001_000002	I went up to him and spake him fair, excusing myself to him and saying, "O my comrade, it is not thus that friend should deal with friend." Quoth he, "It was thou who well-nigh destroyed us by thy Tasbih and thy glorifying God on my back." Quoth I, "Pardon me, for I had no knowledge of this matter; but, if thou wilt take me with thee, I swear not to say a word." So he relented and consented to carry me with him, but he made an express condition that, so long as I abode on his back, I should abstain from pronouncing the Tasbih or otherwise glorifying God.	I went up to him and spake him fair, excusing myself to him and saying, "O my comrade, it is not thus that friend should deal with friend." Quoth he, "It was thou who well nigh destroyed us by thy Tasbih and thy glorifying God on my back." Quoth I, "Pardon me, for I had no knowledge of this matter; but, if thou wilt take me with thee, I swear not to say a word." So he relented and consented to carry me with him, but he made an express condition that, so long as I abode on his back, I should abstain from pronouncing the Tasbih or otherwise glorifying God.	false	65.54	103.42	24.796503
5672_75791_000001_000003	Then I gave the wand of gold to him whom I had delivered from the serpent and bade him farewell, and my friend took me on his back and flew with me as before, till he brought me to the city and set me down in my own house.	Then I gave the wand of gold to him whom I had delivered from the serpent and bade him farewell, and my friend took me on his back and flew with me as before, till he brought me to the city and set me down in my own house.	true	103.79	116.83	23
5672_75791_000001_000004	My wife came to meet me and saluting me gave me joy of my safety and then said, "Beware of going forth hereafter with yonder folk, neither consort with them, for they are brethren of the devils, and know not how to mention the name of Allah Almighty; neither worship they Him." "And how did thy father with them?" asked I; and she answered, "My father was not of them, neither did he as they; and as now he is dead methinks thou hadst better sell all we have and with the price buy merchandise and journey to thine own country and people, and I with thee; for I care not to tarry in this city, my father and my mother being dead." So I sold all the Shaykh's property piecemeal, and looked for one who should be journeying thence to Bassorah that I might join myself to him. And while thus doing I heard of a company of townsfolk who had a mind to make the voyage, but could not find them a ship; so they bought wood and built them a great ship wherein I took passage with them, and paid them all the hire.	My wife came to meet me and saluting me gave me joy of my safety and then said, "Beware of going forth hereafter with yonder folk, neither consort with them, for they are brethren of the devils, and know not how to mention the name of Allah Almighty; neither worship they Him." "And how did thy father with them?" asked I; and she answered, "My father was not of them, neither did he as they; and as now he is dead methinks thou hadst better sell all we have and with the price buy merchandise and journey to thine own country and people, and I with thee; for I care not to tarry in this city, my father and my mother being dead." So I sold all the Shaykh's property piecemeal, and looked for one who should be journeying thence to Bassorah that I might join myself to him. And while thus doing I heard of a company of townsfolk who had a mind to make the voyage, but could not find them a ship; so they bought wood and built them a great ship wherein I took passage with them, and paid them all the hire.	false	117.29	181.18	24.78093
5672_75791_000001_000005	Then we embarked, I and my wife, with all our moveables, leaving our houses and domains and so forth, and set sail, and ceased not sailing from island to island and from sea to sea, with a fair wind and a favouring, till we arrived at Bassorah safe and sound.	Then we embarked, I and my wife, with all our moveables, leaving our houses and domains and so forth, and set sail, and ceased not sailing from island to island and from sea to sea, with a fair wind and a favouring, till we arrived at Bassorah safe and sound.	true	181.43	196.3	22
5672_75791_000001_000006	I made no stay there, but freighted another vessel and, transferring my goods to her, set out forthright for Baghdad-city, where I arrived in safety, and entering my quarter and repairing to my house, foregathered with my family and friends and familiars who laid up my goods in my warehouses.	I made no stay there, but freighted another vessel and, transferring my goods to her, set out forthright for Baghdad city, where I arrived in safety, and entering my quarter and repairing to my house, foregathered with my family and friends and familiars who laid up my goods in my warehouses.	true	196.49	213.1	24.656294
5672_75791_000001_000007	When my people who, reckoning the period of my absence on this my seventh voyage, had found it to be seven and twenty years, and had given up all hope of me, heard of my return, they came to welcome me and to give me joy of my safety; and I related to them all that had befallen me; whereat they marvelled with exceeding marvel.	When my people who, reckoning the period of my absence on this my seventh voyage, had found it to be seven and twenty years, and had given up all hope of me, heard of my return, they came to welcome me and to give me joy of my safety; and I related to them all that had befallen me; whereat they marvelled with exceeding marvel.	false	213.44	232.78	24
5672_75791_000001_000008	Then I forswore travel and vowed to Allah the Most High I would venture no more by land or sea, for that this seventh and last voyage had surfeited me of travel and adventure; and I thanked the Lord (be He praised and glorified!), and blessed Him for having restored me to my kith and kin and country and home.	Then I forswore travel and vowed to Allah the Most High I would venture no more by land or sea, for that this seventh and last voyage had surfeited me of travel and adventure; and I thanked the Lord (be He praised and glorified!), and blessed Him for having restored me to my kith and kin and country and home.	true	233	251.68	23
5672_75791_000001_000009	"Consider, therefore, O Sindbad, O Landsman," continued Sindbad the Seaman, "what sufferings I have undergone and what perils and hardships I have endured before coming to my present state." "Allah upon thee, O my Lord!" answered Sindbad the Landsman, "pardon me the wrong I did thee."[FN#96] And they ceased not from friendship and fellowship, abiding in all cheer and pleasures and solace of life till there came to them the Destoyer of delights and the Sunderer of Societies, and the Shatterer of palaces and the Caterer for Cemeteries to wit, the Cup of Death, and glory be to the Living One who dieth not!"[FN#97]	"Consider, therefore, O Sindbad, O Landsman," continued Sindbad the Seaman, "what sufferings I have undergone and what perils and hardships I have endured before coming to my present state." "Allah upon thee, O my Lord!" answered Sindbad the Landsman, "pardon me the wrong I did thee."[f n # ninety six] And they ceased not from friendship and fellowship, abiding in all cheer and pleasures and solace of life till there came to them the Destoyer of delights and the Sunderer of Societies, and the Shatterer of palaces and the Caterer for Cemeteries to wit, the Cup of Death, and glory be to the Living One who dieth not!"[f n # ninety seven]	false	252.02	289.425	24.059483
5672_75791_000002_000000	A Translation of The Seventh Voyage of Sindbad the Seaman	A Translation of The Seventh Voyage of Sindbad the Seaman	true	289.425	293.1	22.413849
5672_75791_000003_000000	according to the version of the Calcutta Edition	according to the version of the Calcutta Edition	true	293.1	295.695	24.151981
5672_75791_000004_000000	which differs in essential form from the preceding tale	which differs in essential form from the preceding tale	true	295.695	299.47	23.748213
5672_75791_000005_000000	Know, O my brothers and friends and companions all, that when I left voyaging and commercing, I said in myself, "Sufficeth me that hath befallen me;" and I spent my time in solace and pleasure.	Know, O my brothers and friends and companions all, that when I left voyaging and commercing, I said in myself, "Sufficeth me that hath befallen me;" and I spent my time in solace and pleasure.	true	301.19	313.54	22.685669
5672_75791_000005_000001	One day as I sat at home there came a knock at the door, and when the porter opened a page entered and said, "The Caliph biddeth thee to him." I went with him to the King's majesty and kissed ground and saluted him; whereupon he welcomed me and entreated me with honour and said, "O Sindbad, I have an occasion for thee: wilt thou do it?" So I kissed his hand and asked him, saying, "O my lord, what occasion hath the master for the slave?"; whereto he answered me, "I am minded that thou travel to the King of Sarandib and carry to him our writ and our gift, for that he hath sent to us a present and a letter.	One day as I sat at home there came a knock at the door, and when the porter opened a page entered and said, "The Caliph biddeth thee to him." I went with him to the King's majesty and kissed ground and saluted him; whereupon he welcomed me and entreated me with honour and said, "O Sindbad, I have an occasion for thee: wilt thou do it?" So I kissed his hand and asked him, saying, "O my lord, what occasion hath the master for the slave?"; whereto he answered me, "I am minded that thou travel to the King of Sarandib and carry to him our writ and our gift, for that he hath sent to us a present and a letter.	false	314.03	352.96	23.827938
5672_75791_000005_000002	I trembled at these words and rejoined, "By Allah the Omnipotent, O my lord, I have taken a loathing to wayfare, and when I hear the words 'Voyage' or 'Travel,' my limbs tremble for what hath befallen me of hardships and horrors.	I trembled at these words and rejoined, "By Allah the Omnipotent, O my lord, I have taken a loathing to wayfare, and when I hear the words 'Voyage' or 'Travel,' my limbs tremble for what hath befallen me of hardships and horrors.	true	353.21	367.425	23.263735
5672_75791_000005_000003	Indeed I have no desire whatever for this; more by token as I have bound myself by oath not to quit Baghdad." Then I informed the Caliph of all I had passed through from first to last, and he marvelled with exceeding marvel and said, "By the Almighty, O Sindbad, from ages of old such mishaps as happened to thee were never know to happen to any, and thou dost only right never even to talk of travel. For our sake, however, thou wilt go this time and carry our present and our letter to him of Sarandib; and Inshallah--by God's leave!--thou shalt return quickly; and on this wise we shall be under no obligation to the said King." I replied that I heard and obeyed, being unable to oppose his command, so he gave me the gifts and the missive with money to pay my way and I kissed hands and left the presence.	Indeed I have no desire whatever for this; more by token as I have bound myself by oath not to quit Baghdad." Then I informed the Caliph of all I had passed through from first to last, and he marvelled with exceeding marvel and said, "By the Almighty, O Sindbad, from ages of old such mishaps as happened to thee were never know to happen to any, and thou dost only right never even to talk of travel. For our sake, however, thou wilt go this time and carry our present and our letter to him of Sarandib; and Inshallah-by God's leave!--thou shalt return quickly; and on this wise we shall be under no obligation to the said King." I replied that I heard and obeyed, being unable to oppose his command, so he gave me the gifts and the missive with money to pay my way and I kissed hands and left the presence.	false	367.425	420.88	24.083118
5672_75791_000005_000004	Then I dropped down from Baghdad to the Gulf, and with other merchants embarked, and our ship sailed before a fair wind many days and nights till, by Allah's aid, we reached the island of Sarandib.	Then I dropped down from Baghdad to the Gulf, and with other merchants embarked, and our ship sailed before a fair wind many days and nights till, by Allah's aid, we reached the island of Sarandib.	true	421.19	433.75	26.448423
5672_75791_000005_000005	As soon as we had made fast we landed and I took the present and the letter; and, going in with them to the King, kissed ground before him.	As soon as we had made fast we landed and I took the present and the letter; and, going in with them to the King, kissed ground before him.	true	434.03	442.18	23.75734
5672_75791_000005_000006	When he saw me, he said, "Well come, O Sindbad!	When he saw me, he said, "Well come, O Sindbad!	false	442.43	446.1	24.289251
5672_75791_000005_000007	By Allah Omnipotent we were longing to see thee, and glory be to God who hath again shown us thy face!" Then taking me by the hand he made me sit by his side, rejoicing, and he welcomed me with familiar kindness again and entreated me as a friend.	By Allah Omnipotent we were longing to see thee, and glory be to God who hath again shown us thy face!" Then taking me by the hand he made me sit by his side, rejoicing, and he welcomed me with familiar kindness again and entreated me as a friend.	true	446.1	462.88	23
5672_75791_000005_000008	After this he began to converse with me and courteously addressed me and asked, "What was the cause of thy coming to us, O Sindbad?" So after kissing his hand and thanking him I answered, "O my lord, I have brought thee a present from my master, the Caliph Harun Al-Rashid;" and offered him the present and the letter which he read and at which he rejoiced with passing joy.	After this he began to converse with me and courteously addressed me and asked, "What was the cause of thy coming to us, O Sindbad?" So after kissing his hand and thanking him I answered, "O my lord, I have brought thee a present from my master, the Caliph Harun Al Rashid;" and offered him the present and the letter which he read and at which he rejoiced with passing joy.	false	463.28	485.68	24.082138
5672_75791_000005_000009	The present consisted of a mare worth ten thousand ducats, bearing a golden saddle set with jewels; a book; a sumptuous suit of clothes and an hundred different kinds of white Cairene cloths and silks of Suez,[FN#98] Cufa and Alexandria; Greek carpets and an hundred maunds[FN#99] weight of linen and raw silk.	The present consisted of a mare worth ten thousand ducats, bearing a golden saddle set with jewels; a book; a sumptuous suit of clothes and an hundred different kinds of white Cairene cloths and silks of Suez,[f n # ninety eight] Cufa and Alexandria; Greek carpets and an hundred maunds[f n # ninety nine] weight of linen and raw silk.	false	485.9	506.925	23.300085
5672_75791_000005_000010	Moreover there was a wondrous rarety, a marvellous cup of crystal middlemost of which was the figure of a lion faced by a kneeling man grasping a bow with arrow drawn to the very head, together with the food-tray[FN#100] of Sulayman the son of David (on whom be peace!).	Moreover there was a wondrous rarety, a marvellous cup of crystal middlemost of which was the figure of a lion faced by a kneeling man grasping a bow with arrow drawn to the very head, together with the food tray[f n # one hundred] of Sulayman the son of David (on whom be peace!).	false	506.925	523.245	24.056805
5672_75791_000005_000011	The missive ran as follows, "Peace from King Al-Rashid, the aided of Allah (who hath vouchsafed to him and his forefathers noble rank and wide- spread glory), be on the fortunate Sultan.	The missive ran as follows, "Peace from King Al Rashid, the aided of Allah (who hath vouchsafed to him and his forefathers noble rank and wide spread glory), be on the fortunate Sultan.	false	523.245	535.51	23.91114
5672_75791_000005_000012	But after.	But after.	true	535.79	536.83	25.414734
5672_75791_000005_000013	Thy letter came to our hands and we rejoiced thereat; and we have sent the book entitled 'Delight of the Intelligent and for Friends the Rare Present,'[FN#101] together with sundry curiosities suitable for Kings; so do thou favour us by accepting them: and peace be with thee!" Then the King lavished upon me much wealth and entreated me with all honour; so I prayed for him and thanked him for his munificence.	Thy letter came to our hands and we rejoiced thereat; and we have sent the book entitled 'Delight of the Intelligent and for Friends the Rare Present,'[f n # one hundred one] together with sundry curiosities suitable for Kings; so do thou favour us by accepting them: and peace be with thee!" Then the King lavished upon me much wealth and entreated me with all honour; so I prayed for him and thanked him for his munificence.	false	536.93	562.54	24.500746
5672_75791_000005_000014	Some days after I craved his leave to depart, but could not obtain it except by great pressing, whereupon I farewelled him and fared forth from his city, with merchants and other companions, homewards-bound without any desire for travel or companions, homewards-bound without any desire for travel or trade.	Some days after I craved his leave to depart, but could not obtain it except by great pressing, whereupon I farewelled him and fared forth from his city, with merchants and other companions, homewards bound without any desire for travel or companions, homewards bound without any desire for travel or trade.	true	562.91	581.98	25.143225
5672_75791_000005_000015	We continued voyaging and coasting along many islands; but, when we were half-way, we were surrounded by a number of canoes, wherein were men like devils armed with bows and arrows, swords and daggers; habited in mail- coats and other armoury.	We continued voyaging and coasting along many islands; but, when we were half-way, we were surrounded by a number of canoes, wherein were men like devils armed with bows and arrows, swords and daggers; habited in mail coats and other armoury.	true	582.02	597.61	21
5672_75791_000005_000016	They fell upon us and wounded and slew all who opposed them; then, having captured the ship and her contents, carried us to an island, where they sold us at the meanest price.	They fell upon us and wounded and slew all who opposed them; then, having captured the ship and her contents, carried us to an island, where they sold us at the meanest price.	true	597.92	608.38	23.069075
5672_75791_000005_000017	Now I was bought by a wealthy man who, taking me to his house, gave me meat and drink and clothing and treated me in the friendliest manner; so I was heartened and I rested a little.	Now I was bought by a wealthy man who, taking me to his house, gave me meat and drink and clothing and treated me in the friendliest manner; so I was heartened and I rested a little.	true	608.69	619.36	24.408781
5672_75791_000005_000018	One day he asked me, "Dost thou know any art or craft?" and I answered him, "O my lord, I am a merchant and know nothing but trade and traffic." "Dost thou know," rejoined he, "how to use bow and arrow?" "Yes," replied I, "I know that much." Thereupon he brought me a bow and arrows and mounted me behind him upon an elephant: then he set out as night was well nigh over and, passing through a forest of huge growths, came to a tall and sturdy tree up which he made me climb.	One day he asked me, "Dost thou know any art or craft?" and I answered him, "O my lord, I am a merchant and know nothing but trade and traffic." "Dost thou know," rejoined he, "how to use bow and arrow?" "Yes," replied I, "I know that much." Thereupon he brought me a bow and arrows and mounted me behind him upon an elephant: then he set out as night was well nigh over and, passing through a forest of huge growths, came to a tall and sturdy tree up which he made me climb.	false	619.76	653.86	23.824846
5672_75791_000005_000019	Then he gave me the bow and arrows, saying, "Sit here now, and when the elephants troop hither in early morning, shoot at them; belike thou wilt hit one; and, if he fall, come and tell me." With this he left me.	Then he gave me the bow and arrows, saying, "Sit here now, and when the elephants troop hither in early morning, shoot at them; belike thou wilt hit one; and, if he fall, come and tell me." With this he left me.	false	654.17	668.05	22.944094
5672_75791_000005_000020	I hid myself in the tree being in sore terror and trembled till the sun arose; and, when the elephants appeared and wandered about among the trees, I shot my arrows at them and continued till I had shot down one of them.	I hid myself in the tree being in sore terror and trembled till the sun arose; and, when the elephants appeared and wandered about among the trees, I shot my arrows at them and continued till I had shot down one of them.	false	668.27	682.09	23.60294
5672_75791_000005_000021	In the evening I reported my success to my master who was delighted in me and entreated me with high honour; and next morning he removed the slain elephant.	In the evening I reported my success to my master who was delighted in me and entreated me with high honour; and next morning he removed the slain elephant.	true	682.67	691.18	23.4773
5672_75791_000005_000022	In this wise I continued, every morning shooting an elephant which my master would remove till, one day, as I was perched in hiding on the tree there came on suddenly and unexpectedly an innumerable host of elephants whose screaming and trumpeting were such that I imagined the earth trembled under them.	In this wise I continued, every morning shooting an elephant which my master would remove till, one day, as I was perched in hiding on the tree there came on suddenly and unexpectedly an innumerable host of elephants whose screaming and trumpeting were such that I imagined the earth trembled under them.	false	691.55	708.31	21
5672_75791_000005_000023	All surrounded my tree, whose circumference was some fifty cubits,[FN#102] and one enormous monster came up to it and winding his trunk round the bole haled it up by the roots, and dashed it to the ground.	All surrounded my tree, whose circumference was some fifty cubits,[f n # one hundred two] and one enormous monster came up to it and winding his trunk round the bole haled it up by the roots, and dashed it to the ground.	false	708.38	719.41	24.530119
5672_75791_000005_000024	I fell down fainting amongst the beasts when the monster elephant wound his trunk about me and, setting me on his back, went off with me, the others accompanying us.	I fell down fainting amongst the beasts when the monster elephant wound his trunk about me and, setting me on his back, went off with me, the others accompanying us.	true	719.45	728.8	23.581987
5672_75791_000005_000025	He carried me still unconscious till he reached the place for which he was making, when he rolled me off his back and presently went his ways followed by the others.	He carried me still unconscious till he reached the place for which he was making, when he rolled me off his back and presently went his ways followed by the others.	true	728.87	737.35	24
5672_75791_000005_000026	So I rested a little; and, when my terror had subsided, I looked about me and I found myself among the bones of elephants, whereby I concluded that this was their burial-place, and that the monster elephant had led me thither on account of the tusks.[FN#103] So I arose and walked a whole day and night till I arrived at the house of my master, who saw my colour changed by stress of affright and famine.	So I rested a little; and, when my terror had subsided, I looked about me and I found myself among the bones of elephants, whereby I concluded that this was their burial place, and that the monster elephant had led me thither on account of the tusks.[f n # one hundred three] So I arose and walked a whole day and night till I arrived at the house of my master, who saw my colour changed by stress of affright and famine.	false	737.75	760.39	23.474361
5672_75791_000005_000027	He rejoiced in my return and said to me, "By Allah, thou hast made my heart sore!	He rejoiced in my return and said to me, "By Allah, thou hast made my heart sore!	false	760.55	765.78	25.20183
5672_75791_000005_000028	I went when thou wast missing and found the tree torn up, and thought that the elephants had slain thee.	I went when thou wast missing and found the tree torn up, and thought that the elephants had slain thee.	false	765.78	771.04	21
5672_75791_000005_000029	Tell me how it was with thee." I acquainted him with all that had betided me; whereat he wondered greatly, and rejoiced and at last asked me, "Dost thou know the place?"; whereto I answered, "Yes, O my master!" So we mounted an elephant and fared until we came to the spot and, when my master beheld the heaps of tusks, he rejoiced greatly; then carrying away as many as he wanted he returned with me home.	Tell me how it was with thee." I acquainted him with all that had betided me; whereat he wondered greatly, and rejoiced and at last asked me, "Dost thou know the place?"; whereto I answered, "Yes, O my master!" So we mounted an elephant and fared until we came to the spot and, when my master beheld the heaps of tusks, he rejoiced greatly; then carrying away as many as he wanted he returned with me home.	false	771.23	798.19	24.054113
5672_75791_000005_000030	After this, he entreated me with increased favour and said, "O my son, thou hast shown us the way to great gain, wherefore Allah requite thee!	After this, he entreated me with increased favour and said, "O my son, thou hast shown us the way to great gain, wherefore Allah requite thee!	true	798.71	807.61	23.259548
5672_75791_000005_000031	Thou art freed for the Almighty's sake and before His face!	Thou art freed for the Almighty's sake and before His face!	true	807.65	811.3	18
5672_75791_000005_000032	The elephants used to destroy many of us on account of our hunting them for their ivories and sorivellos; but Allah hath preserved thee from them, and thou hast profited us by the heaps to which thou hast led us." "O my master," replied I, "God free thy neck from the fire!	The elephants used to destroy many of us on account of our hunting them for their ivories and sorivellos; but Allah hath preserved thee from them, and thou hast profited us by the heaps to which thou hast led us." "O my master," replied I, "God free thy neck from the fire!	false	811.4	828.3	22
5672_75791_000005_000033	And do thou grant me, O my master, thy gracious leave to return to my own country." "Yes" quoth he, "thou shalt have that permission.	And do thou grant me, O my master, thy gracious leave to return to my own country." "Yes" quoth he, "thou shalt have that permission.	false	828.3	836.52	24.869904
5672_75791_000005_000034	But we have a yearly fair, when merchants come to us from various quarters to buy up these ivories.	But we have a yearly fair, when merchants come to us from various quarters to buy up these ivories.	false	836.52	842.29	18
5672_75791_000005_000035	The time is drawing near; and, when they shall have done their business, I will send thee under their charge and will give thee wherewithal to reach thy home." So I blessed and thanked him and remained with him, treated with respect and honour, for some days, when the merchants came as he had foretold, and bought and sold and bartered; and when they had made their preparations to return, my master came to me and said, "Rise and get thee ready to travel with the traders en route to thy country." They had bought a number of tusks which they had bound together in loads and were embarking them when my master sent me with them, paying for my passage and settling all my debts; besides which he gave me a large present in goods.	The time is drawing near; and, when they shall have done their business, I will send thee under their charge and will give thee wherewithal to reach thy home." So I blessed and thanked him and remained with him, treated with respect and honour, for some days, when the merchants came as he had foretold, and bought and sold and bartered; and when they had made their preparations to return, my master came to me and said, "Rise and get thee ready to travel with the traders en route to thy country." They had bought a number of tusks which they had bound together in loads and were embarking them when my master sent me with them, paying for my passage and settling all my debts; besides which he gave me a large present in goods.	false	842.42	883.21	24.23123
5672_75791_000005_000036	We set out and voyaged from island to island till we had crossed the sea and landed on the shores of the Persian Gulf, when the merchants brought out and sold their stores: I also sold what I had at a high profit; and I bought some of the prettiest things in the place for presents and beautiful rareties and everything else I wanted.	We set out and voyaged from island to island till we had crossed the sea and landed on the shores of the Persian Gulf, when the merchants brought out and sold their stores: I also sold what I had at a high profit; and I bought some of the prettiest things in the place for presents and beautiful rareties and everything else I wanted.	false	883.4	901.935	23
5672_75791_000005_000037	I likewise bought for myself a beast and we fared forth and crossed the deserts from country to country till I reached Baghdad.	I likewise bought for myself a beast and we fared forth and crossed the deserts from country to country till I reached Baghdad.	true	901.935	908.97	26.905708
5672_75791_000005_000038	Here I went in to the Caliph and, after saluting him and kissing hands, informed him of all that had befallen me; whereupon he rejoiced in my safety and thanked Almighty Allah; and he bade my story be written in letters of gold.	Here I went in to the Caliph and, after saluting him and kissing hands, informed him of all that had befallen me; whereupon he rejoiced in my safety and thanked Almighty Allah; and he bade my story be written in letters of gold.	true	908.97	922.63	24.207762
5672_75791_000005_000039	I then entered my house and met my family and brethren: and such is the end of the history that happened to me during my seven voyages. Praise be to Allah, the One, the Creator, the Maker of all things in Heaven and Earth!--	I then entered my house and met my family and brethren: and such is the end of the history that happened to me during my seven voyages. Praise be to Allah, the One, the Creator, the Maker of all things in Heaven and Earth!--	false	922.82	936.28	24.767492
