8008_271812_000000_000000	CHAPTER 7 THE CLOWN COUNTRY	CHAPTER seven THE CLOWN COUNTRY
8008_271812_000001_000000	Flippityflop's house proved to be one big room, built under the platform, and lighted by a soft glow from hidden electric lamps.	Flippityflop's house proved to be one big room, built under the platform, and lighted by a soft glow from hidden electric lamps.
8008_271812_000001_000001	The walls were covered with bright-yellow silk hangings and on the floor was a crimson carpet.	The walls were covered with bright yellow silk hangings and on the floor was a crimson carpet.
8008_271812_000002_000001	Therefore I am proud of them."	Therefore I am proud of them."
8008_271812_000003_000000	"They look very jolly," said Dot.	"They look very jolly," said Dot.
8008_271812_000004_000000	"They were jolly, and proved a comfort to thousands of children.	"They were jolly, and proved a comfort to thousands of children.
8008_271812_000004_000001	But you must be hungry, and I trust you will allow me to offer you some dinner.	But you must be hungry, and I trust you will allow me to offer you some dinner.
8008_271812_000004_000002	What will you have?"	What will you have?"
8008_271812_000005_000000	"What you got?" inquired Tot.	"What you got?" inquired Tot.
8008_271812_000006_000000	"Well, I have in my cupboard some fried goldfish, boiled buttercups and pickled shoelaces," he answered.	"Well, I have in my cupboard some fried goldfish, boiled buttercups and pickled shoelaces," he answered.
8008_271812_000008_000000	"These seem rather foolish things to eat," remarked Dot.	"These seem rather foolish things to eat," remarked Dot.
8008_271812_000009_000000	"Of course, they are foolish things," agreed Flippityflop, cheerfully.	"Of course, they are foolish things," agreed Flippityflop, cheerfully.
8008_271812_000009_000001	"Everything we do here is foolish.	"Everything we do here is foolish.
8008_271812_000009_000002	You certainly can't expect wisdom in a country of Clowns."	You certainly can't expect wisdom in a country of Clowns."
8008_271812_000010_000000	"Course not," said Tot.	"Course not," said Tot.
8008_271812_000011_000000	"If you'll send to the boat for our basket, I think we will prefer to eat the things we brought with us," declared Dot.	"If you'll send to the boat for our basket, I think we will prefer to eat the things we brought with us," declared Dot.
8008_271812_000012_000000	"Certainly!" answered the Prince, and immediately sticking his head through the trapdoor, he asked a Clown who stood outside to fetch the basket.	"Certainly!" answered the Prince, and immediately sticking his head through the trapdoor, he asked a Clown who stood outside to fetch the basket.
