8008_271812_000000_000000	CHAPTER 7 THE CLOWN COUNTRY	CHAPTER seven THE CLOWN COUNTRY	true	26.535	30.67	21.179163
8008_271812_000001_000000	Flippityflop's house proved to be one big room, built under the platform, and lighted by a soft glow from hidden electric lamps.	Flippityflop's house proved to be one big room, built under the platform, and lighted by a soft glow from hidden electric lamps.	true	32.18	42.82	22.118965
8008_271812_000001_000001	The walls were covered with bright-yellow silk hangings and on the floor was a crimson carpet.	The walls were covered with bright yellow silk hangings and on the floor was a crimson carpet.	true	43.43	50.05	20.703781
8008_271812_000001_000002	All around the sides were wide benches with soft cushions of purple velvet, and near the middle of the room was a small table of blue and silver.	All around the sides were wide benches with soft cushions of purple velvet, and near the middle of the room was a small table of blue and silver.	false	50.36	60.16	19.640331
8008_271812_000001_000003	On the walls Dot noticed several gaudily colored pictures of Clowns, and when Flippityflop saw the children looking at these pictures he said:	On the walls Dot noticed several gaudily colored pictures of Clowns, and when Flippityflop saw the children looking at these pictures he said:	false	60.71	71.32	22.941235
8008_271812_000002_000000	"Those are portraits of my father and grandfather and great-grandfather. They were all Princes of this Valley of Merryland, as well as good men and clever Clowns.	"Those are portraits of my father and grandfather and great grandfather. They were all Princes of this Valley of Merryland, as well as good men and clever Clowns.	false	71.78	83.8	21.580194
8008_271812_000002_000001	Therefore I am proud of them."	Therefore I am proud of them."	true	84.32	86.71	21.266678
8008_271812_000003_000000	"They look very jolly," said Dot.	"They look very jolly," said Dot.	true	87.56	89.92	20.00813
8008_271812_000004_000000	"They were jolly, and proved a comfort to thousands of children.	"They were jolly, and proved a comfort to thousands of children.	true	90.32	94	21.867897
8008_271812_000004_000001	But you must be hungry, and I trust you will allow me to offer you some dinner.	But you must be hungry, and I trust you will allow me to offer you some dinner.	true	94.34	101.05	20.67037
8008_271812_000004_000002	What will you have?"	What will you have?"	true	101.66	103.75	25.176327
8008_271812_000005_000000	"What you got?" inquired Tot.	"What you got?" inquired Tot.	true	104.36	107.11	24.930634
8008_271812_000006_000000	"Well, I have in my cupboard some fried goldfish, boiled buttercups and pickled shoelaces," he answered.	"Well, I have in my cupboard some fried goldfish, boiled buttercups and pickled shoelaces," he answered.	true	107.84	118.51	22.312609
8008_271812_000007_000000	"Don't want any," said Tot.	"Don't want any," said Tot.	false	118.88	121.59	20.350279
8008_271812_000008_000000	"These seem rather foolish things to eat," remarked Dot.	"These seem rather foolish things to eat," remarked Dot.	true	121.59	125.32	24
8008_271812_000009_000000	"Of course, they are foolish things," agreed Flippityflop, cheerfully.	"Of course, they are foolish things," agreed Flippityflop, cheerfully.	true	126.05	130.87	22.2995
8008_271812_000009_000001	"Everything we do here is foolish.	"Everything we do here is foolish.	true	131	133.51	20.319696
8008_271812_000009_000002	You certainly can't expect wisdom in a country of Clowns."	You certainly can't expect wisdom in a country of Clowns."	true	133.7	137.62	23
8008_271812_000010_000000	"Course not," said Tot.	"Course not," said Tot.	true	138.47	140.17	25.045
8008_271812_000011_000000	"If you'll send to the boat for our basket, I think we will prefer to eat the things we brought with us," declared Dot.	"If you'll send to the boat for our basket, I think we will prefer to eat the things we brought with us," declared Dot.	true	141.02	148.51	23.602331
