597_127694_000000_000000	On the tops of the domes is found the sturdy, storm-enduring red cedar (Juniperus occidentalis).	On the tops of the domes is found the sturdy, storm enduring red cedar (Juniperus occidentalis).	false	0	1.41	13.737919
597_127694_000000_000001	It never makes anything like a forest here, but stands out separate and independent in the wind, clinging by slight joints to the rock, with scarce a handful of soil in sight of it, seeming to depend chiefly on snow and air for nourishment, and yet it has maintained tough health on this diet for two thousand years or more. The largest hereabouts are from five to six feet in diameter and fifty feet in height.	It never makes anything like a forest here, but stands out separate and independent in the wind, clinging by slight joints to the rock, with scarce a handful of soil in sight of it, seeming to depend chiefly on snow and air for nourishment, and yet it has maintained tough health on this diet for two thousand years or more. The largest hereabouts are from five to six feet in diameter and fifty feet in height.	false	1.41	5.16	25.545607
597_127694_000001_000000	The principal river-side trees are poplar, alder, willow, broad-leaved maple, and Nuttall's flowering dogwood.	The principal river side trees are poplar, alder, willow, broad leaved maple, and Nuttall's flowering dogwood.	false	5.16	5.79	21
597_127694_000001_000001	The poplar (Populus trichocarpa), often called balm-of-Gilead from the gum on its buds, is a tall tree, towering above its companions and gracefully embowering the banks of the river.	The poplar (Populus trichocarpa), often called balm of Gilead from the gum on its buds, is a tall tree, towering above its companions and gracefully embowering the banks of the river.	false	5.79	6.84	31.00161
597_127694_000001_000002	Its abundant foliage turns bright yellow in the fall, and the Indian-summer sunshine sifts through it in delightful tones over the slow-gliding waters when they are at their lowest ebb.	Its abundant foliage turns bright yellow in the fall, and the Indian summer sunshine sifts through it in delightful tones over the slow gliding waters when they are at their lowest ebb.	false	6.84	7.8	3
597_127694_000002_000000	Some of the involucres of the flowering dogwood measure six to eight inches in diameter, and the whole tree when in flower looks as if covered with snow.	Some of the involucres of the flowering dogwood measure six to eight inches in diameter, and the whole tree when in flower looks as if covered with snow.	false	7.8	11.25	23.251976
597_127694_000002_000001	In the spring when the streams are in flood it is the whitest of trees.	In the spring when the streams are in flood it is the whitest of trees.	false	11.25	13.41	20.946941
597_127694_000002_000002	In Indian summer the leaves become bright crimson, making a still grander show than the flowers.	In Indian summer the leaves become bright crimson, making a still grander show than the flowers.	false	13.41	15.06	12
597_127694_000003_000000	The broad-leaved maple and mountain maple are found mostly in the cool canyons at the head of the Valley, spreading their branches in beautiful arches over the foaming streams.	The broad leaved maple and mountain maple are found mostly in the cool canyons at the head of the Valley, spreading their branches in beautiful arches over the foaming streams.	false	15.06	18.33	20.538153
597_127694_000004_000000	Scattered here and there are a few other trees, mostly small--the mountain mahogany, cherry, chestnut-oak, and laurel.	Scattered here and there are a few other trees, mostly small-the mountain mahogany, cherry, chestnut oak, and laurel.	false	18.33	18.9	28.46924
597_127694_000004_000001	The California nutmeg (Torreya californica), a handsome evergreen belonging to the yew family, forms small groves near the cascades a mile or two below the foot of the Valley.	The California nutmeg (Torreya californica), a handsome evergreen belonging to the yew family, forms small groves near the cascades a mile or two below the foot of the Valley.	false	18.9	20.1	23.957144
