6510_62516_000000_000000	Chapter 9	Chapter nine	true	25.68	27.1	21.23363
6510_62516_000001_000000	In a few words, Gideon Spilett, Herbert, and Neb were made acquainted with what had happened.	In a few words, Gideon Spilett, Herbert, and Neb were made acquainted with what had happened.	true	27.89	32.92	18
6510_62516_000001_000001	This accident, which appeared so very serious to Pencroft, produced different effects on the companions of the honest sailor.	This accident, which appeared so very serious to Pencroft, produced different effects on the companions of the honest sailor.	true	33.2	41.5	20.209995
6510_62516_000002_000000	Neb, in his delight at having found his master, did not listen, or rather, did not care to trouble himself with what Pencroft was saying.	Neb, in his delight at having found his master, did not listen, or rather, did not care to trouble himself with what Pencroft was saying.	true	41.84	49.36	16
6510_62516_000003_000000	Herbert shared in some degree the sailor's feelings.	Herbert shared in some degree the sailor's feelings.	true	49.97	53.17	19
6510_62516_000004_000000	As to the reporter, he simply replied,--	As to the reporter, he simply replied,--	true	53.57	56.32	21.286034
6510_62516_000005_000000	"Upon my word, Pencroft, it's perfectly indifferent to me!"	"Upon my word, Pencroft, it's perfectly indifferent to me!"	true	56.48	60.28	19
6510_62516_000006_000000	"But, I repeat, that we haven't any fire!"	"But, I repeat, that we haven't any fire!"	true	60.71	63.78	20
6510_62516_000007_000000	"Pooh!"	"Pooh!"	false	63.78	65.46	18.465628
6510_62516_000008_000000	"Nor any means of relighting it!"	"Nor any means of relighting it!"	true	65.46	67.36	17.254217
6510_62516_000009_000000	"Nonsense!"	"Nonsense!"	true	67.37	68.53	19.088905
6510_62516_000010_000000	"But I say, Mr. Spilett--"	"But I say, mr Spilett-"	true	68.93	70.48	20.002977
6510_62516_000011_000000	"Isn't Cyrus here?" replied the reporter.	"Isn't Cyrus here?" replied the reporter.	true	70.64	74.05	20.527544
6510_62516_000012_000000	"Is not our engineer alive?	"Is not our engineer alive?	true	74.09	76.54	18.788908
6510_62516_000012_000001	He will soon find some way of making fire for us!"	He will soon find some way of making fire for us!"	true	76.7	80.41	18.30184
6510_62516_000013_000000	"With what?"	"With what?"	true	80.54	81.61	21.546488
6510_62516_000014_000000	"With nothing."	"With nothing."	true	82.04	83.2	21.462748
6510_62516_000015_000000	What had Pencroft to say?	What had Pencroft to say?	true	83.93	85.35	19
6510_62516_000015_000001	He could say nothing, for, in the bottom of his heart he shared the confidence which his companions had in Cyrus Harding.	He could say nothing, for, in the bottom of his heart he shared the confidence which his companions had in Cyrus Harding.	false	85.35	92.77	15
6510_62516_000015_000002	The engineer was to them a microcosm, a compound of every science, a possessor of all human knowledge.	The engineer was to them a microcosm, a compound of every science, a possessor of all human knowledge.	true	93.23	100.24	19
6510_62516_000015_000003	It was better to be with Cyrus in a desert island, than without him in the most flourishing town in the United States.	It was better to be with Cyrus in a desert island, than without him in the most flourishing town in the United States.	true	100.49	107.68	17
