6510_62516_000000_000000	Chapter 9	Chapter nine
6510_62516_000001_000001	This accident, which appeared so very serious to Pencroft, produced different effects on the companions of the honest sailor.	This accident, which appeared so very serious to Pencroft, produced different effects on the companions of the honest sailor.
6510_62516_000004_000000	As to the reporter, he simply replied,--	As to the reporter, he simply replied,--
6510_62516_000006_000000	"But, I repeat, that we haven't any fire!"	"But, I repeat, that we haven't any fire!"
6510_62516_000010_000000	"But I say, Mr. Spilett--"	"But I say, mr Spilett-"
6510_62516_000011_000000	"Isn't Cyrus here?" replied the reporter.	"Isn't Cyrus here?" replied the reporter.
6510_62516_000013_000000	"With what?"	"With what?"
6510_62516_000014_000000	"With nothing."	"With nothing."
6510_62516_000016_000000	"Cyrus is here!"	"Cyrus is here!"
6510_62516_000017_000001	The supper must necessarily be very meager.	The supper must necessarily be very meager.
6510_62516_000017_000003	Besides, the couroucous which had been reserved had disappeared.	Besides, the couroucous which had been reserved had disappeared.
6510_62516_000018_000000	First of all, Cyrus Harding was carried into the central passage.	First of all, Cyrus Harding was carried into the central passage.
6510_62516_000019_000000	Night had closed in, and the temperature, which had modified when the wind shifted to the northwest, again became extremely cold.	Night had closed in, and the temperature, which had modified when the wind shifted to the northwest, again became extremely cold.
6510_62516_000019_000002	The engineer's condition would, therefore, have been bad enough, if his companions had not carefully covered him with their coats and waistcoats.	The engineer's condition would, therefore, have been bad enough, if his companions had not carefully covered him with their coats and waistcoats.
6510_62516_000021_000002	The experiment, therefore, did not succeed.	The experiment, therefore, did not succeed.
6510_62516_000023_000000	After working an hour, Pencroft, who was in a complete state of perspiration, threw down the pieces of wood in disgust.	After working an hour, Pencroft, who was in a complete state of perspiration, threw down the pieces of wood in disgust.
6510_62516_000024_000001	"I could sooner light my arms by rubbing them against each other!"	"I could sooner light my arms by rubbing them against each other!"
6510_62516_000029_000004	Herbert, Neb, and Pencroft did the same, while Top slept at his master's feet.	Herbert, Neb, and Pencroft did the same, while Top slept at his master's feet.
6510_62516_000031_000001	This was his uppermost thought.	This was his uppermost thought.
6510_62516_000033_000000	"You don't know yet?"	"You don't know yet?"
6510_62516_000036_000000	"That's capital!" cried the sailor.	"That's capital!" cried the sailor.
6510_62516_000037_000000	"I feel dreadfully weak," replied Harding.	"I feel dreadfully weak," replied Harding.
6510_62516_000039_000000	"Alas! we have no fire," said Pencroft, "or rather, captain, we have it no longer!"	"Alas! we have no fire," said Pencroft, "or rather, captain, we have it no longer!"
6510_62516_000042_000000	"Well?" asked the sailor.	"Well?" asked the sailor.
6510_62516_000043_000000	"Well, we will make matches.	"Well, we will make matches.
6510_62516_000045_000000	"Chemicals!"	"Chemicals!"
6510_62516_000047_000001	All went out.	All went out.
6510_62516_000054_000000	"No, captain," replied the boy.	"No, captain," replied the boy.
6510_62516_000056_000000	"Yes," replied Pencroft.	"Yes," replied Pencroft.
6510_62516_000057_000000	"What?"	"What?"
6510_62516_000059_000000	"We will make it, Pencroft," replied Harding.	"We will make it, Pencroft," replied Harding.
6510_62516_000061_000000	"Yes," replied Spilett, "a mountain which must be rather high--"	"Yes," replied Spilett, "a mountain which must be rather high-"
6510_62516_000063_000000	"Yes, fire!" said the obstinate sailor again.	"Yes, fire!" said the obstinate sailor again.
6510_62516_000064_000000	"But he will make us a fire!" replied Gideon Spilett, "only have a little patience, Pencroft!"	"But he will make us a fire!" replied Gideon Spilett, "only have a little patience, Pencroft!"
6510_62516_000065_000000	The seaman looked at Spilett in a way which seemed to say, "If it depended upon you to do it, we wouldn't taste roast meat very soon"; but he was silent.	The seaman looked at Spilett in a way which seemed to say, "If it depended upon you to do it, we wouldn't taste roast meat very soon"; but he was silent.
6510_62516_000066_000002	For a few minutes he remained absorbed in thought; then again speaking,--	For a few minutes he remained absorbed in thought; then again speaking,--
6510_62516_000070_000002	If the direction has been maintained from the northeast to the southwest, we have traversed the States of North Carolina, of South Carolina, of Georgia, the Gulf of Mexico, Mexico, itself, in its narrow part, then a part of the Pacific Ocean.	If the direction has been maintained from the northeast to the southwest, we have traversed the States of North Carolina, of South Carolina, of Georgia, the Gulf of Mexico, Mexico, itself, in its narrow part, then a part of the Pacific Ocean.
6510_62516_000070_000004	If the last hypothesis is correct, it will be easy enough to get home again.	If the last hypothesis is correct, it will be easy enough to get home again.
6510_62516_000071_000000	"Never?" cried the reporter.	"Never?" cried the reporter.
6510_62516_000072_000000	"Better to put things at the worst at first," replied the engineer, "and reserve the best for a surprise."	"Better to put things at the worst at first," replied the engineer, "and reserve the best for a surprise."
6510_62516_000081_000000	"If, on my return, I find a fire at the house, I shall believe that the thunder itself came to light it." All three climbed the bank; and arrived at the angle made by the river, the sailor, stopping, said to his two companions,--	"If, on my return, I find a fire at the house, I shall believe that the thunder itself came to light it." All three climbed the bank; and arrived at the angle made by the river, the sailor, stopping, said to his two companions,--
6510_62516_000086_000000	This time, the hunters, instead of following the course of the river, plunged straight into the heart of the forest.	This time, the hunters, instead of following the course of the river, plunged straight into the heart of the forest.
6510_62516_000086_000001	There were still the same trees, belonging, for the most part, to the pine family.	There were still the same trees, belonging, for the most part, to the pine family.
6510_62516_000094_000000	"It will blaze, since my master has said so."	"It will blaze, since my master has said so."
6510_62516_000096_000001	The exploration, therefore, continued, and was usefully marked by a discovery which Herbert made of a tree whose fruit was edible.	The exploration, therefore, continued, and was usefully marked by a discovery which Herbert made of a tree whose fruit was edible.
6510_62516_000098_000000	"We mustn't complain," said Herbert.	"We mustn't complain," said Herbert.
6510_62516_000099_000000	"I am not complaining, my boy," replied Pencroft, "only I repeat, that meat is a little too much economized in this sort of meal."	"I am not complaining, my boy," replied Pencroft, "only I repeat, that meat is a little too much economized in this sort of meal."
6510_62516_000100_000000	"Top has found something!" cried Neb, who ran towards a thicket, in the midst of which the dog had disappeared, barking.	"Top has found something!" cried Neb, who ran towards a thicket, in the midst of which the dog had disappeared, barking.
6510_62516_000100_000001	With Top's barking were mingled curious gruntings.	With Top's barking were mingled curious gruntings.
6510_62516_000101_000001	If there was game there this was not the time to discuss how it was to be cooked, but rather, how they were to get hold of it.	If there was game there this was not the time to discuss how it was to be cooked, but rather, how they were to get hold of it.
6510_62516_000102_000000	The hunters had scarcely entered the bushes when they saw Top engaged in a struggle with an animal which he was holding by the ear.	The hunters had scarcely entered the bushes when they saw Top engaged in a struggle with an animal which he was holding by the ear.
6510_62516_000103_000001	It stupidly rolled its eyes, deeply buried in a thick bed of fat.	It stupidly rolled its eyes, deeply buried in a thick bed of fat.
6510_62516_000103_000002	Perhaps it saw men for the first time.	Perhaps it saw men for the first time.
6510_62516_000104_000000	However, Neb having tightened his grasp on his stick, was just going to fell the pig, when the latter, tearing itself from Top's teeth, by which it was only held by the tip of its ear, uttered a vigorous grunt, rushed upon Herbert, almost overthrew him, and disappeared in the wood.	However, Neb having tightened his grasp on his stick, was just going to fell the pig, when the latter, tearing itself from Top's teeth, by which it was only held by the tip of its ear, uttered a vigorous grunt, rushed upon Herbert, almost overthrew him, and disappeared in the wood.
6510_62516_000106_000000	All three directly darted after Top, but at the moment when they joined him the animal had disappeared under the waters of a large pond shaded by venerable pines.	All three directly darted after Top, but at the moment when they joined him the animal had disappeared under the waters of a large pond shaded by venerable pines.
6510_62516_000107_000000	Neb, Herbert, and Pencroft stopped, motionless.	Neb, Herbert, and Pencroft stopped, motionless.
6510_62516_000107_000001	Top plunged into the water, but the capybara, hidden at the bottom of the pond, did not appear.	Top plunged into the water, but the capybara, hidden at the bottom of the pond, did not appear.
6510_62516_000108_000000	"Let us wait," said the boy, "for he will soon come to the surface to breathe."	"Let us wait," said the boy, "for he will soon come to the surface to breathe."
6510_62516_000112_000003	An instant later the capybara, dragged to the bank, was killed by a blow from Neb's stick.	An instant later the capybara, dragged to the bank, was killed by a blow from Neb's stick.
6510_62516_000117_000000	Pencroft soon made a raft of wood, as he had done before, though if there was no fire it would be a useless task, and the raft following the current, they returned towards the Chimneys.	Pencroft soon made a raft of wood, as he had done before, though if there was no fire it would be a useless task, and the raft following the current, they returned towards the Chimneys.
6510_62516_000118_000000	But the sailor had not gone fifty paces when he stopped, and again uttering a tremendous hurrah, pointed towards the angle of the cliff,--	But the sailor had not gone fifty paces when he stopped, and again uttering a tremendous hurrah, pointed towards the angle of the cliff,--
6510_62516_000119_000000	"Herbert!	"Herbert!
6510_62516_000120_000000	Smoke was escaping and curling up among the rocks.	Smoke was escaping and curling up among the rocks.
