4595_45217_000002_000000	The next morning Bates placed a letter postmarked Cincinnati at my plate.	The next morning Bates placed a letter postmarked Cincinnati at my plate.
4595_45217_000003_000002	Very truly yours, Arthur Pickering, Executor of the Estate of John Marshall Glenarm.	Very truly yours, Arthur Pickering, Executor of the Estate of john Marshall Glenarm.
4595_45217_000004_000000	“Very truly the devil’s,” growled Larry, snapping his cigarette case viciously.	"Very truly the devil's," growled Larry, snapping his cigarette case viciously.
4595_45217_000005_000000	“How did he find out?”	"How did he find out?"
4595_45217_000005_000001	I asked lamely, but my heart sank like lead.	I asked lamely, but my heart sank like lead.
4595_45217_000005_000002	Had Marian Devereux told him!	Had Marian Devereux told him!
4595_45217_000005_000003	How else could he know?	How else could he know?
4595_45217_000006_000000	“Probably from the stars,—the whole universe undoubtedly saw you skipping off to meet your lady-love. Bah, these women!”	"Probably from the stars,—the whole universe undoubtedly saw you skipping off to meet your lady love. Bah, these women!"
4595_45217_000007_000003	Take that for your impertinence.	Take that for your impertinence.
4595_45217_000007_000004	But perhaps it was Bates?”	But perhaps it was Bates?"
4595_45217_000008_000000	I did not wait for an answer.	I did not wait for an answer.
4595_45217_000008_000001	I was not in a mood for reflection or nice distinctions.	I was not in a mood for reflection or nice distinctions.
4595_45217_000008_000002	The man came in just then with a fresh plate of toast.	The man came in just then with a fresh plate of toast.
4595_45217_000009_000000	“Bates, Mr. Pickering has learned that I was away from the house on the night of the attack, and I’m ordered off for having broken my agreement to stay here. How do you suppose he heard of it so promptly?”	"Bates, mr Pickering has learned that I was away from the house on the night of the attack, and I'm ordered off for having broken my agreement to stay here. How do you suppose he heard of it so promptly?"
4595_45217_000010_000000	“From Morgan, quite possibly.	"From Morgan, quite possibly.
4595_45217_000011_000000	He placed before me a note bearing the same date as my own.	He placed before me a note bearing the same date as my own.
4595_45217_000011_000001	It was a sharp rebuke of Bates for his failure to report my absence, and he was ordered to prepare to leave on the first of February.	It was a sharp rebuke of Bates for his failure to report my absence, and he was ordered to prepare to leave on the first of February.
4595_45217_000011_000002	“Close your accounts at the shopkeepers’ and I will audit your bills on my arrival.”	"Close your accounts at the shopkeepers' and I will audit your bills on my arrival."
4595_45217_000012_000000	The tone was peremptory and contemptuous.	The tone was peremptory and contemptuous.
4595_45217_000012_000001	Bates had failed to satisfy Pickering and was flung off like a smoked-out cigar.	Bates had failed to satisfy Pickering and was flung off like a smoked out cigar.
4595_45217_000014_000000	He met my gaze imperturbably.	He met my gaze imperturbably.
4595_45217_000017_000000	He was carrying away the coffee tray and his eyes wandered to the windows.	He was carrying away the coffee tray and his eyes wandered to the windows.
4595_45217_000018_000001	You see—”	You see—"
4595_45217_000019_000000	“But I don’t see!”	"But I don't see!"
4595_45217_000021_000000	He left hurriedly, as though to escape from the consequences of his words, and when I came to myself Larry was gloomily invoking his strange Irish gods.	He left hurriedly, as though to escape from the consequences of his words, and when I came to myself Larry was gloomily invoking his strange Irish gods.
4595_45217_000022_000000	“Larry Donovan, I’ve been tempted to kill that fellow a dozen times!	"Larry Donovan, I've been tempted to kill that fellow a dozen times!
4595_45217_000022_000001	This thing is too damned complicated for me.	This thing is too damned complicated for me.
4595_45217_000022_000002	I wish my lamented grandfather had left me something easy.	I wish my lamented grandfather had left me something easy.
4595_45217_000022_000003	To think of it—that fellow, after my treatment of him—my cursing and abusing him since I came here!	To think of it—that fellow, after my treatment of him—my cursing and abusing him since I came here!
4595_45217_000022_000004	Great Scott, man, I’ve been enjoying his bounty, I’ve been living on his money!	Great Scott, man, I've been enjoying his bounty, I've been living on his money!
4595_45217_000023_000000	“As I have said before, you’re rather lacking at times in perspicacity.	"As I have said before, you're rather lacking at times in perspicacity.
4595_45217_000023_000001	Your intelligence is marred by large opaque spots.	Your intelligence is marred by large opaque spots.
4595_45217_000023_000004	And now we’ve got to go to work.”	And now we've got to go to work."
4595_45217_000024_000000	Bah, these women!	Bah, these women!
