4595_45217_000000_000000	CHAPTER XXI	CHAPTER twenty one	false	0.51	8.94	21.80065
4595_45217_000001_000000	PICKERING SERVES NOTICE	PICKERING SERVES NOTICE	true	8.94	10.6	19.097492
4595_45217_000002_000000	The next morning Bates placed a letter postmarked Cincinnati at my plate.	The next morning Bates placed a letter postmarked Cincinnati at my plate.	true	11.84	15.85	26.446188
4595_45217_000002_000001	I opened and read it aloud to Larry: On Board the Heloise	I opened and read it aloud to Larry: On Board the Heloise	false	15.95	20.265	22.117794
4595_45217_000003_000000	December 25, 1901. John Glenarm, Esq., Glenarm House, Annandale, Wabana Co., Indiana: DEAR SIR—I have just learned from what I believe to be a trustworthy source that you have already violated the terms of the agreement under which you entered into residence on the property near Annandale, known as Glenarm House.	december twenty fifth nineteen o one. john Glenarm, e s q., Glenarm House, Annandale, Wabana Co., Indiana: DEAR SIR—I have just learned from what I believe to be a trustworthy source that you have already violated the terms of the agreement under which you entered into residence on the property near Annandale, known as Glenarm House.	false	20.265	39.55	21.79216
4595_45217_000003_000001	The provisions of the will of John Marshall Glenarm are plain and unequivocal, as you undoubtedly understood when you accepted them, and your absence, not only from the estate itself, but from Wabana County, violates beyond question your right to inherit. I, as executor, therefore demand that you at once vacate said property, leaving it in as good condition as when received by you.	The provisions of the will of john Marshall Glenarm are plain and unequivocal, as you undoubtedly understood when you accepted them, and your absence, not only from the estate itself, but from Wabana County, violates beyond question your right to inherit. I, as executor, therefore demand that you at once vacate said property, leaving it in as good condition as when received by you.	false	39.56	62.32	22.691483
4595_45217_000003_000002	Very truly yours, Arthur Pickering, Executor of the Estate of John Marshall Glenarm.	Very truly yours, Arthur Pickering, Executor of the Estate of john Marshall Glenarm.	true	62.42	67.81	23.133148
4595_45217_000004_000000	“Very truly the devil’s,” growled Larry, snapping his cigarette case viciously.	"Very truly the devil's," growled Larry, snapping his cigarette case viciously.	true	68.24	73	20.941849
4595_45217_000005_000000	“How did he find out?”	"How did he find out?"	true	73.67	75.21	20.219522
4595_45217_000005_000001	I asked lamely, but my heart sank like lead.	I asked lamely, but my heart sank like lead.	true	75.21	78.04	24.918325
4595_45217_000005_000002	Had Marian Devereux told him!	Had Marian Devereux told him!	true	78.17	80.05	22.807898
4595_45217_000005_000003	How else could he know?	How else could he know?	true	80.21	81.67	24.668215
4595_45217_000006_000000	“Probably from the stars,—the whole universe undoubtedly saw you skipping off to meet your lady-love. Bah, these women!”	"Probably from the stars,—the whole universe undoubtedly saw you skipping off to meet your lady love. Bah, these women!"	true	82.4	88.92	20
4595_45217_000007_000000	“Tut!	"Tut!	false	88.92	90.3	100
4595_45217_000007_000001	They don’t all marry the sons of brewers,” I retorted.	They don't all marry the sons of brewers," I retorted.	true	90.3	93.07	19.872261
4595_45217_000007_000002	“You assured me once, while your affair with that Irish girl was on, that the short upper lip made Heaven seem possible, but unnecessary; then the next thing I knew she had shaken you for the bloated masher.	"You assured me once, while your affair with that Irish girl was on, that the short upper lip made Heaven seem possible, but unnecessary; then the next thing I knew she had shaken you for the bloated masher.	false	93.23	104.05	21.621004
4595_45217_000007_000003	Take that for your impertinence.	Take that for your impertinence.	true	104.12	105.67	28.34648
4595_45217_000007_000004	But perhaps it was Bates?”	But perhaps it was Bates?"	true	106.04	107.41	25.749437
