7540_101258_000000_000000	(Volksmarchen der Serben.)	(Volksmarchen der Serben.)	false	4.83	6.765	20.565563
7540_101258_000001_000000	THE STORY OF THREE WONDERFUL BEGGARS	THE STORY OF THREE WONDERFUL BEGGARS	false	6.765	21.43	20.680141
7540_101258_000002_000000	There once lived a merchant whose name was Mark, and whom people called 'Mark the Rich.' He was a very hard-hearted man, for he could not bear poor people, and if he caught sight of a beggar anywhere near his house, he would order the servants to drive him away, or would set the dogs at him.	There once lived a merchant whose name was Mark, and whom people called 'Mark the Rich.' He was a very hard hearted man, for he could not bear poor people, and if he caught sight of a beggar anywhere near his house, he would order the servants to drive him away, or would set the dogs at him.	true	22.4	39.43	19.432463
7540_101258_000003_000000	One day three very poor old men came begging to the door, and just as he was going to let the fierce dogs loose on them, his little daughter, Anastasia, crept close up to him and said:	One day three very poor old men came begging to the door, and just as he was going to let the fierce dogs loose on them, his little daughter, Anastasia, crept close up to him and said:	false	39.92	51.43	21.647657
7540_101258_000004_000000	'Dear daddy, let the poor old men sleep here to-night, do--to please me.'	'Dear daddy, let the poor old men sleep here to night, do-to please me.'	true	51.74	56.86	21.975199
7540_101258_000005_000000	Her father could not bear to refuse her, and the three beggars were allowed to sleep in a loft, and at night, when everyone in the house was fast asleep, little Anastasia got up, climbed up to the loft, and peeped in.	Her father could not bear to refuse her, and the three beggars were allowed to sleep in a loft, and at night, when everyone in the house was fast asleep, little Anastasia got up, climbed up to the loft, and peeped in.	true	57.62	69.91	19.258558
7540_101258_000006_000000	The three old men stood in the middle of the loft, leaning on their sticks, with their long grey beards flowing down over their hands, and were talking together in low voices.	The three old men stood in the middle of the loft, leaning on their sticks, with their long grey beards flowing down over their hands, and were talking together in low voices.	true	70.4	79.54	20.889524
7540_101258_000007_000000	'What news is there?' asked the eldest.	'What news is there?' asked the eldest.	true	80.18	82.54	22.245768
7540_101258_000008_000000	'In the next village the peasant Ivan has just had his seventh son.	'In the next village the peasant Ivan has just had his seventh son.	true	82.73	86.44	19.383596
7540_101258_000008_000001	What shall we name him, and what fortune shall we give him?' said the second.	What shall we name him, and what fortune shall we give him?' said the second.	true	86.51	90.91	20.136753
7540_101258_000009_000000	The third whispered, 'Call him Vassili, and give him all the property of the hard-hearted man in whose loft we stand, and who wanted to drive us from his door.'	The third whispered, 'Call him Vassili, and give him all the property of the hard hearted man in whose loft we stand, and who wanted to drive us from his door.'	false	91.49	100.75	18.23732
