7540_101258_000004_000000	'Dear daddy, let the poor old men sleep here to-night, do--to please me.'	'Dear daddy, let the poor old men sleep here to night, do-to please me.'
7540_101258_000006_000000	The three old men stood in the middle of the loft, leaning on their sticks, with their long grey beards flowing down over their hands, and were talking together in low voices.	The three old men stood in the middle of the loft, leaning on their sticks, with their long grey beards flowing down over their hands, and were talking together in low voices.
7540_101258_000007_000000	'What news is there?' asked the eldest.	'What news is there?' asked the eldest.
7540_101258_000008_000001	What shall we name him, and what fortune shall we give him?' said the second.	What shall we name him, and what fortune shall we give him?' said the second.
7540_101258_000013_000002	Who can be got to stand godfather to such a little beggar boy?'	Who can be got to stand godfather to such a little beggar boy?'
7540_101258_000015_000000	'Look here, my friend, you are a poor man.	'Look here, my friend, you are a poor man.
7540_101258_000015_000001	How can you afford to bring up the boy?	How can you afford to bring up the boy?
7540_101258_000015_000003	Is that a bargain?'	Is that a bargain?'
7540_101258_000016_000001	When he had driven some miles he drew up, carried the child to the edge of a steep precipice and threw it over, muttering, 'There, now try to take my property!'	When he had driven some miles he drew up, carried the child to the edge of a steep precipice and threw it over, muttering, 'There, now try to take my property!'
7540_101258_000018_000000	As they were passing near the precipice they heard a sound of crying, and on looking over they saw a little green meadow wedged in between two great heaps of snow, and on the meadow lay a baby amongst the flowers.	As they were passing near the precipice they heard a sound of crying, and on looking over they saw a little green meadow wedged in between two great heaps of snow, and on the meadow lay a baby amongst the flowers.
7540_101258_000019_000000	The merchants picked up the child, wrapped it up carefully, and drove on.	The merchants picked up the child, wrapped it up carefully, and drove on.
7540_101258_000019_000002	Mark guessed at once that the child must be his godson, asked to see him, and said:	Mark guessed at once that the child must be his godson, asked to see him, and said:
7540_101258_000020_000001	If you will make him over to me, I will let you off your debt.'	If you will make him over to me, I will let you off your debt.'
7540_101258_000022_000000	At night Mark took the child, put it in a barrel, fastened the lid tight down, and threw it into the sea.	At night Mark took the child, put it in a barrel, fastened the lid tight down, and threw it into the sea.
7540_101258_000022_000001	The barrel floated away to a great distance, and at last it floated close up to a monastery.	The barrel floated away to a great distance, and at last it floated close up to a monastery.
7540_101258_000022_000002	The monks were just spreading out their nets to dry on the shore, when they heard the sound of crying.	The monks were just spreading out their nets to dry on the shore, when they heard the sound of crying.
7540_101258_000022_000003	It seemed to come from the barrel which was bobbing about near the water's edge.	It seemed to come from the barrel which was bobbing about near the water's edge.
7540_101258_000023_000000	The boy lived on with the monks, and grew up to be a clever, gentle, and handsome young man.	The boy lived on with the monks, and grew up to be a clever, gentle, and handsome young man.
7540_101258_000024_000000	Now, it happened about this time that the merchant, Mark, came to the monastery in the course of a journey.	Now, it happened about this time that the merchant, Mark, came to the monastery in the course of a journey.
7540_101258_000024_000002	When he went into the church the choir was singing, and one voice was so clear and beautiful, that he asked who it belonged to.	When he went into the church the choir was singing, and one voice was so clear and beautiful, that he asked who it belonged to.
7540_101258_000025_000001	If he could only come to me I would make him overseer of all my business.	If he could only come to me I would make him overseer of all my business.
7540_101258_000025_000002	As you say, he is so good and clever.	As you say, he is so good and clever.
7540_101258_000025_000003	Do spare him to me.	Do spare him to me.
7540_101258_000025_000004	I will make his fortune, and will present your monastery with twenty thousand crowns.'	I will make his fortune, and will present your monastery with twenty thousand crowns.'
7540_101258_000026_000000	The abbot hesitated a good deal, but he consulted all the other monks, and at last they decided that they ought not to stand in the way of Vassili's good fortune.	The abbot hesitated a good deal, but he consulted all the other monks, and at last they decided that they ought not to stand in the way of Vassili's good fortune.
7540_101258_000028_000001	On the way he met three beggars, who asked him: 'Where are you going, Vassili?'	On the way he met three beggars, who asked him: 'Where are you going, Vassili?'
7540_101258_000029_000000	'I am going to the house of Mark the Merchant, and have a letter for his wife,' replied Vassili.	'I am going to the house of Mark the Merchant, and have a letter for his wife,' replied Vassili.
7540_101258_000031_000001	They blew on it and gave it back to him, saying: 'Now go and give the letter to Mark's wife.	They blew on it and gave it back to him, saying: 'Now go and give the letter to Mark's wife.
7540_101258_000031_000002	You will not be forsaken.'	You will not be forsaken.'
7540_101258_000032_000000	Vassili reached the house and gave the letter.	Vassili reached the house and gave the letter.
7540_101258_000032_000001	When the mistress read it she could hardly believe her eyes and called for her daughter.	When the mistress read it she could hardly believe her eyes and called for her daughter.
7540_101258_000032_000003	If you don't obey my orders I shall be very angry.'	If you don't obey my orders I shall be very angry.'
7540_101258_000034_000000	In due time, Mark returned from his travels.	In due time, Mark returned from his travels.
7540_101258_000034_000001	His wife, daughter, and son-in-law all went out to meet him.	His wife, daughter, and son in law all went out to meet him.
7540_101258_000036_000000	Mark read it.	Mark read it.
7540_101258_000036_000001	It certainly was his handwriting, but by no means his wishes.	It certainly was his handwriting, but by no means his wishes.
7540_101258_000038_000001	Twelve years ago he built a castle on some land of mine.	Twelve years ago he built a castle on some land of mine.
7540_101258_000040_000001	As he tramped along he suddenly heard a voice saying: 'Vassili! where are you going?'	As he tramped along he suddenly heard a voice saying: 'Vassili! where are you going?'
7540_101258_000042_000000	'I did; this old wide-spreading oak.	'I did; this old wide spreading oak.
7540_101258_000043_000000	'I am going to the Serpent King to receive twelve years' rent from him.'	'I am going to the Serpent King to receive twelve years' rent from him.'
7540_101258_000044_000000	'When the time comes, remember me and ask the king: "Rotten to the roots, half dead but still green, stands the old oak.	'When the time comes, remember me and ask the king: "Rotten to the roots, half dead but still green, stands the old oak.
7540_101258_000044_000001	Is it to stand much longer on the earth?"'	Is it to stand much longer on the earth?"'
7540_101258_000048_000000	'Very well,' said Vassili; 'I'll ask him.'	'Very well,' said Vassili; 'I'll ask him.'
7540_101258_000049_000000	And he walked on.	And he walked on.
7540_101258_000049_000002	As he stepped on it the whale said, 'Do tell me where you are going.'	As he stepped on it the whale said, 'Do tell me where you are going.'
7540_101258_000050_000000	'I am going to the Serpent King.'	'I am going to the Serpent King.'
7540_101258_000052_000000	'I will remember,' said Vassili, and he went on.	'I will remember,' said Vassili, and he went on.
7540_101258_000053_000002	Vassili walked in, and went from one room to another astonished at all the splendour he saw.	Vassili walked in, and went from one room to another astonished at all the splendour he saw.
