4846_18524_000000_000000	XXIII	twenty three	false	0.84	21.22	18.010117
4846_18524_000001_000000	IN THE SHADOW OF THE MATTERHORN	IN THE SHADOW OF THE MATTERHORN	true	21.53	23.35	14
4846_18524_000002_000000	They had been days at dear Interlaken, walking up and down the _Hoheweg_, of which they never tired, or resting on the benches under the plane and walnut trees opposite their hotel, just sitting still to gaze their fill upon the _Jungfrau_.	They had been days at dear Interlaken, walking up and down the underscore Hoheweg underscore, of which they never tired, or resting on the benches under the plane and walnut trees opposite their hotel, just sitting still to gaze their fill upon the underscore Jungfrau underscore.	false	24.05	39.18	15
4846_18524_000002_000001	This was best of all--so Polly and Jasper thought; and Phronsie was content to pass hour after hour there, by Grandpapa's side, and imagine all sorts of pretty pictures and stories in and about the snow-clad heights of the majestic mountain.	This was best of all-so Polly and Jasper thought; and Phronsie was content to pass hour after hour there, by Grandpapa's side, and imagine all sorts of pretty pictures and stories in and about the snow clad heights of the majestic mountain.	false	39.18	53.26	15
4846_18524_000003_000000	And the throng of gaily dressed people sojourning in the big hotels, and the stream of tourists, passed and repassed, with many a curious glance at the stately, white-haired old gentleman and the little yellow-haired girl by his side.	And the throng of gaily dressed people sojourning in the big hotels, and the stream of tourists, passed and repassed, with many a curious glance at the stately, white haired old gentleman and the little yellow haired girl by his side.	true	54.05	66.46	14
4846_18524_000004_000000	"A perfect beauty!" exclaimed more than one matron, with a sigh for her ugly girls by her side or left at home.	"A perfect beauty!" exclaimed more than one matron, with a sigh for her ugly girls by her side or left at home.	true	66.83	73.69	16
4846_18524_000005_000000	"She's stunning, and no mistake!" Many a connoisseur in feminine loveliness turned for a last look, or passed again for the same purpose.	"She's stunning, and no mistake!" Many a connoisseur in feminine loveliness turned for a last look, or passed again for the same purpose.	true	74.03	83.05	16
4846_18524_000006_000000	"Grandpapa," Phronsie prattled on, "that looks just like a little tent up there--a little white tent; doesn't it, Grandpapa dear?"	"Grandpapa," Phronsie prattled on, "that looks just like a little tent up there-a little white tent; doesn't it, Grandpapa dear?"	true	83.63	91.39	19
4846_18524_000007_000000	"Yes, Phronsie," said Grandpapa, happily, just as he would have said "Yes, Phronsie," if she had pointed out any other object in the snowy outline.	"Yes, Phronsie," said Grandpapa, happily, just as he would have said "Yes, Phronsie," if she had pointed out any other object in the snowy outline.	true	91.7	100.09	14
4846_18524_000008_000000	"And there's a cunning little place where you and I could creep into the tent," said Phronsie, bending her neck like a meditative bird.	"And there's a cunning little place where you and I could creep into the tent," said Phronsie, bending her neck like a meditative bird.	true	100.7	107.38	16
4846_18524_000008_000001	"And I very much wish we could, Grandpapa dear."	"And I very much wish we could, Grandpapa dear."	true	107.51	110.2	13
