8527_281132_000001_000000	In the month of January, the daily routine of their lives was rather unpleasantly disturbed.	In the month of January, the daily routine of their lives was rather unpleasantly disturbed.
8527_281132_000001_000001	A party of fifty Crow Indians made an unfriendly visit to their camp on one very dark night.	A party of fifty Crow Indians made an unfriendly visit to their camp on one very dark night.
8527_281132_000001_000002	They succeeded in stealing nine of their loose animals, with which they escaped unperceived.	They succeeded in stealing nine of their loose animals, with which they escaped unperceived.
8527_281132_000001_000004	Kit Carson, with twelve of his companions, immediately saddled their horses and started in pursuit.	Kit Carson, with twelve of his companions, immediately saddled their horses and started in pursuit.
8527_281132_000001_000005	It was very difficult to follow the trail of the Indians from the fact that many herds of buffalo had crossed and repeatedly recrossed it during the night, making the tracks very indistinct.	It was very difficult to follow the trail of the Indians from the fact that many herds of buffalo had crossed and repeatedly recrossed it during the night, making the tracks very indistinct.
8527_281132_000001_000006	Having traveled forty miles, their horses, which were very poor in flesh, became fatigued, causing them to think of making a halt.	Having traveled forty miles, their horses, which were very poor in flesh, became fatigued, causing them to think of making a halt.
8527_281132_000001_000008	With this object in view they traveled towards some timber which was near by.	With this object in view they traveled towards some timber which was near by.
8527_281132_000001_000009	On arriving at the woods, the advance of the party, to their surprise and not less to their satisfaction, discovered the smoke of their enemies' fires.	On arriving at the woods, the advance of the party, to their surprise and not less to their satisfaction, discovered the smoke of their enemies' fires.
8527_281132_000001_000011	Their first care was to secure and provide for their animals.	Their first care was to secure and provide for their animals.
8527_281132_000001_000012	The second was to prepare their arms.	The second was to prepare their arms.
8527_281132_000001_000013	As soon as it would do for them to move, they started, eager for the strife.	As soon as it would do for them to move, they started, eager for the strife.
8527_281132_000001_000015	Their movements were made slowly and with great care in order not to alarm the savages.	Their movements were made slowly and with great care in order not to alarm the savages.
8527_281132_000001_000016	Having obtained a position close enough to observe the strength of their enemies, they stopped to reconnoitre.	Having obtained a position close enough to observe the strength of their enemies, they stopped to reconnoitre.
8527_281132_000001_000017	The men then crept for a long distance on their hands and knees until finally they obtained a full view of the Indians, which showed them that the savages had erected two rough forts and that they were now divided into two parties.	The men then crept for a long distance on their hands and knees until finally they obtained a full view of the Indians, which showed them that the savages had erected two rough forts and that they were now divided into two parties.
8527_281132_000001_000018	A dance was in progress in honor of the robbery so recently perpetrated, which proved conclusively, that they were without even a suspicion of danger.	A dance was in progress in honor of the robbery so recently perpetrated, which proved conclusively, that they were without even a suspicion of danger.
8527_281132_000001_000019	Just outside one of the forts, the nine stolen animals were securely tied.	Just outside one of the forts, the nine stolen animals were securely tied.
8527_281132_000001_000020	This sight did not tend to allay the wrath of the trappers.	This sight did not tend to allay the wrath of the trappers.
8527_281132_000001_000021	They resolved that come what might the attempt to regain their property and punish the Indians should be made notwithstanding their strength.	They resolved that come what might the attempt to regain their property and punish the Indians should be made notwithstanding their strength.
8527_281132_000001_000022	To insure success in spite of their weakness, they determined to conceal themselves and wait quietly until the Indians had lain down for sleep.	To insure success in spite of their weakness, they determined to conceal themselves and wait quietly until the Indians had lain down for sleep.
8527_281132_000001_000023	During this time of suspense the trappers were subjected to great suffering for the weather was intensely cold and they possessed but a scanty allowance of clothing fit for such work.	During this time of suspense the trappers were subjected to great suffering for the weather was intensely cold and they possessed but a scanty allowance of clothing fit for such work.
8527_281132_000001_000024	But as there is an end to all things, there was an end to the dance and other festivities and the savages sought their rest.	But as there is an end to all things, there was an end to the dance and other festivities and the savages sought their rest.
8527_281132_000001_000025	At last the time for action arrived.	At last the time for action arrived.
8527_281132_000001_000026	Kit Carson and five of his companions commenced crawling towards the stolen horses, which, on reaching, were easily set free by cutting their halters.	Kit Carson and five of his companions commenced crawling towards the stolen horses, which, on reaching, were easily set free by cutting their halters.
8527_281132_000001_000027	They then threw snow-balls at them and by this means drove them away without disturbing the sleeping Indians.	They then threw snow balls at them and by this means drove them away without disturbing the sleeping Indians.
8527_281132_000001_000030	The remainder, those who had lost no animals, wanted satisfaction for the trouble and hardship they had undergone while in pursuit of the thieves. Kit Carson and two others composed this latter party and thus were determined to punish the thieves, let the consequences of the attempt be ever so fatal.	The remainder, those who had lost no animals, wanted satisfaction for the trouble and hardship they had undergone while in pursuit of the thieves. Kit Carson and two others composed this latter party and thus were determined to punish the thieves, let the consequences of the attempt be ever so fatal.
8527_281132_000001_000031	The more peaceful party, seeing this earnestness, could not do otherwise than lend their aid in the fight and cheerfully did so.	The more peaceful party, seeing this earnestness, could not do otherwise than lend their aid in the fight and cheerfully did so.
8527_281132_000002_000000	There always existed such a feeling of brotherly love among the old trappers of the Rocky Mountains, that the hour of peril was never the hour for separation or desertion.	There always existed such a feeling of brotherly love among the old trappers of the Rocky Mountains, that the hour of peril was never the hour for separation or desertion.
