1806_2536_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	11.28	13.57	27.790497
1806_2536_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	14.09	17.53	21.717962
1806_2536_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	17.96	24.84	23.446657
1806_2536_000001_000000	THE PIONEERS ***	THE PIONEERS asterisk asterisk asterisk	false	24.84	25.02	-20
1806_2536_000002_000000	Produced by Gary Rezny and David Widger	Produced by Gary Rezny and David Widger	false	25.02	25.29	-20
1806_2536_000003_000000	THE PIONEERS	THE PIONEERS	false	25.29	25.35	-20
1806_2536_000004_000000	Or, The Sources of the Susquehanna	Or, The Sources of the Susquehanna	false	25.35	25.59	-20
1806_2536_000005_000000	A Descriptive Tale	A Descriptive Tale	false	25.59	25.68	-20
1806_2536_000006_000000	By J. Fenimore Cooper	By j Fenimore Cooper	false	25.68	25.86	-20
1806_2536_000007_000000	INTRODUCTION	INTRODUCTION	true	25.86	26.89	26.467632
1806_2536_000008_000000	As this work professes, in its title-page, to be a descriptive tale, they who will take the trouble to read it may be glad to know how much of its contents is literal fact, and how much is intended to represent a general picture.	As this work professes, in its title page, to be a descriptive tale, they who will take the trouble to read it may be glad to know how much of its contents is literal fact, and how much is intended to represent a general picture.	true	27.77	43.96	23.866177
1806_2536_000008_000001	The author is very sensible that, had he confined himself to the latter, always the most effective, as it is the most valuable, mode of conveying knowledge of this nature, he would have made a far better book.	The author is very sensible that, had he confined himself to the latter, always the most effective, as it is the most valuable, mode of conveying knowledge of this nature, he would have made a far better book.	true	44.54	59.89	22.202188
1806_2536_000008_000002	But in commencing to describe scenes, and perhaps he may add characters, that were so familiar to his own youth, there was a constant temptation to delineate that which he had known, rather than that which he might have imagined.	But in commencing to describe scenes, and perhaps he may add characters, that were so familiar to his own youth, there was a constant temptation to delineate that which he had known, rather than that which he might have imagined.	true	60.5	77.59	24.402016
