1806_2536_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
1806_2536_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
1806_2536_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
1806_2536_000007_000000	INTRODUCTION	INTRODUCTION
1806_2536_000008_000000	As this work professes, in its title-page, to be a descriptive tale, they who will take the trouble to read it may be glad to know how much of its contents is literal fact, and how much is intended to represent a general picture.	As this work professes, in its title page, to be a descriptive tale, they who will take the trouble to read it may be glad to know how much of its contents is literal fact, and how much is intended to represent a general picture.
1806_2536_000008_000001	The author is very sensible that, had he confined himself to the latter, always the most effective, as it is the most valuable, mode of conveying knowledge of this nature, he would have made a far better book.	The author is very sensible that, had he confined himself to the latter, always the most effective, as it is the most valuable, mode of conveying knowledge of this nature, he would have made a far better book.
1806_2536_000008_000002	But in commencing to describe scenes, and perhaps he may add characters, that were so familiar to his own youth, there was a constant temptation to delineate that which he had known, rather than that which he might have imagined.	But in commencing to describe scenes, and perhaps he may add characters, that were so familiar to his own youth, there was a constant temptation to delineate that which he had known, rather than that which he might have imagined.
1806_2536_000010_000000	Otsego, in common with most of the interior of the province of New York, was included in the county of Albany previously to the war of the separation.	Otsego, in common with most of the interior of the province of New York, was included in the county of Albany previously to the war of the separation.
1806_2536_000010_000001	It then became, in a subsequent division of territory, a part of Montgomery; and finally, having obtained a sufficient population of its own, it was set apart as a county by itself shortly after the peace of 1783.	It then became, in a subsequent division of territory, a part of Montgomery; and finally, having obtained a sufficient population of its own, it was set apart as a county by itself shortly after the peace of seventeen eighty three.
1806_2536_000011_000001	There is a tradition which says that the neighboring tribes were accustomed to meet on the banks of the lake to make their treaties, and otherwise to strengthen their alliances, and which refers the name to this practice.	There is a tradition which says that the neighboring tribes were accustomed to meet on the banks of the lake to make their treaties, and otherwise to strengthen their alliances, and which refers the name to this practice.
1806_2536_000011_000002	As the Indian agent of New York had a log dwelling at the foot of the lake, however, it is not impossible that the appellation grew out of the meetings that were held at his council fires; the war drove off the agent, in common with the other officers of the crown; and his rude dwelling was soon abandoned.	As the Indian agent of New York had a log dwelling at the foot of the lake, however, it is not impossible that the appellation grew out of the meetings that were held at his council fires; the war drove off the agent, in common with the other officers of the crown; and his rude dwelling was soon abandoned.
1806_2536_000011_000003	The author remembers it, a few years later, reduced to the humble office of a smoke-house.	The author remembers it, a few years later, reduced to the humble office of a smoke house.
1806_2536_000012_000000	In 1779 an expedition was sent against the hostile Indians, who dwelt about a hundred miles west of Otsego, on the banks of the Cayuga.	In seventeen seventy nine an expedition was sent against the hostile Indians, who dwelt about a hundred miles west of Otsego, on the banks of the Cayuga.
1806_2536_000012_000002	One brigade ascended the Mohawk until it reached the point nearest to the sources of the Susquehanna, whence it cut a lane through the forest to the head of the Otsego.	One brigade ascended the Mohawk until it reached the point nearest to the sources of the Susquehanna, whence it cut a lane through the forest to the head of the Otsego.
1806_2536_000012_000003	The boats and baggage were carried over this "portage," and the troops proceeded to the other extremity of the lake, where they disembarked and encamped.	The boats and baggage were carried over this "portage," and the troops proceeded to the other extremity of the lake, where they disembarked and encamped.
1806_2536_000012_000004	The Susquehanna, a narrow though rapid stream at its source, was much filled with "flood wood," or fallen trees; and the troops adopted a novel expedient to facilitate their passage.	The Susquehanna, a narrow though rapid stream at its source, was much filled with "flood wood," or fallen trees; and the troops adopted a novel expedient to facilitate their passage.
1806_2536_000012_000005	The Otsego is about nine miles in length, varying in breadth from half a mile to a mile and a half.	The Otsego is about nine miles in length, varying in breadth from half a mile to a mile and a half.
1806_2536_000012_000006	The water is of great depth, limpid, and supplied from a thousand springs. At its foot the banks are rather less than thirty feet high the remainder of its margin being in mountains, intervals, and points.	The water is of great depth, limpid, and supplied from a thousand springs. At its foot the banks are rather less than thirty feet high the remainder of its margin being in mountains, intervals, and points.
1806_2536_000012_000007	The outlet, or the Susquehanna, flows through a gorge in the low banks just mentioned, which may have a width of two hundred feet.	The outlet, or the Susquehanna, flows through a gorge in the low banks just mentioned, which may have a width of two hundred feet.
1806_2536_000013_000000	When all was ready the troops embarked, the damn was knocked away, the Otsego poured out its torrent, and the boats went merrily down with the current.	When all was ready the troops embarked, the damn was knocked away, the Otsego poured out its torrent, and the boats went merrily down with the current.
1806_2536_000014_000000	General James Clinton, the brother of George Clinton, then governor of New York, and the father of De Witt Clinton, who died governor of the same State in 1827, commanded the brigade employed on this duty.	General james Clinton, the brother of George Clinton, then governor of New York, and the father of De Witt Clinton, who died governor of the same State in eighteen twenty seven, commanded the brigade employed on this duty.
1806_2536_000014_000001	During the stay of the troops at the foot of the Otsego a soldier was shot for desertion.	During the stay of the troops at the foot of the Otsego a soldier was shot for desertion.
