5063_32451_000000_000000	HAMILTON WRIGHT MABIE	HAMILTON WRIGHT MABIE	false	9.72	21.03	20.14202
5063_32451_000001_000000	Chevy Chace	Chevy Chace	true	21.03	22.18	19.665913
5063_32451_000002_000000	God prosper long our noble king, Our liffes and safetyes all; A woefull hunting once there did In Chevy-Chace befall.	God prosper long our noble king, Our liffes and safetyes all; A woefull hunting once there did In Chevy Chace befall.	false	22.37	33.43	19.383669
5063_32451_000003_000000	To drive the deere with hound and horne, Erle Percy took his way; The child may rue that is unborne The hunting of that day.	To drive the deere with hound and horne, Erle Percy took his way; The child may rue that is unborne The hunting of that day.	true	33.65	43.78	19.623344
5063_32451_000004_000000	The stout Erle of Northumberland A vow to God did make, His pleasure in the Scottish woods Three summers days to take;	The stout Erle of Northumberland A vow to God did make, His pleasure in the Scottish woods Three summers days to take;	true	44.24	53.835	19.462675
5063_32451_000005_000000	The cheefest harts in Chevy-Chace To kill and beare away: These tydings to Erle Douglas came, In Scotland where he lay.	The cheefest harts in Chevy Chace To kill and beare away: These tydings to Erle Douglas came, In Scotland where he lay.	true	53.835	63.82	18
5063_32451_000006_000000	Who sent Erie Percy present word, He wold prevent his sport; The English Erle not fearing that, Did to the woods resort,	Who sent Erie Percy present word, He wold prevent his sport; The English Erle not fearing that, Did to the woods resort,	false	64.01	74.14	19.409155
5063_32451_000007_000000	With fifteen hundred bow-men bold, All chosen men of might, Who knew full well in time of neede To ayme their shafts arright.	With fifteen hundred bow men bold, All chosen men of might, Who knew full well in time of neede To a y m e their shafts arright.	false	74.33	84.55	18.749472
5063_32451_000008_000000	The gallant greyhounds swiftly ran, To chase the fallow deere; On Munday they began to hunt, Ere day-light did appeare;	The gallant greyhounds swiftly ran, To chase the fallow deere; On Munday they began to hunt, Ere day light did appeare;	true	84.95	94.51	18.634464
5063_32451_000009_000000	And long before high noone they had An hundred fat buckes slaine; Then having din'd, the drovyers went To rouze the deare againe.	And long before high noone they had An hundred fat buckes slaine; Then having din'd, the drovyers went To rouze the deare againe.	false	94.73	104.74	17
5063_32451_000010_000000	The bow-men mustered on the hills, Well able to endure; Theire backsides all, with speciall care, That day were guarded sure.	The bow men mustered on the hills, Well able to endure; Theire backsides all, with speciall care, That day were guarded sure.	true	105.02	114.52	19
5063_32451_000011_000000	The hounds ran swiftly through the woods, The nimble deere to take, That with their cryes the hills and dales An eccho shrill did make.	The hounds ran swiftly through the woods, The nimble deere to take, That with their cryes the hills and dales An e c c h o shrill did make.	false	114.65	124.57	20.058994
5063_32451_000012_000000	Lord Percy to the quarry went, To view the tender deere; Quoth he, "Erle Douglas promised This day to meet me heere;	Lord Percy to the quarry went, To view the tender deere; Quoth he, "Erle Douglas promised This day to meet me heere;	true	124.64	133.9	20.18693
5063_32451_000013_000000	"But if I thought he wold not come, Noe longer wold I stay." With that, a brave younge gentleman Thus to the Erle did say:	"But if I thought he wold not come, Noe longer wold I stay." With that, a brave younge gentleman Thus to the Erle did say:	false	134	143.38	18.983194
5063_32451_000014_000000	"Loe, yonder doth Erle Douglas come, His men in armour bright; Full twenty hundred Scottish speres, All marching in our sight.	"Loe, yonder doth Erle Douglas come, His men in armour bright; Full twenty hundred Scottish speres, All marching in our sight.	true	143.57	153.97	19.27293
5063_32451_000015_000000	"All men of pleasant Tivydale, Fast by the river Tweede:" "O cease your sport," Erle Percy said, "And take your bowes with speede.	"All men of pleasant Tivydale, Fast by the river Tweede:" "O cease your sport," Erle Percy said, "And take your bowes with speede.	true	154.16	163.98	19.676903
5063_32451_000016_000000	"And now with me, my countrymen, Your courage forth advance; For never was there champion yett In Scotland or in France,	"And now with me, my countrymen, Your courage forth advance; For never was there champion yett In Scotland or in France,	true	163.98	174.04	19.203598
5063_32451_000017_000000	"That ever did on horsebacke come, But, if my hap it were, I durst encounter man for man, With him to breake a spere."	"That ever did on horsebacke come, But, if my hap it were, I durst encounter man for man, With him to breake a spere."	false	174.14	183.51	20.270447
5063_32451_000018_000000	Erle Douglas on his milke-white steede, Most like a baron bold, Rode formost of his company, Whose armour shone like gold.	Erle Douglas on his milke white steede, Most like a baron bold, Rode formost of his company, Whose armour shone like gold.	false	183.51	193.6	19
5063_32451_000019_000000	"Show me," sayd hee, "whose men you bee, That hunt soe boldly heere, That, without my consent, doe chase And kill my fallow-deere."	"Show me," sayd hee, "whose men you bee, That hunt s o e boldly heere, That, without my consent, doe chase And kill my fallow deere."	false	193.76	203.98	19.856297
5063_32451_000020_000000	The man that first did answer make Was noble Percy hee; Who sayd, "Wee list not to declare, Nor shew whose men wee bee.	The man that first did answer make Was noble Percy hee; Who sayd, "Wee list not to declare, Nor shew whose men wee bee.	false	204.2	213.46	20.577711
5063_32451_000021_000000	"Yet will wee spend our deerest blood, Thy cheefest harts to slay;" Then Douglas swore a solempne oathe, And thus in rage did say;	"Yet will wee spend our deerest blood, Thy cheefest harts to slay;" Then Douglas swore a solempne oathe, And thus in rage did say;	false	213.62	224.325	21.040812
5063_32451_000022_000000	"Ere thus I will out-braved bee, One of us two shall dye: I know thee well, an erle thou art; Lord Percy, soe am I.	"Ere thus I will out braved bee, One of us two shall dye: I know thee well, an erle thou art; Lord Percy, s o e am i	false	224.325	234.72	19.89159
5063_32451_000023_000000	"But trust me, Percy, pittye it were, And great offence, to kill Any of these our guiltlesse men, For they have done no ill.	"But trust me, Percy, pittye it were, And great offence, to kill Any of these our guiltlesse men, For they have done no ill.	true	234.72	243.88	17
