2787_157400_000000_000000	"I cannot tell," John answered.	"I cannot tell," john answered.	false	2.55	4.41	21.592997
2787_157400_000000_000001	"Are you going down the hill?"	"Are you going down the hill?"	false	4.41	7.83	25.057846
2787_157400_000001_000000	"No--thanks--I am going home," said Joe.	"No-thanks-I am going home," said Joe.	false	7.83	19.17	23.475664
2787_157400_000001_000001	"Good-by."	"Good by."	false	19.17	21.99	24.40918
2787_157400_000002_000000	CHAPTER X.	CHAPTER ten	true	21.99	22.87	22.362057
2787_157400_000003_000000	Joe had been mistaken in thinking that Ronald would be less well received than herself.	Joe had been mistaken in thinking that Ronald would be less well received than herself.	true	23.39	28.33	19
2787_157400_000003_000001	There was of course the usual amount of gossip concerning him, but as he refrained from eccentricities of dress when asked to dinner, and did not bet that he would ride his horse into the smoking-room of the Somerset Club, the gossip soon lost ground against the list of his good qualities.	There was of course the usual amount of gossip concerning him, but as he refrained from eccentricities of dress when asked to dinner, and did not bet that he would ride his horse into the smoking room of the Somerset Club, the gossip soon lost ground against the list of his good qualities.	true	28.43	44.71	21.940775
2787_157400_000003_000002	Moreover, he was extremely good-looking, and his manner was modesty itself.	Moreover, he was extremely good looking, and his manner was modesty itself.	true	44.78	49.905	19.13595
2787_157400_000003_000003	He admired everything he saw, partly because it was new to him, and partly because there was a good deal to admire.	He admired everything he saw, partly because it was new to him, and partly because there was a good deal to admire.	false	49.905	56.715	21
2787_157400_000004_000000	For a day or two after the final scene with Joe he had avoided seeing her. He had not been able to resist the temptation to go back on the same day, and he had spent some hours in considering that human affairs are extremely mutable.	For a day or two after the final scene with Joe he had avoided seeing her. He had not been able to resist the temptation to go back on the same day, and he had spent some hours in considering that human affairs are extremely mutable.	true	56.715	70.215	18
2787_157400_000004_000001	But the scenes about him were too new, and very many of the faces he saw were too attractive, to allow of his brooding for long over his misfortune.	But the scenes about him were too new, and very many of the faces he saw were too attractive, to allow of his brooding for long over his misfortune.	true	70.215	78.975	21
2787_157400_000004_000002	His first impulse had been to go away again on the very evening of his arrival.	His first impulse had been to go away again on the very evening of his arrival.	true	78.975	84.135	19.413961
2787_157400_000004_000003	He had gone to see Joe, arriving during luncheon, in the expectation of seeing her alone again.	He had gone to see Joe, arriving during luncheon, in the expectation of seeing her alone again.	true	84.135	90.24	21.456457
2787_157400_000004_000004	There would be a scene of solemn farewell, in which he would bid her be happy in her own way, in a tone of semi-paternal benevolence, after which he would give her his blessing, and bid farewell to the pomps and vanities of society.	There would be a scene of solemn farewell, in which he would bid her be happy in her own way, in a tone of semi paternal benevolence, after which he would give her his blessing, and bid farewell to the pomps and vanities of society.	true	90.24	103.99	20.233114
2787_157400_000004_000005	He would naturally retire gloomily from the gay world, and end his miserable existence in the approved Guy Livingstone fashion of life, between cavendish tobacco, deep drinking, and high play.	He would naturally retire gloomily from the gay world, and end his miserable existence in the approved Guy Livingstone fashion of life, between cavendish tobacco, deep drinking, and high play.	true	104.06	117.67	22.15354
2787_157400_000004_000006	Joe would then repent of the ruin she had caused, and that would be a great satisfaction.	Joe would then repent of the ruin she had caused, and that would be a great satisfaction.	true	117.71	122.955	21.961126
2787_157400_000004_000007	There was once a little boy in Boston whose hands were very cold as he went to school.	There was once a little boy in Boston whose hands were very cold as he went to school.	true	122.955	128.235	10
2787_157400_000004_000008	But he blew on them savagely, saying, "I am glad of it!	But he blew on them savagely, saying, "I am glad of it!	true	128.235	131.98	18.38648
2787_157400_000004_000009	It serves my father right for not buying me my gloves." That was Ronald's state of mind.	It serves my father right for not buying me my gloves." That was Ronald's state of mind.	true	132.26	137.26	21.792894
2787_157400_000004_000010	He had led the most sober of lives, and the wildest dissipation he remembered was the Lord Mayor's supper to the Oxford and Cambridge crews, when he himself had been one of the winners.	He had led the most sober of lives, and the wildest dissipation he remembered was the Lord Mayor's supper to the Oxford and Cambridge crews, when he himself had been one of the winners.	true	137.45	147.91	14
2787_157400_000004_000011	But surely, for a disappointed lover there could be no course so proper as a speedy death by dissipation--which would serve Joe right.	But surely, for a disappointed lover there could be no course so proper as a speedy death by dissipation-which would serve Joe right.	true	148.01	156.4	22.716108
2787_157400_000004_000012	Therefore, on his return to his hotel, he ordered whiskey, in a sepulchral tone of voice.	Therefore, on his return to his hotel, he ordered whiskey, in a sepulchral tone of voice.	true	156.53	162.735	23.776611
2787_157400_000004_000013	He tasted it, and thought it detestable.	He tasted it, and thought it detestable.	true	162.735	166.065	26.55202
2787_157400_000005_000000	On reflection, he would put off the commencement of his wild career until the evening after he had seen Joe again.	On reflection, he would put off the commencement of his wild career until the evening after he had seen Joe again.	true	166.065	172.69	21.561182
