6098_57836_000000_000000	PERSHING	PERSHING
6098_57836_000001_000000	THE LEADER OF AMERICA'S BIGGEST ARMY	THE LEADER OF AMERICA'S BIGGEST ARMY
6098_57836_000002_000000	It was a historic moment, on that June day, in the third year of the World War.	It was a historic moment, on that June day, in the third year of the World War.
6098_57836_000002_000001	On the landing stage at the French harbor of Boulogne was drawn up a company of French soldiers, who looked eagerly at the approaching steamer.	On the landing stage at the French harbor of Boulogne was drawn up a company of French soldiers, who looked eagerly at the approaching steamer.
6098_57836_000002_000002	They were not dress parade soldiers nor smart cadets--only battle-scarred veterans home from the trenches, with the tired look of war in their eyes.	They were not dress parade soldiers nor smart cadets-only battle scarred veterans home from the trenches, with the tired look of war in their eyes.
6098_57836_000002_000003	For three years they had been hoping and praying that the Americans would come--and here they were at last!	For three years they had been hoping and praying that the Americans would come-and here they were at last!
6098_57836_000003_000000	As the steamer slowly approached the dock, a small group of officers might be discerned, looking as eagerly landward as the men on shore had sought them out.	As the steamer slowly approached the dock, a small group of officers might be discerned, looking as eagerly landward as the men on shore had sought them out.
6098_57836_000003_000002	There was, however, little to distinguish his dress from that of his staff, except the marks of rank on his collar, and the service ribbons across his breast. To those who could read the insignia, they spelled many days of arduous duty in places far removed.	There was, however, little to distinguish his dress from that of his staff, except the marks of rank on his collar, and the service ribbons across his breast. To those who could read the insignia, they spelled many days of arduous duty in places far removed.
6098_57836_000003_000003	America was sending a seasoned soldier, one tried out as by fire.	America was sending a seasoned soldier, one tried out as by fire.
6098_57836_000004_000001	But his dark eyes glowed with the untamable fire of youth.	But his dark eyes glowed with the untamable fire of youth.
6098_57836_000004_000002	He was full six feet in height, straight, broad-shouldered, and muscular.	He was full six feet in height, straight, broad shouldered, and muscular.
6098_57836_000004_000003	The well-formed legs betrayed the old-time calvalryman.	The well formed legs betrayed the old time calvalryman.
6098_57836_000004_000004	The alert poise of the man showed a nature constantly on guard against surprise--the typical soldier in action.	The alert poise of the man showed a nature constantly on guard against surprise-the typical soldier in action.
6098_57836_000005_000001	America was at last repaying to France her debt of gratitude, for aid received nearly a century and a half earlier.	America was at last repaying to France her debt of gratitude, for aid received nearly a century and a half earlier.
6098_57836_000006_000000	"Lafayette, we come!"	"Lafayette, we come!"
6098_57836_000007_000001	The eyes of the whole world were upon him, when he reached France.	The eyes of the whole world were upon him, when he reached France.
6098_57836_000007_000002	His was a task of tremendous difficulties, and a single slip on his part would have brought shame upon his country, no less than upon himself.	His was a task of tremendous difficulties, and a single slip on his part would have brought shame upon his country, no less than upon himself.
6098_57836_000009_000000	The original family name was Pfirsching, but was soon shortened to its present form.	The original family name was Pfirsching, but was soon shortened to its present form.
6098_57836_000009_000002	As the clan multiplied the sons and grandsons began to scatter.	As the clan multiplied the sons and grandsons began to scatter.
6098_57836_000009_000003	They had the pioneer spirit of their ancestors.	They had the pioneer spirit of their ancestors.
6098_57836_000010_000000	At length, John F. Pershing, a grandson of Daniel, the first immigrant, went to the Middle West, to work on building railroads.	At length, john f Pershing, a grandson of Daniel, the first immigrant, went to the Middle West, to work on building railroads.
6098_57836_000010_000001	These were the days, just before the Civil War, when railroads were being thrown forward everywhere.	These were the days, just before the Civil War, when railroads were being thrown forward everywhere.
6098_57836_000010_000002	Young Pershing had early caught the fever, and had worked with construction gangs in Kentucky and Tennessee.	Young Pershing had early caught the fever, and had worked with construction gangs in Kentucky and Tennessee.
6098_57836_000010_000003	Now as the railroads pushed still further West, he went with them as section foreman--after first persuading an attractive Nashville girl, Ann Thompson, to go with him as his wife.	Now as the railroads pushed still further West, he went with them as section foreman-after first persuading an attractive Nashville girl, Ann Thompson, to go with him as his wife.
6098_57836_000012_000001	His mother had come of a race quite as good as that of his father.	His mother had come of a race quite as good as that of his father.
6098_57836_000013_000000	After the line of railroad was completed upon which the father had worked, he came to Laclede and invested his savings in a small general store.	After the line of railroad was completed upon which the father had worked, he came to Laclede and invested his savings in a small general store.
6098_57836_000013_000003	A neighbor pays him this tribute:	A neighbor pays him this tribute:
6098_57836_000014_000000	"John F. Pershing was a man of commanding presence.	"john f Pershing was a man of commanding presence.
6098_57836_000015_000000	"The Pershing family were zealous church people.	"The Pershing family were zealous church people.
6098_57836_000015_000001	John F. Pershing was the Sunday School superintendent of the Methodist Church all the years he lived here.	john f Pershing was the Sunday School superintendent of the Methodist Church all the years he lived here.
6098_57836_000016_000001	He had one or two close calls from the "bushwhackers," as roving rangers were called, but his family escaped harm.	He had one or two close calls from the "bushwhackers," as roving rangers were called, but his family escaped harm.
6098_57836_000017_000000	At times during the War, he was entrusted with funds by various other families, and acted as a sort of local bank.	At times during the War, he was entrusted with funds by various other families, and acted as a sort of local bank.
6098_57836_000017_000001	After the War he was postmaster.	After the War he was postmaster.
6098_57836_000018_000000	The close of the War found the younger John a stocky boy of five.	The close of the War found the younger john a stocky boy of five.
6098_57836_000018_000002	There was always plenty to do, whether of work or play.	There was always plenty to do, whether of work or play.
6098_57836_000018_000003	One of his boyhood chums writes:	One of his boyhood chums writes:
