6098_57836_000000_000000	PERSHING	PERSHING	true	25.14	25.845	21.244465
6098_57836_000001_000000	THE LEADER OF AMERICA'S BIGGEST ARMY	THE LEADER OF AMERICA'S BIGGEST ARMY	true	25.845	28.15	22.88591
6098_57836_000002_000000	It was a historic moment, on that June day, in the third year of the World War.	It was a historic moment, on that June day, in the third year of the World War.	true	29.78	34.27	21
6098_57836_000002_000001	On the landing stage at the French harbor of Boulogne was drawn up a company of French soldiers, who looked eagerly at the approaching steamer.	On the landing stage at the French harbor of Boulogne was drawn up a company of French soldiers, who looked eagerly at the approaching steamer.	true	34.73	43.39	20.622221
6098_57836_000002_000002	They were not dress parade soldiers nor smart cadets--only battle-scarred veterans home from the trenches, with the tired look of war in their eyes.	They were not dress parade soldiers nor smart cadets-only battle scarred veterans home from the trenches, with the tired look of war in their eyes.	true	44.06	53.59	20.56974
6098_57836_000002_000003	For three years they had been hoping and praying that the Americans would come--and here they were at last!	For three years they had been hoping and praying that the Americans would come-and here they were at last!	true	54.05	60.31	21.07181
6098_57836_000003_000000	As the steamer slowly approached the dock, a small group of officers might be discerned, looking as eagerly landward as the men on shore had sought them out.	As the steamer slowly approached the dock, a small group of officers might be discerned, looking as eagerly landward as the men on shore had sought them out.	true	61.37	70.66	20.677034
6098_57836_000003_000001	In the center of this group stood a man in the uniform of a General in the United States Army.	In the center of this group stood a man in the uniform of a General in the United States Army.	true	71.51	76.39	19.507017
6098_57836_000003_000002	There was, however, little to distinguish his dress from that of his staff, except the marks of rank on his collar, and the service ribbons across his breast. To those who could read the insignia, they spelled many days of arduous duty in places far removed.	There was, however, little to distinguish his dress from that of his staff, except the marks of rank on his collar, and the service ribbons across his breast. To those who could read the insignia, they spelled many days of arduous duty in places far removed.	true	77.18	92.65	20.218948
6098_57836_000003_000003	America was sending a seasoned soldier, one tried out as by fire.	America was sending a seasoned soldier, one tried out as by fire.	true	92.99	98.14	21.181223
6098_57836_000004_000000	The man's face was seamed from exposure to the suns of the tropics and the sands of the desert.	The man's face was seamed from exposure to the suns of the tropics and the sands of the desert.	true	98.99	104.38	19.942137
6098_57836_000004_000001	But his dark eyes glowed with the untamable fire of youth.	But his dark eyes glowed with the untamable fire of youth.	true	104.66	108.4	21.988605
6098_57836_000004_000002	He was full six feet in height, straight, broad-shouldered, and muscular.	He was full six feet in height, straight, broad shouldered, and muscular.	true	108.86	113.86	20.576063
6098_57836_000004_000003	The well-formed legs betrayed the old-time calvalryman.	The well formed legs betrayed the old time calvalryman.	true	114.32	117.7	21.043968
6098_57836_000004_000004	The alert poise of the man showed a nature constantly on guard against surprise--the typical soldier in action.	The alert poise of the man showed a nature constantly on guard against surprise-the typical soldier in action.	true	118.07	124.87	20.380686
6098_57836_000005_000000	Such was General Pershing when he set foot on foreign shore at the head of an American army--the first time in history that our soldiers had ever served on European soil.	Such was General Pershing when he set foot on foreign shore at the head of an American army-the first time in history that our soldiers had ever served on European soil.	false	125.48	135.37	19.75813
6098_57836_000005_000001	America was at last repaying to France her debt of gratitude, for aid received nearly a century and a half earlier.	America was at last repaying to France her debt of gratitude, for aid received nearly a century and a half earlier.	true	135.86	143.29	20.307346
6098_57836_000005_000002	And it was an Alsatian by descent who could now say:	And it was an Alsatian by descent who could now say:	true	143.66	146.86	18
6098_57836_000006_000000	"Lafayette, we come!"	"Lafayette, we come!"	true	147.08	148.84	21.823172
6098_57836_000007_000000	Who was this man who had been selected for so important a task?	Who was this man who had been selected for so important a task?	true	149.3	153.07	19.378447
6098_57836_000007_000001	The eyes of the whole world were upon him, when he reached France.	The eyes of the whole world were upon him, when he reached France.	true	153.23	156.37	21.025417
