5054_18527_000000_000000	XXVI	twenty six	false	2.4	24.96	18.492542
5054_18527_000001_000000	"WELL, HERE WE ARE IN PARIS!"	"WELL, HERE WE ARE IN PARIS!"	true	24.96	26.74	19
5054_18527_000002_000000	Notwithstanding all the glory of the shops, and the tempting array of the jewellery and trinkets of every description therein displayed, after a few days of sailing on the exquisite lake, and some walks and drives, Polly, down deep in her heart, was quite ready to move on from Geneva.	Notwithstanding all the glory of the shops, and the tempting array of the jewellery and trinkets of every description therein displayed, after a few days of sailing on the exquisite lake, and some walks and drives, Polly, down deep in her heart, was quite ready to move on from Geneva.	true	27.74	46.03	20.877005
5054_18527_000002_000001	And, although she didn't say anything, old Mr. King guessed as much, and broke out suddenly, "Well, are you ready to start, Polly?"	And, although she didn't say anything, old mr King guessed as much, and broke out suddenly, "Well, are you ready to start, Polly?"	true	46.31	55.33	20.73998
5054_18527_000003_000000	"Yes, Grandpapa," she answered.	"Yes, Grandpapa," she answered.	true	55.79	58.09	18.282696
5054_18527_000003_000001	"I have the presents for the girls.	"I have the presents for the girls.	true	58.22	60.01	20.83159
5054_18527_000003_000002	I'm all ready."	I'm all ready."	true	60.08	61.21	19.40507
5054_18527_000004_000000	"Why, Polly, you haven't anything for yourself," Mother Fisher exclaimed, as Polly ran into her room and told the news--how Grandpapa said they were to pack up and leave in the morning.	"Why, Polly, you haven't anything for yourself," Mother Fisher exclaimed, as Polly ran into her room and told the news-how Grandpapa said they were to pack up and leave in the morning.	true	61.91	72.46	20.104603
5054_18527_000004_000001	"You haven't bought a single thing."	"You haven't bought a single thing."	true	72.77	74.56	19.41395
5054_18527_000005_000000	"Oh, I don't want anything," said Polly.	"Oh, I don't want anything," said Polly.	false	74.84	77.41	21.493586
5054_18527_000005_000001	"I've so many things at home that Grandpapa has given me.	"I've so many things at home that Grandpapa has given me.	true	77.66	80.38	15
5054_18527_000005_000002	Mamsie, isn't this pin for Alexia just too lovely for anything?"	Mamsie, isn't this pin for Alexia just too lovely for anything?"	true	80.78	85.06	21
5054_18527_000006_000000	She curled up on the end of the bed, and drew it out of its little box. "I think she'll like it," with anxious eyes on Mother Fisher's face.	She curled up on the end of the bed, and drew it out of its little box. "I think she'll like it," with anxious eyes on Mother Fisher's face.	true	85.67	94.12	21.077263
5054_18527_000007_000000	"Like it?" repeated her mother.	"Like it?" repeated her mother.	true	95.18	97.3	22.687319
5054_18527_000007_000001	"How can she help it, Polly?"	"How can she help it, Polly?"	true	97.46	99.04	18
5054_18527_000008_000000	"I think so too," said Polly, happily, replacing it on the bed of cotton, and putting on the cover to look over another gift.	"I think so too," said Polly, happily, replacing it on the bed of cotton, and putting on the cover to look over another gift.	true	100.07	107.74	20.211018
5054_18527_000009_000000	Mrs. Fisher regarded her keenly.	mrs Fisher regarded her keenly.	true	108.35	110.65	18.97298
5054_18527_000009_000001	"Well, now, Polly," she said, decidedly, "I shall go down and get that chain we were looking at.	"Well, now, Polly," she said, decidedly, "I shall go down and get that chain we were looking at.	true	111.11	117.01	21.026794
5054_18527_000009_000002	For you do need that, and your father and I are going to give it to you."	For you do need that, and your father and I are going to give it to you."	true	117.26	121.03	23.753307
5054_18527_000010_000000	"Oh, Mamsie," protested Polly, "I don't need it; really, I don't."	"Oh, Mamsie," protested Polly, "I don't need it; really, I don't."	true	121.43	126.31	22.032825
5054_18527_000011_000000	"Well, we shall give it to you," said Mother Fisher.	"Well, we shall give it to you," said Mother Fisher.	true	126.74	130.24	20.512114
5054_18527_000011_000001	Then she went over to the bed and dropped a kiss on Polly's brown hair.	Then she went over to the bed and dropped a kiss on Polly's brown hair.	false	130.61	134.83	19.904854
5054_18527_000012_000000	"Mamsie," exclaimed Polly, springing off the bed, and throwing her arms around her mother's neck, "I shall love that chain, and I shall wear it just all the time because you and Papa-Doctor gave it to me."	"Mamsie," exclaimed Polly, springing off the bed, and throwing her arms around her mother's neck, "I shall love that chain, and I shall wear it just all the time because you and Papa Doctor gave it to me."	true	135.77	148.69	19.869099
5054_18527_000013_000000	When they neared Paris, Adela drew herself up in her corner of the compartment.	When they neared Paris, Adela drew herself up in her corner of the compartment.	true	149.24	154	20.662725
5054_18527_000013_000001	"I expect you'll stare some when you get to Paris, Polly Pepper."	"I expect you'll stare some when you get to Paris, Polly Pepper."	true	154.43	157.57	18.08355
5054_18527_000014_000000	"I've been staring all the time since we started on our journey, Adela, as hard as I could," said Polly, laughing.	"I've been staring all the time since we started on our journey, Adela, as hard as I could," said Polly, laughing.	true	158.15	164.95	20.662275
5054_18527_000015_000000	"Well, you'll stare worse than ever now," said Adela, in an important way.	"Well, you'll stare worse than ever now," said Adela, in an important way.	true	165.44	170.23	22.531042
5054_18527_000015_000001	"There isn't anything in all this world that isn't in Paris," she brought up, not very elegantly.	"There isn't anything in all this world that isn't in Paris," she brought up, not very elegantly.	true	170.87	176.89	22.40519
5054_18527_000016_000000	"I don't like Paris." Tom let the words out before he thought.	"I don't like Paris." Tom let the words out before he thought.	true	177.53	181.6	22.512386
5054_18527_000017_000000	"That's just because you are a boy," sniffed Adela.	"That's just because you are a boy," sniffed Adela.	true	182.15	185.4	21.958637
5054_18527_000017_000001	"Oh, Polly, you ought to see the shops!	"Oh, Polly, you ought to see the shops!	false	185.4	188.11	20.899591
5054_18527_000017_000002	When Mademoiselle has taken us into some, I declare I could stay all day in one.	When Mademoiselle has taken us into some, I declare I could stay all day in one.	true	188.12	192.94	19
5054_18527_000017_000003	Such dreams of clothes and bonnets!	Such dreams of clothes and bonnets!	true	193.19	195.85	18.572979
5054_18527_000017_000004	You never saw such bonnets, Polly Pepper, in all your life!" She lifted her hands, unable to find words enough.	You never saw such bonnets, Polly Pepper, in all your life!" She lifted her hands, unable to find words enough.	true	195.89	202.87	21.478529
5054_18527_000018_000000	"And the parks and gardens, I suppose, are perfectly lovely," cried Polly, feeling as if she must get away from the bonnets and clothes.	"And the parks and gardens, I suppose, are perfectly lovely," cried Polly, feeling as if she must get away from the bonnets and clothes.	true	203.42	211.75	21.366396
