7085_75807_000000_000000	When it was the Six Hundred and Ninth Night,	When it was the Six Hundred and Ninth Night,	true	31.77	34.93	24
7085_75807_000001_000000	She continued, It hath reached me, O auspicious King, that Judar, when the baker after summing up what was due to him said, "I still owe thee two days' bread," replied, "Good," and went on to the butcher, to whom he gave a gold piece and took meat, saying, "Keep the rest of the dinar on account." Then he bought vegetables and going home, found his brothers importuning their mother for victual, whilst she cried, "Have patience till your brother come home, for I have naught." So he went in to them and said, "Take and eat;" and they fell on the food like cannibals. Then he gave his mother the rest of his gold saying, "If my brothers come to thee, give them wherewithal to buy food and eat in my absence." He slept well that night and next morning he took his net and going down to Lake Karun stood there and was about to cast his net, when behold, there came up to him a second Maghribi, riding on a she mule more handsomely accoutred than he of the day before and having with him a pair of saddle bags of which each pocket contained a casket.	She continued, It hath reached me, O auspicious King, that Judar, when the baker after summing up what was due to him said, "I still owe thee two days' bread," replied, "Good," and went on to the butcher, to whom he gave a gold piece and took meat, saying, "Keep the rest of the dinar on account." Then he bought vegetables and going home, found his brothers importuning their mother for victual, whilst she cried, "Have patience till your brother come home, for I have naught." So he went in to them and said, "Take and eat;" and they fell on the food like cannibals. Then he gave his mother the rest of his gold saying, "If my brothers come to thee, give them wherewithal to buy food and eat in my absence." He slept well that night and next morning he took his net and going down to Lake Karun stood there and was about to cast his net, when behold, there came up to him a second Maghribi, riding on a she mule more handsomely accoutred than he of the day before and having with him a pair of saddle bags of which each pocket contained a casket.	false	35.36	115.6	22.988972
7085_75807_000001_000001	"Peace be with thee, O Judar!" said the Moor: "And with thee be peace, O my lord, the pilgrim!" replied Judar.	"Peace be with thee, O Judar!" said the Moor: "And with thee be peace, O my lord, the pilgrim!" replied Judar.	false	116	124.74	24.007343
7085_75807_000001_000002	Asked the Moor, "Did there come to thee yesterday a Moor riding on a mule like this of mine?" Hereat Judar was alarmed and answered, "I saw none," fearing lest the other say, "Whither went he?" and if he replied, "He was drowned in the lake," that haply he should charge him with having drowned him; wherefore he could not but deny.	Asked the Moor, "Did there come to thee yesterday a Moor riding on a mule like this of mine?" Hereat Judar was alarmed and answered, "I saw none," fearing lest the other say, "Whither went he?" and if he replied, "He was drowned in the lake," that haply he should charge him with having drowned him; wherefore he could not but deny.	false	124.74	151.12	23.263416
7085_75807_000001_000003	Rejoined the Moor, "Hark ye, O unhappy![FN#266] this was my brother, who is gone before me." Judar persisted, "I know naught of him." Then the Moor enquired, "Didst thou not bind his arms behind him and throw him into the lake, and did he not say to thee, 'If my hands appear above the water first, cast thy net over me and drag me out in haste; but, if my feet show first, know that I am dead and carry the mule to the Jew Shamayah, who shall give thee an hundred dinars?'" Quoth Judar, "Since thou knowest all this why and wherefore dost thou question me?"; and quoth the Moor, "I would have thee do with me as thou didst with my brother." Then he gave him a silken cord, saying, "Bind my hands behind me and throw me in, and if I fare as did my brother, take the mule to the Jew and he will give thee other hundred dinars." Said Judar, "Come on;" so he came and he bound him and pushed him into the lake, where he sank.	Rejoined the Moor, "Hark ye, O unhappy![f n # two hundred sixty six] this was my brother, who is gone before me." Judar persisted, "I know naught of him." Then the Moor enquired, "Didst thou not bind his arms behind him and throw him into the lake, and did he not say to thee, 'If my hands appear above the water first, cast thy net over me and drag me out in haste; but, if my feet show first, know that I am dead and carry the mule to the Jew Shamayah, who shall give thee an hundred dinars?'" Quoth Judar, "Since thou knowest all this why and wherefore dost thou question me?"; and quoth the Moor, "I would have thee do with me as thou didst with my brother." Then he gave him a silken cord, saying, "Bind my hands behind me and throw me in, and if I fare as did my brother, take the mule to the Jew and he will give thee other hundred dinars." Said Judar, "Come on;" so he came and he bound him and pushed him into the lake, where he sank.	false	151.7	223.03	21.560516
7085_75807_000001_000004	Then Judar sat watching and after awhile, his feet appeared above the water and the fisher said, "He is dead and damned!	Then Judar sat watching and after awhile, his feet appeared above the water and the fisher said, "He is dead and damned!	true	223.37	232.305	20.701925
7085_75807_000001_000005	Inshallah, may Maghribis come to me every day, and I will pinion them and push them in and they shall die; and I will content me with an hundred dinars for each dead man." Then he took the mule to the Jew, who seeing him asked, "The other is dead?" Answered Judar, "May thy head live!"; and the Jew said, "This is the reward of the covetous!" Then he took the mule and gave Judar an hundred dinars, with which he returned to his mother.	Inshallah, may Maghribis come to me every day, and I will pinion them and push them in and they shall die; and I will content me with an hundred dinars for each dead man." Then he took the mule to the Jew, who seeing him asked, "The other is dead?" Answered Judar, "May thy head live!"; and the Jew said, "This is the reward of the covetous!" Then he took the mule and gave Judar an hundred dinars, with which he returned to his mother.	false	232.305	264.31	21.91394
7085_75807_000001_000006	"O my son," said she, "whence hast thou this?" So he told her, and she said, "Go not again to Lake Karun, indeed I fear for thee from the Moors." Said he, "O my mother, I do but cast them in by their own wish, and what am I to do?	"O my son," said she, "whence hast thou this?" So he told her, and she said, "Go not again to Lake Karun, indeed I fear for thee from the Moors." Said he, "O my mother, I do but cast them in by their own wish, and what am I to do?	false	264.8	283.48	22.409416
7085_75807_000001_000007	This craft bringeth me an hundred dinars a day and I return speedily; wherefore, by Allah, I will not leave going to Lake Karun, till the race of the Magh ribah[FN#267] is cut off and not one of them is left." So, on the morrow which was the third day, he went down to the lake and stood there, till there came up a third Moor, riding on a mule with saddle bags and still more richly accoutred than the first two, who said to him, "Peace be with thee, O Judar, O son of Omar!" And the fisherman saying in himself, "How comes it that they all know me?" returned his salute.	This craft bringeth me an hundred dinars a day and I return speedily; wherefore, by Allah, I will not leave going to Lake Karun, till the race of the Magh ribah[f n # two hundred sixty seven] is cut off and not one of them is left." So, on the morrow which was the third day, he went down to the lake and stood there, till there came up a third Moor, riding on a mule with saddle bags and still more richly accoutred than the first two, who said to him, "Peace be with thee, O Judar, O son of Omar!" And the fisherman saying in himself, "How comes it that they all know me?" returned his salute.	false	283.61	325.6	22.102995
7085_75807_000001_000008	Asked the Maghribi, "Have any Moors passed by here?" "Two," answered Judar.	Asked the Maghribi, "Have any Moors passed by here?" "Two," answered Judar.	false	325.91	333.63	25.135956
7085_75807_000001_000009	"Whither went they?" enquired the Moor, and Judar replied, "I pinioned their hands behind them and cast them into the lake, where they were drowned, and the same fate is in store for thee." The Moor laughed and rejoined, saying, "O unhappy!	"Whither went they?" enquired the Moor, and Judar replied, "I pinioned their hands behind them and cast them into the lake, where they were drowned, and the same fate is in store for thee." The Moor laughed and rejoined, saying, "O unhappy!	true	333.63	351.07	23.075777
