7314_93277_000001_000000	Chapter 8	Chapter eight
7314_93277_000002_000000	Winning a Prize	Winning a Prize
7314_93277_000003_000001	"Looks as if you had had an exciting time here."	"Looks as if you had had an exciting time here."
7314_93277_000004_000000	"No, those fellows had all the excitement," declared Ned.	"No, those fellows had all the excitement," declared Ned.
7314_93277_000004_000001	"We had the fun." And the two lads proceeded to relate what had taken place.	"We had the fun." And the two lads proceeded to relate what had taken place.
7314_93277_000005_000000	"Tried to damage the airship, eh?" asked Mr. Sharp.	"Tried to damage the airship, eh?" asked mr Sharp.
7314_93277_000005_000001	"I wish I'd caught them at it; the scoundrels!	"I wish I'd caught them at it; the scoundrels!
7314_93277_000006_000000	"I guess so," assented Tom.	"I guess so," assented Tom.
7314_93277_000006_000001	"I must see if they did cut any of the wires."	"I must see if they did cut any of the wires."
7314_93277_000008_000000	A little later the airship was taken out of the shed, and made ready for a trip.	A little later the airship was taken out of the shed, and made ready for a trip.
7314_93277_000008_000001	The gas ascension was first used, and Ned and Mr. Swift were passengers with Tom and Mr. Sharp.	The gas ascension was first used, and Ned and mr Swift were passengers with Tom and mr Sharp.
7314_93277_000008_000002	The machine went about a thousand feet up in the air, and then was sent in various directions, to the no small delight of a large crowd that gathered in the meadow back of the Swift property; for it only required the sight of the airship looming its bulk above the fence and buildings, to attract a throng.	The machine went about a thousand feet up in the air, and then was sent in various directions, to the no small delight of a large crowd that gathered in the meadow back of the Swift property; for it only required the sight of the airship looming its bulk above the fence and buildings, to attract a throng.
7314_93277_000009_000000	Although it was the first time Mr. Swift had ever been in an airship, he evinced no great astonishment.	Although it was the first time mr Swift had ever been in an airship, he evinced no great astonishment.
7314_93277_000009_000001	In fact he seemed to be thinking deeply, and on some subject not connected with aeronautics.	In fact he seemed to be thinking deeply, and on some subject not connected with aeronautics.
7314_93277_000009_000002	Tom noticed the abstraction of his father, and shook his head.	Tom noticed the abstraction of his father, and shook his head.
7314_93277_000010_000000	As for Ned Newton his delight knew no bounds, At first he was a bit apprehensive as the big ship went higher and higher, and swung about, but he soon lost his fear, and enjoyed the experience as much as did Tom.	As for Ned Newton his delight knew no bounds, At first he was a bit apprehensive as the big ship went higher and higher, and swung about, but he soon lost his fear, and enjoyed the experience as much as did Tom.
7314_93277_000010_000001	The young inventor was busy helping Mr. Sharp manage the machinery, rudders-planes and motor.	The young inventor was busy helping mr Sharp manage the machinery, rudders planes and motor.
7314_93277_000011_000000	A flight of several miles was made, and Tom was wishing they might pay another visit to the Rocksmond Seminary, but Mr. Sharp, after completing several evolutions, designed to test the steering qualities of the craft, put back home.	A flight of several miles was made, and Tom was wishing they might pay another visit to the Rocksmond Seminary, but mr Sharp, after completing several evolutions, designed to test the steering qualities of the craft, put back home.
7314_93277_000012_000000	"We'll land in the meadow and try rising by the planes alone," he said. In this evolution it was deemed best for Mr. Swift and Ned to alight, as there was no telling just how the craft would behave.	"We'll land in the meadow and try rising by the planes alone," he said. In this evolution it was deemed best for mr Swift and Ned to alight, as there was no telling just how the craft would behave.
