3105_163726_000002_000000	CHAPTER LXIX	CHAPTER sixty nine
3105_163726_000003_000000	NOT TO BE PUT UP WITH	NOT TO BE PUT UP WITH
3105_163726_000004_000000	The coat of arms, devised for me by the Royal heralds, was of great size, and rich colours, and full of bright imaginings.	The coat of arms, devised for me by the Royal heralds, was of great size, and rich colours, and full of bright imaginings.
3105_163726_000004_000001	They did me the honour to consult me first, and to take no notice of my advice.	They did me the honour to consult me first, and to take no notice of my advice.
3105_163726_000004_000003	But the gentlemen would not hear of this; and to find something more appropriate, they inquired strictly into the annals of our family.	But the gentlemen would not hear of this; and to find something more appropriate, they inquired strictly into the annals of our family.
3105_163726_000004_000006	Moreover, the name of our farm was pure proof; a plover being a wild bird, just the same as a raven is.	Moreover, the name of our farm was pure proof; a plover being a wild bird, just the same as a raven is.
3105_163726_000004_000007	Upon this chain of reasoning, and without any weak misgivings, they charged my growing escutcheon with a black raven on a ground of red.	Upon this chain of reasoning, and without any weak misgivings, they charged my growing escutcheon with a black raven on a ground of red.
3105_163726_000004_000009	All this was very fierce and fine; and so I pressed for a peaceful corner in the lower dexter, and obtained a wheat-sheaf set upright, gold upon a field of green.	All this was very fierce and fine; and so I pressed for a peaceful corner in the lower dexter, and obtained a wheat sheaf set upright, gold upon a field of green.
3105_163726_000005_000000	Here I was inclined to pause, and admire the effect; for even De Whichehalse could not show a bearing so magnificent.	Here I was inclined to pause, and admire the effect; for even De Whichehalse could not show a bearing so magnificent.
3105_163726_000005_000001	But the heralds said that it looked a mere sign-board, without a good motto under it; and the motto must have my name in it.	But the heralds said that it looked a mere sign board, without a good motto under it; and the motto must have my name in it.
3105_163726_000005_000003	Thirdly, they gave me, 'Ridd never be ridden,' and fearing to make any further objections, I let them inscribe it in bronze upon blue.	Thirdly, they gave me, 'Ridd never be ridden,' and fearing to make any further objections, I let them inscribe it in bronze upon blue.
3105_163726_000006_000000	Now being in a hurry--so far at least as it is in my nature to hurry--to get to the end of this narrative, is it likely that I would have dwelled so long upon my coat of arms, but for some good reason?	Now being in a hurry-so far at least as it is in my nature to hurry-to get to the end of this narrative, is it likely that I would have dwelled so long upon my coat of arms, but for some good reason?
3105_163726_000006_000002	And half in fun, and half in earnest, she called me 'Sir John' so continually, that at last I was almost angry with her; until her eyes were bedewed with tears; and then I was angry with myself.	And half in fun, and half in earnest, she called me 'Sir john' so continually, that at last I was almost angry with her; until her eyes were bedewed with tears; and then I was angry with myself.
3105_163726_000007_000000	Beginning to be short of money, and growing anxious about the farm, longing also to show myself and my noble escutcheon to mother, I took advantage of Lady Lorna's interest with the Queen, to obtain my acquittance and full discharge from even nominal custody.	Beginning to be short of money, and growing anxious about the farm, longing also to show myself and my noble escutcheon to mother, I took advantage of Lady Lorna's interest with the Queen, to obtain my acquittance and full discharge from even nominal custody.
3105_163726_000007_000001	It had been intended to keep me in waiting, until the return of Lord Jeffreys, from that awful circuit of shambles, through which his name is still used by mothers to frighten their children into bed.	It had been intended to keep me in waiting, until the return of Lord Jeffreys, from that awful circuit of shambles, through which his name is still used by mothers to frighten their children into bed.
3105_163726_000007_000002	And right glad was I--for even London shrank with horror at the news--to escape a man so bloodthirsty, savage, and even to his friends (among whom I was reckoned) malignant.	And right glad was I-for even London shrank with horror at the news-to escape a man so bloodthirsty, savage, and even to his friends (among whom I was reckoned) malignant.
3105_163726_000008_000000	Earl Brandir was greatly pleased with me, not only for having saved his life, but for saving that which he valued more, the wealth laid by for Lord Alan.	Earl Brandir was greatly pleased with me, not only for having saved his life, but for saving that which he valued more, the wealth laid by for Lord Alan.
3105_163726_000008_000001	And he introduced me to many great people, who quite kindly encouraged me, and promised to help me in every way when they heard how the King had spoken.	And he introduced me to many great people, who quite kindly encouraged me, and promised to help me in every way when they heard how the King had spoken.
3105_163726_000008_000002	As for the furrier, he could never have enough of my society; and this worthy man, praying my commendation, demanded of me one thing only--to speak of him as I found him.	As for the furrier, he could never have enough of my society; and this worthy man, praying my commendation, demanded of me one thing only-to speak of him as I found him.
3105_163726_000010_000000	Lorna was moved with equal longing towards the country and country ways; and she spoke quite as much of the glistening dew as she did of the smell of our oven.	Lorna was moved with equal longing towards the country and country ways; and she spoke quite as much of the glistening dew as she did of the smell of our oven.
3105_163726_000010_000001	And here let me mention--although the two are quite distinct and different--that both the dew and the bread of Exmoor may be sought, whether high or low, but never found elsewhere.	And here let me mention-although the two are quite distinct and different-that both the dew and the bread of Exmoor may be sought, whether high or low, but never found elsewhere.
3105_163726_000011_000000	Now while I was walking daily in and out great crowds of men (few of whom had any freedom from the cares of money, and many of whom were even morbid with a worse pest called 'politics'), I could not be quit of thinking how we jostle one another.	Now while I was walking daily in and out great crowds of men (few of whom had any freedom from the cares of money, and many of whom were even morbid with a worse pest called 'politics'), I could not be quit of thinking how we jostle one another.
3105_163726_000011_000001	God has made the earth quite large, with a spread of land large enough for all to live on, without fighting. Also a mighty spread of water, laying hands on sand and cliff with a solemn voice in storm-time; and in the gentle weather moving men to thoughts of equity.	God has made the earth quite large, with a spread of land large enough for all to live on, without fighting. Also a mighty spread of water, laying hands on sand and cliff with a solemn voice in storm time; and in the gentle weather moving men to thoughts of equity.
3105_163726_000011_000002	This, as well, is full of food; being two-thirds of the world, and reserved for devouring knowledge; by the time the sons of men have fed away the dry land.	This, as well, is full of food; being two thirds of the world, and reserved for devouring knowledge; by the time the sons of men have fed away the dry land.
