7139_75362_000001_000000	[Sidenote: The refracting human medium for ideas.]	[Sidenote: The refracting human medium for ideas.]
7139_75362_000002_000000	Friendship may indeed come to exist without sensuous liking or comradeship to pave the way; but unless intellectual sympathy and moral appreciation are powerful enough to react on natural instinct and to produce in the end the personal affection which at first was wanting, friendship does not arise.	Friendship may indeed come to exist without sensuous liking or comradeship to pave the way; but unless intellectual sympathy and moral appreciation are powerful enough to react on natural instinct and to produce in the end the personal affection which at first was wanting, friendship does not arise.
7139_75362_000002_000001	Recognition given to a man's talent or virtue is not properly friendship.	Recognition given to a man's talent or virtue is not properly friendship.
7139_75362_000002_000002	Friends must desire to live as much as possible together and to share their work, thoughts, and pleasures. Good-fellowship and sensuous affinity are indispensable to give spiritual communion a personal accent; otherwise men would be indifferent vehicles for such thoughts and powers as emanated from them, and attention would not be in any way arrested or refracted by the human medium through which it beheld the good.	Friends must desire to live as much as possible together and to share their work, thoughts, and pleasures. Good fellowship and sensuous affinity are indispensable to give spiritual communion a personal accent; otherwise men would be indifferent vehicles for such thoughts and powers as emanated from them, and attention would not be in any way arrested or refracted by the human medium through which it beheld the good.
7139_75362_000003_000000	[Sidenote: Affection based on the refraction.]	[Sidenote: Affection based on the refraction.]
7139_75362_000004_000000	No natural vehicle, however, is indifferent; no natural organ is or should be transparent.	No natural vehicle, however, is indifferent; no natural organ is or should be transparent.
7139_75362_000004_000001	Transparency is a virtue only in artificial instruments, organs in which no blood flows and whose intrinsic operation is not itself a portion of human life.	Transparency is a virtue only in artificial instruments, organs in which no blood flows and whose intrinsic operation is not itself a portion of human life.
7139_75362_000004_000002	In looking through a field-glass I do not wish to perceive the lenses nor to see rainbows about their rim; yet I should not wish the eye itself to lose its pigments and add no dyes to the bulks it discerns.	In looking through a field glass I do not wish to perceive the lenses nor to see rainbows about their rim; yet I should not wish the eye itself to lose its pigments and add no dyes to the bulks it discerns.
7139_75362_000005_000000	A man is sometimes a coloured and sometimes a clear medium for the energies he exerts.	A man is sometimes a coloured and sometimes a clear medium for the energies he exerts.
7139_75362_000005_000001	When a thought conveyed or a work done enters alone into the observer's experience, no friendship is possible.	When a thought conveyed or a work done enters alone into the observer's experience, no friendship is possible.
7139_75362_000005_000002	This is always the case when the master is dead; for if his reconstructed personality retains any charm, it is only as an explanation or conceived nexus for the work he performed.	This is always the case when the master is dead; for if his reconstructed personality retains any charm, it is only as an explanation or conceived nexus for the work he performed.
7139_75362_000005_000004	That portion of a man's soul which he has not alienated and objectified is open only to those who know him otherwise than by his works and do not estimate him by his public attributions.	That portion of a man's soul which he has not alienated and objectified is open only to those who know him otherwise than by his works and do not estimate him by his public attributions.
7139_75362_000005_000005	Such persons are his friends.	Such persons are his friends.
7139_75362_000005_000007	Estimation has been partly arrested at its medium and personal relations have added their homely accent to universal discourse.	Estimation has been partly arrested at its medium and personal relations have added their homely accent to universal discourse.
7139_75362_000005_000008	Friendship might thus be called ideal sympathy refracted by a human medium, or comradeship and sensuous affinity colouring a spiritual light.	Friendship might thus be called ideal sympathy refracted by a human medium, or comradeship and sensuous affinity colouring a spiritual light.
7139_75362_000006_000000	[Sidenote: The medium must also be transparent.]	[Sidenote: The medium must also be transparent.]
7139_75362_000007_000000	If we approach friendship from above and compare it with more ideal loyalties, its characteristic is its animal warmth and its basis in chance conjunctions; if we approach it from below and contrast it with mere comradeship or liking, its essence seems to be the presence of common ideal interests.	If we approach friendship from above and compare it with more ideal loyalties, its characteristic is its animal warmth and its basis in chance conjunctions; if we approach it from below and contrast it with mere comradeship or liking, its essence seems to be the presence of common ideal interests.
7139_75362_000007_000001	That is a silly and effeminate friendship in which the parties are always thinking of the friendship itself and of how each stands in the other's eyes; a sentimental fancy of that sort, in which nothing tangible or ulterior brings people together, is rather a feeble form of love than properly a friendship.	That is a silly and effeminate friendship in which the parties are always thinking of the friendship itself and of how each stands in the other's eyes; a sentimental fancy of that sort, in which nothing tangible or ulterior brings people together, is rather a feeble form of love than properly a friendship.
7139_75362_000007_000003	All these sentimental feelings are at any rate mere preludes, but preludes in fortunate cases to more discriminating and solid interests, which such a tremulous overture may possibly pitch on a higher key.	All these sentimental feelings are at any rate mere preludes, but preludes in fortunate cases to more discriminating and solid interests, which such a tremulous overture may possibly pitch on a higher key.
7139_75362_000008_000000	[Sidenote: Common interests indispensable.]	[Sidenote: Common interests indispensable.]
7139_75362_000009_000000	The necessity of backing personal attachment with ideal interests is what makes true friendship so rare.	The necessity of backing personal attachment with ideal interests is what makes true friendship so rare.
7139_75362_000009_000003	For friendship to flourish personal life would have to become more public and social life more simple and humane.	For friendship to flourish personal life would have to become more public and social life more simple and humane.
7139_75362_000010_000000	[Sidenote: Friendship between man and wife.]	[Sidenote: Friendship between man and wife.]
7139_75362_000011_000000	The tie that in contemporary society most nearly resembles the ancient ideal of friendship is a well-assorted marriage.	The tie that in contemporary society most nearly resembles the ancient ideal of friendship is a well assorted marriage.
7139_75362_000011_000001	In spite of intellectual disparity and of divergence in occupation, man and wife are bound together by a common dwelling, common friends, common affection for children, and, what is of great importance, common financial interests.	In spite of intellectual disparity and of divergence in occupation, man and wife are bound together by a common dwelling, common friends, common affection for children, and, what is of great importance, common financial interests.
7139_75362_000011_000002	These bonds often suffice for substantial and lasting unanimity, even when no ideal passion preceded; so that what is called a marriage of reason, if it is truly reasonable, may give a fair promise of happiness, since a normal married life can produce the sympathies it requires.	These bonds often suffice for substantial and lasting unanimity, even when no ideal passion preceded; so that what is called a marriage of reason, if it is truly reasonable, may give a fair promise of happiness, since a normal married life can produce the sympathies it requires.
7139_75362_000012_000000	[Sidenote: Between master and disciple.]	[Sidenote: Between master and disciple.]
7139_75362_000013_000000	When the common ideal interests needed to give friendship a noble strain become altogether predominant, so that comradeship and personal liking may be dispensed with, friendship passes into more and more political fellowships.	When the common ideal interests needed to give friendship a noble strain become altogether predominant, so that comradeship and personal liking may be dispensed with, friendship passes into more and more political fellowships.
7139_75362_000013_000002	Without claiming any share in the master's private life, perhaps without having ever seen him, we may enjoy communion with his mind and feel his support and guidance in following the ideal which links us together.	Without claiming any share in the master's private life, perhaps without having ever seen him, we may enjoy communion with his mind and feel his support and guidance in following the ideal which links us together.
