8474_281188_000000_000000	This speech and plan were approved of by all, and they were soon ready.	This speech and plan were approved of by all, and they were soon ready.	false	0	3.45	22.689552
8474_281188_000000_000001	They filed off in parties of two each, after some interval of time, and got into the town without being in the least suspected.	They filed off in parties of two each, after some interval of time, and got into the town without being in the least suspected.	false	3.45	5.22	21.952782
8474_281188_000000_000002	The captain, and he who had visited the town in the morning as spy, came in the last.	The captain, and he who had visited the town in the morning as spy, came in the last.	false	5.22	6.54	25.040257
8474_281188_000000_000003	He led the captain into the street where he had marked Ali Baba's residence; and when they came to the first of the houses which Morgiana had marked, he pointed it out.	He led the captain into the street where he had marked Ali Baba's residence; and when they came to the first of the houses which Morgiana had marked, he pointed it out.	false	6.54	9.72	20.251156
8474_281188_000000_000004	But the captain observed that the next door was chalked in the same manner, and in the same place; and showing it to his guide, asked him which house it was, that, or the first. The guide was so confounded that he knew not what answer to make, but still more puzzled when he and the captain saw five or six houses similarly marked.	But the captain observed that the next door was chalked in the same manner, and in the same place; and showing it to his guide, asked him which house it was, that, or the first. The guide was so confounded that he knew not what answer to make, but still more puzzled when he and the captain saw five or six houses similarly marked.	false	9.72	25.71	22.811306
8474_281188_000000_000005	He assured the captain, with an oath, that he had marked but one, and could not tell who had chalked the rest, so that he could not distinguish the house which the cobbler had stopped at.	He assured the captain, with an oath, that he had marked but one, and could not tell who had chalked the rest, so that he could not distinguish the house which the cobbler had stopped at.	false	25.71	35.22	21.806822
8474_281188_000001_000000	The captain, finding that their design had proved abortive, went directly to the place of rendezvous, and told his troop that they had lost their labor, and must return to their cave.	The captain, finding that their design had proved abortive, went directly to the place of rendezvous, and told his troop that they had lost their labor, and must return to their cave.	false	35.22	45.55	22.677662
8474_281188_000001_000001	He himself set them the example, and they all returned as they had come.	He himself set them the example, and they all returned as they had come.	true	46.07	50.68	23.164158
8474_281188_000002_000000	When the troop was all got together, the captain told them the reason of their returning; and presently the conductor was declared by all worthy of death.	When the troop was all got together, the captain told them the reason of their returning; and presently the conductor was declared by all worthy of death.	true	51.44	60.37	23.048964
8474_281188_000002_000001	He condemned himself, acknowledging that he ought to have taken better precaution, and prepared to receive the stroke from him who was appointed to cut off his head.	He condemned himself, acknowledging that he ought to have taken better precaution, and prepared to receive the stroke from him who was appointed to cut off his head.	true	61.04	69.85	23.863945
8474_281188_000002_000002	But as the safety of the troop required the discovery of the second intruder into the cave, another of the gang, who promised himself that he should succeed better, presented himself, and his offer being accepted, he went and corrupted Baba Mustapha, as the other had done; and, being shown the house, marked it in a place more remote from sight with red chalk.	But as the safety of the troop required the discovery of the second intruder into the cave, another of the gang, who promised himself that he should succeed better, presented himself, and his offer being accepted, he went and corrupted Baba Mustapha, as the other had done; and, being shown the house, marked it in a place more remote from sight with red chalk.	false	70.88	92.98	23.247011
8474_281188_000003_000000	Not long after, Morgiana, whose eyes nothing could escape, went out, and seeing the red chalk, and arguing with herself as she had done before, marked the other neighbors' houses in the same place and manner.	Not long after, Morgiana, whose eyes nothing could escape, went out, and seeing the red chalk, and arguing with herself as she had done before, marked the other neighbors' houses in the same place and manner.	true	93.5	105.82	21.626991
8474_281188_000004_000000	The robber, at his return to his company, valued himself much on the precaution he had taken, which he looked upon as an infallible way of distinguishing Ali Baba's house from the others; and the captain and all of them thought it must succeed.	The robber, at his return to his company, valued himself much on the precaution he had taken, which he looked upon as an infallible way of distinguishing Ali Baba's house from the others; and the captain and all of them thought it must succeed.	true	106.58	120.1	22.472841
8474_281188_000004_000001	They conveyed themselves into the town with the same precaution as before; but when the robber and his captain came to the street they found the same difficulty; at which the captain was enraged, and the robber in as great confusion as his predecessor.	They conveyed themselves into the town with the same precaution as before; but when the robber and his captain came to the street they found the same difficulty; at which the captain was enraged, and the robber in as great confusion as his predecessor.	false	120.62	134.92	22.00607
8474_281188_000005_000000	Thus the captain and his troop were forced to retire a second time, and much more dissatisfied; while the robber, who had been the author of the mistake, underwent the same punishment, which he willingly submitted to.	Thus the captain and his troop were forced to retire a second time, and much more dissatisfied; while the robber, who had been the author of the mistake, underwent the same punishment, which he willingly submitted to.	false	136.19	149.17	23.447403
8474_281188_000006_000000	The captain, having lost two brave fellows of his troop, was afraid of diminishing it too much by pursuing this plan to get information of the residence of their plunderer.	The captain, having lost two brave fellows of his troop, was afraid of diminishing it too much by pursuing this plan to get information of the residence of their plunderer.	true	150.05	159.07	22.4002
8474_281188_000006_000001	He found by their example that their heads were not so good as their hands on such occasions, and therefore resolved to take upon himself the important commission.	He found by their example that their heads were not so good as their hands on such occasions, and therefore resolved to take upon himself the important commission.	false	159.53	167.95	22.303814
8474_281188_000007_000000	Accordingly, he went and addressed himself to Baba Mustapha, who did him the same service he had done to the other robbers.	Accordingly, he went and addressed himself to Baba Mustapha, who did him the same service he had done to the other robbers.	false	168.95	175.39	22.876118
8474_281188_000007_000001	He did not set any particular mark on the house, but examined and observed it so carefully, by passing often by it, that it was impossible for him to mistake it.	He did not set any particular mark on the house, but examined and observed it so carefully, by passing often by it, that it was impossible for him to mistake it.	false	175.64	185.41	23.550909
8474_281188_000008_000000	The captain, well satisfied with his attempt, and informed of what he wanted to know, returned to the forest; and when he came into the cave, where the troop waited for him, said, "Now, comrades, nothing can prevent our full revenge, as I am certain of the house; and in my way hither I have thought how to put it into execution, but if any one can form a better expedient, let him communicate it." He then told them his contrivance; and as they approved of it, ordered them to go into the villages about, and buy nineteen mules, with thirty-eight large leather jars, one full of oil, and the others empty.	The captain, well satisfied with his attempt, and informed of what he wanted to know, returned to the forest; and when he came into the cave, where the troop waited for him, said, "Now, comrades, nothing can prevent our full revenge, as I am certain of the house; and in my way hither I have thought how to put it into execution, but if any one can form a better expedient, let him communicate it." He then told them his contrivance; and as they approved of it, ordered them to go into the villages about, and buy nineteen mules, with thirty eight large leather jars, one full of oil, and the others empty.	true	186.53	222.85	23.080343
8474_281188_000009_000000	In two or three days' time the robbers had purchased the mules and jars, and as the mouths of the jars were rather too narrow for his purpose, the captain caused them to be widened; and after having put one of his men into each, with the weapons which he thought fit, leaving open the seam which had been undone to leave them room to breathe, he rubbed the jars on the outside with oil from the full vessel.	In two or three days' time the robbers had purchased the mules and jars, and as the mouths of the jars were rather too narrow for his purpose, the captain caused them to be widened; and after having put one of his men into each, with the weapons which he thought fit, leaving open the seam which had been undone to leave them room to breathe, he rubbed the jars on the outside with oil from the full vessel.	false	223.88	246.16	21.322912
8474_281188_000010_000000	Things being thus prepared, when the nineteen mules were loaded with thirty-seven robbers in jars, and the jar of oil, the captain, as their driver, set out with them, and reached the town by the dusk of the evening, as he had intended.	Things being thus prepared, when the nineteen mules were loaded with thirty seven robbers in jars, and the jar of oil, the captain, as their driver, set out with them, and reached the town by the dusk of the evening, as he had intended.	false	247.28	261.76	22.792147
8474_281188_000010_000001	He led them through the streets till he came to Ali Baba's, at whose door he designed to have knocked; but was prevented by his sitting there after supper to take a little fresh air.	He led them through the streets till he came to Ali Baba's, at whose door he designed to have knocked; but was prevented by his sitting there after supper to take a little fresh air.	false	262.19	271.72	22.55612
8474_281188_000010_000002	He stopped his mules, addressed himself to him, and said, "I have brought some oil a great way to sell at to-morrow's market; and it is now so late that I do not know where to lodge.	He stopped his mules, addressed himself to him, and said, "I have brought some oil a great way to sell at to morrow's market; and it is now so late that I do not know where to lodge.	true	272.24	282.82	22.919838
8474_281188_000010_000003	If I should not be troublesome to you, do me the favor to let me pass the night with you, and I shall be very much obliged by your hospitality."	If I should not be troublesome to you, do me the favor to let me pass the night with you, and I shall be very much obliged by your hospitality."	true	282.86	290.79	22.241474
8474_281188_000011_000000	Though Ali Baba had seen the captain of the robbers in the forest, and had heard him speak, it was impossible to know him in the disguise of an oil merchant.	Though Ali Baba had seen the captain of the robbers in the forest, and had heard him speak, it was impossible to know him in the disguise of an oil merchant.	false	290.79	300.76	19.953863
8474_281188_000011_000001	He told him he should be welcome, and immediately opened his gates for the mules to go into the yard.	He told him he should be welcome, and immediately opened his gates for the mules to go into the yard.	false	301.16	305.92	20
8474_281188_000011_000002	At the same time he called to a slave, and ordered him, when the mules were unloaded, to put them into the stable, and to feed them; and then went to Morgiana to bid her to get a good supper for his guest.	At the same time he called to a slave, and ordered him, when the mules were unloaded, to put them into the stable, and to feed them; and then went to Morgiana to bid her to get a good supper for his guest.	true	306.65	317.71	23.792751
8474_281188_000011_000003	After they had finished supper, Ali Baba, charging Morgiana afresh to take care of his guest, said to her, "To-morrow morning I design to go to the bath before day; take care my bathing linen be ready, give them to Abdalla (which was the slave's name) and make me some good broth against I return." After this he went to bed.	After they had finished supper, Ali Baba, charging Morgiana afresh to take care of his guest, said to her, "To morrow morning I design to go to the bath before day; take care my bathing linen be ready, give them to Abdalla (which was the slave's name) and make me some good broth against I return." After this he went to bed.	true	318.47	339.82	22.775316
8474_281188_000012_000000	In the meantime the captain of the robbers went into the yard, took off the lid of each jar, and gave his people orders what to do.	In the meantime the captain of the robbers went into the yard, took off the lid of each jar, and gave his people orders what to do.	true	340.49	347.83	23.32629
8474_281188_000012_000001	Beginning at the first jar, and so on to the last, he said to each man: "As soon as I throw some stones out of the chamber window where I lie, do not fail to come out, and I will immediately join you." After this he returned into the house, when Morgiana, taking up a light, conducted him to his chamber, where she left him; and he, to avoid any suspicion, put the light out soon after, and laid himself down in his clothes, that he might be the more ready to rise.	Beginning at the first jar, and so on to the last, he said to each man: "As soon as I throw some stones out of the chamber window where I lie, do not fail to come out, and I will immediately join you." After this he returned into the house, when Morgiana, taking up a light, conducted him to his chamber, where she left him; and he, to avoid any suspicion, put the light out soon after, and laid himself down in his clothes, that he might be the more ready to rise.	true	348.47	377.26	23.467663
