1734_142311_000000_000000	'No,' said he.	'No,' said he.	false	0	0.99	21.227058
1734_142311_000000_000001	'I spoke as plain as I could, 'bout using words, when I bolted th' door.	'I spoke as plain as I could, 'bout using words, when I bolted t h' door.	false	0.99	6.39	14
1734_142311_000000_000002	Let me be, this day.'	Let me be, this day.'	false	6.39	8.07	8
1734_142311_000001_000000	Mr. Hale would have urged their desire, but Margaret placed her finger on his lips.	mr Hale would have urged their desire, but Margaret placed her finger on his lips.	false	8.07	13.11	11
1734_142311_000002_000000	'I don't wonder at it,' said she.	'I don't wonder at it,' said she.	false	13.11	15.48	15.529791
1734_142311_000002_000001	'I myself long to be alone.	'I myself long to be alone.	false	15.48	17.49	4
1734_142311_000002_000002	It seems the only thing to do one good after a day like this.'	It seems the only thing to do one good after a day like this.'	false	17.49	22.23	18
1734_142311_000003_000000	CHAPTER XXXVII	CHAPTER thirty seven	true	22.23	23.59	12
1734_142311_000004_000000	LOOKING SOUTH	LOOKING SOUTH	true	23.75	25.33	20.642368
1734_142311_000005_000000	'A spade! a rake! a hoe! A pickaxe or a bill! A hook to reap, or a scythe to mow, A flail, or what ye will-- And here's a ready hand To ply the needful tool, And skill'd enough, by lessons rough, In Labour's rugged school.' HOOD.	'A spade! a rake! a hoe! A pickaxe or a bill! A hook to reap, or a scythe to mow, A flail, or what ye will- And here's a ready hand To ply the needful tool, And skill'd enough, by lessons rough, In Labour's rugged school.' HOOD.	false	25.82	43.38	19
1734_142311_000006_000000	Higgins's door was locked the next day, when they went to pay their call on the widow Boucher: but they learnt this time from an officious neighbour, that he was really from home.	Higgins's door was locked the next day, when they went to pay their call on the widow Boucher: but they learnt this time from an officious neighbour, that he was really from home.	false	43.38	53.59	18.095778
1734_142311_000006_000001	He had, however, been in to see Mrs. Boucher, before starting on his day's business, whatever that was. It was but an unsatisfactory visit to Mrs. Boucher; she considered herself as an ill-used woman by her poor husband's suicide; and there was quite germ of truth enough in this idea to make it a very difficult one to refute.	He had, however, been in to see mrs Boucher, before starting on his day's business, whatever that was. It was but an unsatisfactory visit to mrs Boucher; she considered herself as an ill used woman by her poor husband's suicide; and there was quite germ of truth enough in this idea to make it a very difficult one to refute.	false	53.99	73.93	16
1734_142311_000006_000002	Still, it was unsatisfactory to see how completely her thoughts were turned upon herself and her own position, and this selfishness extended even to her relations with her children, whom she considered as incumbrances, even in the very midst of her somewhat animal affection for them.	Still, it was unsatisfactory to see how completely her thoughts were turned upon herself and her own position, and this selfishness extended even to her relations with her children, whom she considered as incumbrances, even in the very midst of her somewhat animal affection for them.	true	74.33	90.64	13
