1779_142733_000001_000000	BOOK III	BOOK three
1779_142733_000003_000000	CHAPTER I	CHAPTER one
1779_142733_000004_000000	THE MIND HAS AN INCOMPLETE LIFE	THE MIND HAS AN INCOMPLETE LIFE
1779_142733_000005_000000	The problem of the union of the mind and the body is not one of those which present themselves in pure speculation; it has its roots in experimental facts, and is forced upon us by the necessity of explaining observations such as those we are about to quote.	The problem of the union of the mind and the body is not one of those which present themselves in pure speculation; it has its roots in experimental facts, and is forced upon us by the necessity of explaining observations such as those we are about to quote.
1779_142733_000006_000001	This is daily demonstrated by thousands upon thousands of observations.	This is daily demonstrated by thousands upon thousands of observations.
1779_142733_000007_000000	The question is to know how this union of the body with the consciousness is to be explained, it being assumed that the two terms of this union present a great difference in their nature.	The question is to know how this union of the body with the consciousness is to be explained, it being assumed that the two terms of this union present a great difference in their nature.
1779_142733_000007_000001	The easier it seems to demonstrate that this union exists, the more difficult it appears to explain how it is realised; and the proof of this difficulty is the number of divergent interpretations given to it. Were it a simple question of fact, the perpetual discussions and controversies upon it would not arise.	The easier it seems to demonstrate that this union exists, the more difficult it appears to explain how it is realised; and the proof of this difficulty is the number of divergent interpretations given to it. Were it a simple question of fact, the perpetual discussions and controversies upon it would not arise.
1779_142733_000008_000001	The first is that of the genesis or origin of the consciousness.	The first is that of the genesis or origin of the consciousness.
1779_142733_000008_000003	In general, one begins by supposing that the material phenomena are produced first; they consist, for instance, in the working of the nervous centres.	In general, one begins by supposing that the material phenomena are produced first; they consist, for instance, in the working of the nervous centres.
1779_142733_000008_000004	All this is physical or chemical, and therefore material.	All this is physical or chemical, and therefore material.
1779_142733_000008_000005	Then at a given moment, after this mechanical process, a quite different phenomenon emerges.	Then at a given moment, after this mechanical process, a quite different phenomenon emerges.
1779_142733_000008_000006	This is thought, consciousness, emotion.	This is thought, consciousness, emotion.
1779_142733_000008_000008	What is the nature of the link between them?	What is the nature of the link between them?
1779_142733_000008_000009	Is it a relation of cause to effect, of genesis? or a coincidence? or the interaction of two distinct forces? Is this relation constant or necessary?	Is it a relation of cause to effect, of genesis? or a coincidence? or the interaction of two distinct forces? Is this relation constant or necessary?
1779_142733_000008_000010	Can the mind enjoy an existence independent of the brain?	Can the mind enjoy an existence independent of the brain?
1779_142733_000008_000011	Can it survive the death of the brain?	Can it survive the death of the brain?
1779_142733_000009_000000	The second question is that of knowing what is the role, the utility, and the efficacity of the psychical phenomenon.	The second question is that of knowing what is the role, the utility, and the efficacity of the psychical phenomenon.
1779_142733_000009_000004	Does it exercise any action on these intra-cerebral functions?	Does it exercise any action on these intra cerebral functions?
1779_142733_000009_000005	Does it exercise any action on the centrifugal currents which go to the motor nerves?	Does it exercise any action on the centrifugal currents which go to the motor nerves?
1779_142733_000009_000006	Is it capable of exciting a movement?	Is it capable of exciting a movement?
1779_142733_000009_000007	or is it deprived of all power of creating effect?	or is it deprived of all power of creating effect?
1779_142733_000010_000001	Some of the best known of these solutions bear the names of spiritualism, materialism, parallelism, and monism.	Some of the best known of these solutions bear the names of spiritualism, materialism, parallelism, and monism.
