3289_171107_000009_000000	From The Taking Of Jerusalem By Antiochus Epiphanes, To The Death Of Herod The Great.	From The Taking Of Jerusalem By Antiochus Epiphanes, To The Death Of Herod The Great.
3289_171107_000010_000000	CHAPTER 1.	CHAPTER one.
3289_171107_000011_000000	How The City Jerusalem Was Taken, And The Temple Pillaged [By Antiochus Epiphanes].	How The City Jerusalem Was Taken, And The Temple Pillaged [By Antiochus Epiphanes].
3289_171107_000011_000001	As Also Concerning The Actions Of The Maccabees, Matthias And Judas; And Concerning The Death Of Judas.	As Also Concerning The Actions Of The Maccabees, Matthias And Judas; And Concerning The Death Of Judas.
3289_171107_000012_000002	The king being thereto disposed beforehand, complied with them, and came upon the Jews with a great army, and took their city by force, and slew a great multitude of those that favored Ptolemy, and sent out his soldiers to plunder them without mercy.	The king being thereto disposed beforehand, complied with them, and came upon the Jews with a great army, and took their city by force, and slew a great multitude of those that favored Ptolemy, and sent out his soldiers to plunder them without mercy.
3289_171107_000012_000003	He also spoiled the temple, and put a stop to the constant practice of offering a daily sacrifice of expiation for three years and six months.	He also spoiled the temple, and put a stop to the constant practice of offering a daily sacrifice of expiation for three years and six months.
3289_171107_000014_000000	3.	three.
3289_171107_000014_000002	So he came to the government by this his success, and became the prince of his own people by their own free consent, and then died, leaving the government to Judas, his eldest son.	So he came to the government by this his success, and became the prince of his own people by their own free consent, and then died, leaving the government to Judas, his eldest son.
3289_171107_000015_000002	He also built another altar, and began to offer the sacrifices; and when the city had already received its sacred constitution again, Antiochus died; whose son Antiochus succeeded him in the kingdom, and in his hatred to the Jews also.	He also built another altar, and began to offer the sacrifices; and when the city had already received its sacred constitution again, Antiochus died; whose son Antiochus succeeded him in the kingdom, and in his hatred to the Jews also.
3289_171107_000016_000000	5.	five.
3289_171107_000016_000001	So this Antiochus got together fifty thousand footmen, and five thousand horsemen, and fourscore elephants, and marched through Judea into the mountainous parts.	So this Antiochus got together fifty thousand footmen, and five thousand horsemen, and fourscore elephants, and marched through Judea into the mountainous parts.
3289_171107_000016_000002	He then took Bethsura, which was a small city; but at a place called Bethzacharis, where the passage was narrow, Judas met him with his army.	He then took Bethsura, which was a small city; but at a place called Bethzacharis, where the passage was narrow, Judas met him with his army.
3289_171107_000016_000004	Now he that governed the elephant was but a private man; and had he proved to be Antiochus, Eleazar had performed nothing more by this bold stroke than that it might appear he chose to die, when he had the bare hope of thereby doing a glorious action; nay, this disappointment proved an omen to his brother [Judas] how the entire battle would end.	Now he that governed the elephant was but a private man; and had he proved to be Antiochus, Eleazar had performed nothing more by this bold stroke than that it might appear he chose to die, when he had the bare hope of thereby doing a glorious action; nay, this disappointment proved an omen to his brother [Judas] how the entire battle would end.
3289_171107_000016_000006	And when a great many of his men were slain, Judas took the rest with him, and fled to the toparchy of Gophna.	And when a great many of his men were slain, Judas took the rest with him, and fled to the toparchy of Gophna.
3289_171107_000016_000007	So Antiochus went to Jerusalem, and staid there but a few days, for he wanted provisions, and so he went his way.	So Antiochus went to Jerusalem, and staid there but a few days, for he wanted provisions, and so he went his way.
3289_171107_000016_000008	He left indeed a garrison behind him, such as he thought sufficient to keep the place, but drew the rest of his army off, to take their winter-quarters in Syria.	He left indeed a garrison behind him, such as he thought sufficient to keep the place, but drew the rest of his army off, to take their winter quarters in Syria.
3289_171107_000017_000000	6.	six.
