1066_103481_000000_000000	H.A.	h a	false	2.52	8.22	17.285458
1066_103481_000001_000000	THE LAST CREW[6]	THE LAST CREW[six]	false	8.22	10.56	19.4077
1066_103481_000002_000000	I	I	false	10.56	11.73	19.638052
1066_103481_000003_000000	Spring found us early that eventful year, Seeming to know in her clairvoyant way The bitterness of hunger and despair That lay upon the town. Out of the sheer Thin altitudes of day She drifted down Over the grim blockade At the harbor mouth, Trailing her beauty over the decay That war had made, Gilding old ruins with her jasmine spray, Distilling warm moist perfume From chill winter shade.	Spring found us early that eventful year, Seeming to know in her clairvoyant way The bitterness of hunger and despair That lay upon the town. Out of the sheer Thin altitudes of day She drifted down Over the grim blockade At the harbor mouth, Trailing her beauty over the decay That war had made, Gilding old ruins with her jasmine spray, Distilling warm moist perfume From chill winter shade.	true	11.73	37.36	18
1066_103481_000004_000000	Out of the south She brought the whisperings Of questing wings. Then, flame on flame, The cardinals came, Blowing like driven brands Up from the sultry lands Where Summer's happy fires always burn. Old silences, that pain Had held too close and long, Stirred to the mocker's song, And hope looked out again From tired eyes.	Out of the south She brought the whisperings Of questing wings. Then, flame on flame, The cardinals came, Blowing like driven brands Up from the sultry lands Where Summer's happy fires always burn. Old silences, that pain Had held too close and long, Stirred to the mocker's song, And hope looked out again From tired eyes.	true	38.45	61.42	19.811296
1066_103481_000005_000000	Down where the White Point Gardens drank the sun, And rippled to the lift of springing grass, The women came; And after them the aged, and the lame That war had hurled back at them like a taunt. And always, as they talked of little things, How violets were purpling the shade More early than in all remembered Springs, And how the tides seemed higher than last year, Their gaze went drifting out across the bay To where, Thrusting out of the mists, Like hostile fists, Waited the close blockade-- Then, dim to left and right, The curving islands with their shattered mounds That had been forts; Mounds, which in spite Of four long years of rending agony Still held against the light; Faint wraiths of color For the breeze to lift And flatten into faded red and white.	Down where the White Point Gardens drank the sun, And rippled to the lift of springing grass, The women came; And after them the aged, and the lame That war had hurled back at them like a taunt. And always, as they talked of little things, How violets were purpling the shade More early than in all remembered Springs, And how the tides seemed higher than last year, Their gaze went drifting out across the bay To where, Thrusting out of the mists, Like hostile fists, Waited the close blockade- Then, dim to left and right, The curving islands with their shattered mounds That had been forts; Mounds, which in spite Of four long years of rending agony Still held against the light; Faint wraiths of color For the breeze to lift And flatten into faded red and white.	false	62.72	112.87	20.03791
1066_103481_000006_000000	These sunny islands were not meant for wars; See, how they curve away Before the bay, Bidding the voyager pause. Warm with the hoarded suns of centuries, Young with the garnered youth of many Springs, They laugh like happy bathers, while the seas Break in their open arms, And the slow-moving breeze Draws languid fingers down their placid brows. Even the surly ocean knows their charms, And under the shrill laughter of the surf, He booms and sings his heavy monotone.	These sunny islands were not meant for wars; See, how they curve away Before the bay, Bidding the voyager pause. Warm with the hoarded suns of centuries, Young with the garnered youth of many Springs, They laugh like happy bathers, while the seas Break in their open arms, And the slow moving breeze Draws languid fingers down their placid brows. Even the surly ocean knows their charms, And under the shrill laughter of the surf, He booms and sings his heavy monotone.	false	114.05	144.99	19.903677
1066_103481_000007_000000	II	two	false	144.99	148.62	16.949224
1066_103481_000008_000000	There are rare nights among these waterways When Spring first treads the meadows of the marsh, Leaving faint footprints of elusive green To glimmer as she strays, Breaking the Winter silence with the harsh Sharp call of waterfowl; Rubbing dim shifting pastels in the scene With white of moon And blur of scudding cloud, Until the myrtle thickets And the sand, The silent streams, And the substantial land Go drifting down the tide of night Aswoon.	There are rare nights among these waterways When Spring first treads the meadows of the marsh, Leaving faint footprints of elusive green To glimmer as she strays, Breaking the Winter silence with the harsh Sharp call of waterfowl; Rubbing dim shifting pastels in the scene With white of moon And blur of scudding cloud, Until the myrtle thickets And the sand, The silent streams, And the substantial land Go drifting down the tide of night Aswoon.	false	148.62	178.24	21.017685
1066_103481_000009_000000	On such a night as this I saw the last crew go Out of a world too beautiful to leave. Only a chosen few Beside the crew Were gathered on the pier; And in the ebb and flow Of dark and moon, we saw them fare Straight past the row of coffins Where the fifth crew lay Waiting their last short voyage Across the bay.	On such a night as this I saw the last crew go Out of a world too beautiful to leave. Only a chosen few Beside the crew Were gathered on the pier; And in the ebb and flow Of dark and moon, we saw them fare Straight past the row of coffins Where the fifth crew lay Waiting their last short voyage Across the bay.	true	179.3	200.62	20.67048
1066_103481_000010_000000	And, as they went, not one among them swerved, But eyes went homing swiftly to the West, Where, faint and very few, The windows of the town called out to them Yet held them nerved And ready for the test. Young every one, they brought life at its best. In the taut stillness, not a word Was uttered, but one heard The deep slow orchestration of the night Swell and relapse; as swiftly, one by one, Cutting a silhouette against the gray, They rose, then dropped out softly like a dream Into the rocking shadows of the stream.	And, as they went, not one among them swerved, But eyes went homing swiftly to the West, Where, faint and very few, The windows of the town called out to them Yet held them nerved And ready for the test. Young every one, they brought life at its best. In the taut stillness, not a word Was uttered, but one heard The deep slow orchestration of the night Swell and relapse; as swiftly, one by one, Cutting a silhouette against the gray, They rose, then dropped out softly like a dream Into the rocking shadows of the stream.	true	201.62	237.4	20.236343
