7276_92427_000000_000000	THE IRISH CHARACTER.	THE IRISH CHARACTER.	false	6.21	23.8	23.987251
7276_92427_000001_000000	Since the publication of a short notice under this head in the "_Tribune_," several persons have expressed to us that their feelings were awakened on the subject, especially as to their intercourse with the lower Irish.	Since the publication of a short notice under this head in the "underscore Tribune underscore," several persons have expressed to us that their feelings were awakened on the subject, especially as to their intercourse with the lower Irish.	false	25.07	35.985	23.613888
7276_92427_000001_000001	Most persons have an opportunity of becoming acquainted, if they will, with the lower classes of Irish, as they are so much employed among us in domestic service, and other kinds of labor.	Most persons have an opportunity of becoming acquainted, if they will, with the lower classes of Irish, as they are so much employed among us in domestic service, and other kinds of labor.	true	35.985	46.2	22
7276_92427_000002_000000	We feel, say these persons, the justice of what has been said as to the duty and importance of improving these people.	We feel, say these persons, the justice of what has been said as to the duty and importance of improving these people.	true	46.2	53.085	21.929504
7276_92427_000002_000001	We have sometimes tried; but the want of real gratitude which, in them, is associated with such warm and wordy expressions of regard, with their incorrigible habits of falsehood and evasion, have baffled and discouraged us.	We have sometimes tried; but the want of real gratitude which, in them, is associated with such warm and wordy expressions of regard, with their incorrigible habits of falsehood and evasion, have baffled and discouraged us.	true	53.085	66.97	23.178617
7276_92427_000002_000002	You say their children ought to be educated; but how can this be effected when the all but omnipotent sway of the Catholic religion and the example of parents are both opposed to the formation of such views and habits as we think desirable to the citizen of the New World?	You say their children ought to be educated; but how can this be effected when the all but omnipotent sway of the Catholic religion and the example of parents are both opposed to the formation of such views and habits as we think desirable to the citizen of the New World?	false	67.1	84.39	21.853193
7276_92427_000003_000000	We answer first with regard to those who have grown up in another land, and who, soon after arriving here, are engaged in our service.	We answer first with regard to those who have grown up in another land, and who, soon after arriving here, are engaged in our service.	true	84.39	93.43	22.591967
7276_92427_000004_000000	First, as to ingratitude.	First, as to ingratitude.	true	93.5	95.475	23.685453
7276_92427_000004_000001	We cannot but sadly smile on the remarks we hear so often on this subject.	We cannot but sadly smile on the remarks we hear so often on this subject.	false	95.475	99.975	21
7276_92427_000005_000000	Just Heaven!--and to us how liberal! which has given those who speak thus an unfettered existence, free from religious or political oppression; which has given them the education of intellectual and refined intercourse with men to develop those talents which make them rich in thoughts and enjoyment, perhaps in money, too, certainly rich in comparison with the poor immigrants they employ,--what is thought in thy clear light of those who expect in exchange for a few shillings spent in presents or medicines, a few kind words, a little casual thought or care, such a mighty payment of gratitude?	Just Heaven!--and to us how liberal! which has given those who speak thus an unfettered existence, free from religious or political oppression; which has given them the education of intellectual and refined intercourse with men to develop those talents which make them rich in thoughts and enjoyment, perhaps in money, too, certainly rich in comparison with the poor immigrants they employ,--what is thought in thy clear light of those who expect in exchange for a few shillings spent in presents or medicines, a few kind words, a little casual thought or care, such a mighty payment of gratitude?	false	99.975	139.09	22.878778
7276_92427_000005_000001	Gratitude!	Gratitude!	true	139.13	140.355	28.208332
7276_92427_000005_000002	Under the weight of old feudalism their minds were padlocked by habit against the light; they might be grateful then, for they thought their lords were as gods, of another frame and spirit than theirs, and that they had no right to have the same hopes and wants, scarcely to suffer from the same maladies, with those creatures of silk, and velvet, and cloth of gold.	Under the weight of old feudalism their minds were padlocked by habit against the light; they might be grateful then, for they thought their lords were as gods, of another frame and spirit than theirs, and that they had no right to have the same hopes and wants, scarcely to suffer from the same maladies, with those creatures of silk, and velvet, and cloth of gold.	false	140.355	163.365	22.2372
7276_92427_000005_000003	Then, the crumbs which fell from the rich man's table might be received with gratitude, and, if any but the dogs came to tend the beggar's sores, such might be received as angels.	Then, the crumbs which fell from the rich man's table might be received with gratitude, and, if any but the dogs came to tend the beggar's sores, such might be received as angels.	true	163.365	175.15	20.675774
7276_92427_000005_000004	But the institutions which sustained such ideas have fallen to pieces.	But the institutions which sustained such ideas have fallen to pieces.	true	175.31	180.36	24.657415
7276_92427_000005_000005	It is understood, even In Europe, that	It is understood, even In Europe, that	true	180.36	182.685	22
7276_92427_000006_000000	"The rank is but the guinea's stamp, The man's the gowd for a' that, A man's a man for a' that."	"The rank is but the guinea's stamp, The man's the gowd for a' that, A man's a man for a' that."	false	182.685	190.005	21
7276_92427_000007_000000	And being such, has a claim on this earth for something better than the nettles of which the French peasantry made their soup, and with which the persecuted Irish, "under hiding," turned to green the lips white before with famine.	And being such, has a claim on this earth for something better than the nettles of which the French peasantry made their soup, and with which the persecuted Irish, "under hiding," turned to green the lips white before with famine.	false	190.005	205.9	22.450087
7276_92427_000008_000000	And if this begins to be understood in Europe, can you suppose it is not by those who, hearing that America opens a mother's arms with the cry, "All men are born free and equal," rush to her bosom to be consoled for centuries of woe, for their ignorance, their hereditary degradation, their long memories of black bread and stripes?	And if this begins to be understood in Europe, can you suppose it is not by those who, hearing that America opens a mother's arms with the cry, "All men are born free and equal," rush to her bosom to be consoled for centuries of woe, for their ignorance, their hereditary degradation, their long memories of black bread and stripes?	false	206.03	226.785	21.75145
7276_92427_000008_000001	However little else they may understand, believe they understand well _this much_.	However little else they may understand, believe they understand well underscore this much underscore.	false	226.785	232.32	21.675034
7276_92427_000008_000002	Such inequalities of privilege, among men all born of one blood, should not exist.	Such inequalities of privilege, among men all born of one blood, should not exist.	false	232.32	238.035	21.952202
7276_92427_000008_000003	They darkly feel that those to whom much has been given owe to the Master an account of stewardship.	They darkly feel that those to whom much has been given owe to the Master an account of stewardship.	false	238.035	244.56	24.193163
7276_92427_000008_000004	They know now that your gift is but a small portion of their right.	They know now that your gift is but a small portion of their right.	false	244.56	249.06	22.42709
7276_92427_000009_000000	And you, O giver! how did you give?	And you, O giver! how did you give?	true	249.06	252.28	21.294308
7276_92427_000009_000001	With religious joy, as one who knows that he who loves God cannot fail to love his neighbor as himself?	With religious joy, as one who knows that he who loves God cannot fail to love his neighbor as himself?	false	252.29	259.24	21.53082
7276_92427_000009_000002	with joy and freedom, as one who feels that it is the highest happiness of gift to us that we have something to give again?	with joy and freedom, as one who feels that it is the highest happiness of gift to us that we have something to give again?	false	259.64	268.02	22.62464
7276_92427_000009_000003	Didst thou put thyself into the position of the poor man, and do for him what thou wouldst have had one who was able to do for thee?	Didst thou put thyself into the position of the poor man, and do for him what thou wouldst have had one who was able to do for thee?	false	268.02	278.085	24.173664
7276_92427_000009_000004	Or, with affability and condescending sweetness, made easy by internal delight at thine own wondrous virtue, didst thou give five dollars to balance five hundred spent on thyself?	Or, with affability and condescending sweetness, made easy by internal delight at thine own wondrous virtue, didst thou give five dollars to balance five hundred spent on thyself?	true	278.085	290.58	24.030638
7276_92427_000009_000005	Did you say, "James, I shall expect you to do right in everything, and to attend to my concerns as I should myself; and, at the end of the quarter, I will give you my old clothes and a new pocket-handkerchief, besides seeing that your mother is provided with fuel against Christmas?"	Did you say, "james, I shall expect you to do right in everything, and to attend to my concerns as I should myself; and, at the end of the quarter, I will give you my old clothes and a new pocket handkerchief, besides seeing that your mother is provided with fuel against Christmas?"	true	290.58	309.12	23.051876
7276_92427_000010_000000	Line upon line, and precept upon precept, the tender parent expects from the teacher to whom he confides his child; vigilance unwearied, day and night, through long years.	Line upon line, and precept upon precept, the tender parent expects from the teacher to whom he confides his child; vigilance unwearied, day and night, through long years.	true	309.12	320.8	25.158016
7276_92427_000010_000001	But he expects the raw Irish girl or boy to correct, at a single exhortation, the habit of deceiving those above them, which the expectation of being tyrannized over has rooted in their race for ages.	But he expects the raw Irish girl or boy to correct, at a single exhortation, the habit of deceiving those above them, which the expectation of being tyrannized over has rooted in their race for ages.	false	320.84	334.47	22.088896
7276_92427_000010_000002	If we look fairly into the history of their people, and the circumstances under which their own youth was trained, we cannot expect that anything short of the most steadfast patience and love can enlighten them as to the beauty and value of implicit truth, and, having done so, fortify and refine them in the practice of it.	If we look fairly into the history of their people, and the circumstances under which their own youth was trained, we cannot expect that anything short of the most steadfast patience and love can enlighten them as to the beauty and value of implicit truth, and, having done so, fortify and refine them in the practice of it.	true	334.47	351.78	21
