56_1732_000003_000000	He read the letters.	He read the letters.
56_1732_000003_000001	One was very unpleasant, from a merchant who was buying a forest on his wife's property.	One was very unpleasant, from a merchant who was buying a forest on his wife's property.
56_1732_000003_000002	To sell this forest was absolutely essential; but at present, until he was reconciled with his wife, the subject could not be discussed.	To sell this forest was absolutely essential; but at present, until he was reconciled with his wife, the subject could not be discussed.
56_1732_000003_000004	And the idea that he might be led on by his interests, that he might seek a reconciliation with his wife on account of the sale of the forest--that idea hurt him.	And the idea that he might be led on by his interests, that he might seek a reconciliation with his wife on account of the sale of the forest-that idea hurt him.
56_1732_000004_000000	When he had finished his letters, Stepan Arkadyevitch moved the office-papers close to him, rapidly looked through two pieces of business, made a few notes with a big pencil, and pushing away the papers, turned to his coffee.	When he had finished his letters, Stepan Arkadyevitch moved the office papers close to him, rapidly looked through two pieces of business, made a few notes with a big pencil, and pushing away the papers, turned to his coffee.
56_1732_000004_000001	As he sipped his coffee, he opened a still damp morning paper, and began reading it.	As he sipped his coffee, he opened a still damp morning paper, and began reading it.
56_1732_000005_000000	Stepan Arkadyevitch took in and read a liberal paper, not an extreme one, but one advocating the views held by the majority.	Stepan Arkadyevitch took in and read a liberal paper, not an extreme one, but one advocating the views held by the majority.
56_1732_000005_000001	And in spite of the fact that science, art, and politics had no special interest for him, he firmly held those views on all these subjects which were held by the majority and by his paper, and he only changed them when the majority changed them--or, more strictly speaking, he did not change them, but they imperceptibly changed of themselves within him.	And in spite of the fact that science, art, and politics had no special interest for him, he firmly held those views on all these subjects which were held by the majority and by his paper, and he only changed them when the majority changed them-or, more strictly speaking, he did not change them, but they imperceptibly changed of themselves within him.
56_1732_000006_000000	Stepan Arkadyevitch had not chosen his political opinions or his views; these political opinions and views had come to him of themselves, just as he did not choose the shapes of his hat and coat, but simply took those that were being worn.	Stepan Arkadyevitch had not chosen his political opinions or his views; these political opinions and views had come to him of themselves, just as he did not choose the shapes of his hat and coat, but simply took those that were being worn.
56_1732_000006_000003	The liberal party said that in Russia everything is wrong, and certainly Stepan Arkadyevitch had many debts and was decidedly short of money.	The liberal party said that in Russia everything is wrong, and certainly Stepan Arkadyevitch had many debts and was decidedly short of money.
56_1732_000006_000004	The liberal party said that marriage is an institution quite out of date, and that it needs reconstruction; and family life certainly afforded Stepan Arkadyevitch little gratification, and forced him into lying and hypocrisy, which was so repulsive to his nature.	The liberal party said that marriage is an institution quite out of date, and that it needs reconstruction; and family life certainly afforded Stepan Arkadyevitch little gratification, and forced him into lying and hypocrisy, which was so repulsive to his nature.
56_1732_000006_000006	And with all this, Stepan Arkadyevitch, who liked a joke, was fond of puzzling a plain man by saying that if he prided himself on his origin, he ought not to stop at Rurik and disown the first founder of his family--the monkey.	And with all this, Stepan Arkadyevitch, who liked a joke, was fond of puzzling a plain man by saying that if he prided himself on his origin, he ought not to stop at Rurik and disown the first founder of his family-the monkey.
56_1732_000006_000009	He read another article, too, a financial one, which alluded to Bentham and Mill, and dropped some innuendoes reflecting on the ministry.	He read another article, too, a financial one, which alluded to Bentham and Mill, and dropped some innuendoes reflecting on the ministry.
