1724_395_000005_000000	FIRST SECTION	FIRST SECTION
1724_395_000007_000000	OF MORALITY TO THE PHILOSOPHICAL	OF MORALITY TO THE PHILOSOPHICAL
1724_395_000008_000001	It is the same with the gifts of fortune.	It is the same with the gifts of fortune.
1724_395_000009_000001	Moderation in the affections and passions, self-control, and calm deliberation are not only good in many respects, but even seem to constitute part of the intrinsic worth of the person; but they are far from deserving to be called good without qualification, although they have been so unconditionally praised by the ancients.	Moderation in the affections and passions, self control, and calm deliberation are not only good in many respects, but even seem to constitute part of the intrinsic worth of the person; but they are far from deserving to be called good without qualification, although they have been so unconditionally praised by the ancients.
1724_395_000009_000002	For without the principles of a good will, they may become extremely bad, and the coolness of a villain not only makes him far more dangerous, but also directly makes him more abominable in our eyes than he would have been without it.	For without the principles of a good will, they may become extremely bad, and the coolness of a villain not only makes him far more dangerous, but also directly makes him more abominable in our eyes than he would have been without it.
1724_395_000010_000000	A good will is good not because of what it performs or effects, not by its aptness for the attainment of some proposed end, but simply by virtue of the volition; that is, it is good in itself, and considered by itself is to be esteemed much higher than all that can be brought about by it in favour of any inclination, nay even of the sum total of all inclinations.	A good will is good not because of what it performs or effects, not by its aptness for the attainment of some proposed end, but simply by virtue of the volition; that is, it is good in itself, and considered by itself is to be esteemed much higher than all that can be brought about by it in favour of any inclination, nay even of the sum total of all inclinations.
1724_395_000010_000002	Its usefulness or fruitlessness can neither add nor take away anything from this value.	Its usefulness or fruitlessness can neither add nor take away anything from this value.
1724_395_000012_000000	In the physical constitution of an organized being, that is, a being adapted suitably to the purposes of life, we assume it as a fundamental principle that no organ for any purpose will be found but what is also the fittest and best adapted for that purpose.	In the physical constitution of an organized being, that is, a being adapted suitably to the purposes of life, we assume it as a fundamental principle that no organ for any purpose will be found but what is also the fittest and best adapted for that purpose.
1724_395_000012_000004	In a word, nature would have taken care that reason should not break forth into practical exercise, nor have the presumption, with its weak insight, to think out for itself the plan of happiness, and of the means of attaining it.	In a word, nature would have taken care that reason should not break forth into practical exercise, nor have the presumption, with its weak insight, to think out for itself the plan of happiness, and of the means of attaining it.
1724_395_000012_000005	Nature would not only have taken on herself the choice of the ends, but also of the means, and with wise foresight would have entrusted both to instinct.	Nature would not only have taken on herself the choice of the ends, but also of the means, and with wise foresight would have entrusted both to instinct.
1724_395_000014_000001	This will then, though not indeed the sole and complete good, must be the supreme good and the condition of every other, even of the desire of happiness.	This will then, though not indeed the sole and complete good, must be the supreme good and the condition of every other, even of the desire of happiness.
