4719_25766_000000_000000	CHAPTER II.	CHAPTER two.	false	0.27	16.275	22.572058
4719_25766_000001_000000	THROUGH THE LINES.	THROUGH THE LINES.	true	16.275	17.56	19.56539
4719_25766_000002_000000	At the time Calhoun started for Kentucky, General Halleck was concentrating his immense army at Pittsburg Landing, preparatory to an attack on Corinth.	At the time Calhoun started for Kentucky, General Halleck was concentrating his immense army at Pittsburg Landing, preparatory to an attack on Corinth.	true	18.62	27.225	22
4719_25766_000002_000001	Federal gunboats patrolled the Tennessee River as far up as Eastport.	Federal gunboats patrolled the Tennessee River as far up as Eastport.	true	27.225	31.02	19.366798
4719_25766_000002_000002	General Mitchell held the Memphis and Charleston Railroad between Decatur and Stevenson, but between Corinth and Decatur there was no large body of Federals, and the country was open to excursions of Confederate cavalry.	General Mitchell held the Memphis and Charleston Railroad between Decatur and Stevenson, but between Corinth and Decatur there was no large body of Federals, and the country was open to excursions of Confederate cavalry.	false	31.02	43	17
4719_25766_000002_000003	In Middle Tennessee every important place was held by detachments of Federal troops.	In Middle Tennessee every important place was held by detachments of Federal troops.	true	43.43	48.13	18
4719_25766_000002_000004	To attempt to ride through the lines was an exceedingly dangerous undertaking, but that is what Calhoun had to do to reach Kentucky.	To attempt to ride through the lines was an exceedingly dangerous undertaking, but that is what Calhoun had to do to reach Kentucky.	true	48.26	54.81	19.889141
4719_25766_000002_000005	He expected to meet with little danger until he attempted to cross the lines of General Mitchell, which extended along the railroads that ran from Nashville southward.	He expected to meet with little danger until he attempted to cross the lines of General Mitchell, which extended along the railroads that ran from Nashville southward.	true	54.81	62.475	15
4719_25766_000002_000006	The country through which he had to pass was intensely Southern, and the Yankee cavalry did not venture far from the railroads.	The country through which he had to pass was intensely Southern, and the Yankee cavalry did not venture far from the railroads.	false	62.475	68.52	17
4719_25766_000003_000000	When Calhoun left Corinth, he rode straight eastward, until he reached Tuscumbia, Alabama.	When Calhoun left Corinth, he rode straight eastward, until he reached Tuscumbia, Alabama.	false	68.52	73.42	22.58346
4719_25766_000003_000001	Here he found little trouble in finding means to cross the Tennessee River.	Here he found little trouble in finding means to cross the Tennessee River.	true	73.52	77.325	23
4719_25766_000003_000002	Once across the river he took a northeast course, which would take him through Rogersville.	Once across the river he took a northeast course, which would take him through Rogersville.	true	77.325	81.67	17
4719_25766_000003_000003	Now and then he met small squads of Confederate cavalry.	Now and then he met small squads of Confederate cavalry.	true	81.77	84.81	15
4719_25766_000003_000004	They were scouting through the country, and did not seem to be under very strict military discipline, doing much as they pleased.	They were scouting through the country, and did not seem to be under very strict military discipline, doing much as they pleased.	false	84.81	89.61	19
4719_25766_000004_000000	Now and then he came across a party of recruits making their way to the Confederate army at Corinth.	Now and then he came across a party of recruits making their way to the Confederate army at Corinth.	false	89.61	94.3	19
4719_25766_000004_000001	They were mostly country boys, rough, uncouth, and with little or no education.	They were mostly country boys, rough, uncouth, and with little or no education.	true	94.34	98.89	22.781792
4719_25766_000004_000002	They knew or cared little of the causes which had led up to the war; but they knew that the Southland had been invaded, that their homes were in danger, and they made soldiers whose bravery and devotion excited the admiration of the world.	They knew or cared little of the causes which had led up to the war; but they knew that the Southland had been invaded, that their homes were in danger, and they made soldiers whose bravery and devotion excited the admiration of the world.	false	99.2	111.19	18
4719_25766_000005_000000	In order to find out what General Mitchell was doing, and as nearly as he could, to ascertain the number of his forces, Calhoun resolved to ride as near the line of the Nashville and Decatur railroad as was prudent.	In order to find out what General Mitchell was doing, and as nearly as he could, to ascertain the number of his forces, Calhoun resolved to ride as near the line of the Nashville and Decatur railroad as was prudent.	false	111.35	121.9	15
4719_25766_000005_000001	As he approached Rogersville, he learned that the place had just been raided by a regiment of Yankee cavalry, and the country was in a panic.	As he approached Rogersville, he learned that the place had just been raided by a regiment of Yankee cavalry, and the country was in a panic.	false	122.36	129.64	21.071062
4719_25766_000006_000000	Approaching the place cautiously, he was pleased to ascertain that the cavalry, after committing numerous depredations, had retreated to Athens. He now learned for the first time of the atrocities which had been committed on the defenceless inhabitants of Athens, and his blood boiled as he listened to the recital.	Approaching the place cautiously, he was pleased to ascertain that the cavalry, after committing numerous depredations, had retreated to Athens. He now learned for the first time of the atrocities which had been committed on the defenceless inhabitants of Athens, and his blood boiled as he listened to the recital.	false	129.86	145.36	20
4719_25766_000006_000001	No wonder the citizens of Rogersville were in a panic, fearing that their fate might be the same.	No wonder the citizens of Rogersville were in a panic, fearing that their fate might be the same.	false	145.55	150.46	18.605793
4719_25766_000007_000000	"The whelps and robbers!" he exclaimed; "how I should like to get at them! But their time will come.	"The whelps and robbers!" he exclaimed; "how I should like to get at them! But their time will come.	true	150.68	156.195	22.792896
4719_25766_000007_000001	Never will the South lay down her arms until every Northern soldier is driven in or across the Ohio."	Never will the South lay down her arms until every Northern soldier is driven in or across the Ohio."	true	156.195	161.77	13
4719_25766_000008_000000	In Rogersville Calhoun met with a Doctor Jenkins, who was especially well informed as to the strength and positions of the Federal army, and as to the feelings of the citizens.	In Rogersville Calhoun met with a Doctor Jenkins, who was especially well informed as to the strength and positions of the Federal army, and as to the feelings of the citizens.	false	162.14	171.07	19
4719_25766_000009_000000	"At first," said he, "the result of the battle of Shiloh greatly discouraged us, and the slaughter was horrifying.	"At first," said he, "the result of the battle of Shiloh greatly discouraged us, and the slaughter was horrifying.	false	171.44	177.9	17.111502
4719_25766_000009_000001	But we are getting over that now, and every true son of the South is more determined than ever to fight the war to the bitter end, even if we see our homes in flames and the country laid waste.	But we are getting over that now, and every true son of the South is more determined than ever to fight the war to the bitter end, even if we see our homes in flames and the country laid waste.	true	177.9	187.66	18
4719_25766_000009_000002	How is it that Kentucky does not join hands with her sister states?"	How is it that Kentucky does not join hands with her sister states?"	true	187.79	191.53	17
4719_25766_000010_000000	"She will, she must," cried Calhoun.	"She will, she must," cried Calhoun.	true	191.81	194.11	25.544514
4719_25766_000010_000001	"Already thousands of her sons are flocking to the Southern standard.	"Already thousands of her sons are flocking to the Southern standard.	true	194.3	197.56	21.636497
4719_25766_000010_000002	It needs but a victory--a Confederate army to enter her territory, and the people will rise _en masse_.	It needs but a victory-a Confederate army to enter her territory, and the people will rise underscore en masse underscore.	false	197.72	203.31	20.248243
4719_25766_000010_000003	There are not enough traitors or Yankees in the state to keep them down."	There are not enough traitors or Yankees in the state to keep them down."	true	203.31	206.5	18
4719_25766_000011_000000	"Do you think Beauregard can hold Corinth?" asked the Doctor.	"Do you think Beauregard can hold Corinth?" asked the Doctor.	false	207.2	210.28	23.31897
4719_25766_000012_000000	"He can if any one can.	"He can if any one can.	true	210.62	212.16	24.925425
4719_25766_000012_000001	He is a great general," answered Calhoun.	He is a great general," answered Calhoun.	true	212.16	214.335	19
4719_25766_000012_000002	"But Morgan thinks the loss of Corinth would not be fatal if the army were saved.	"But Morgan thinks the loss of Corinth would not be fatal if the army were saved.	true	214.335	218.235	19
4719_25766_000012_000003	'Under no consideration,' says Morgan, 'should Beauregard allow himself to be cooped up in Corinth.' "	'Under no consideration,' says Morgan, 'should Beauregard allow himself to be cooped up in Corinth.' "	true	218.235	223.21	22.599728
4719_25766_000013_000000	"I reckon he is right," sighed the Doctor; "but may the time never come when he will have to give it up."	"I reckon he is right," sighed the Doctor; "but may the time never come when he will have to give it up."	true	223.4	228.73	20.772623
4719_25766_000014_000000	"Amen to that!" answered Calhoun.	"Amen to that!" answered Calhoun.	true	228.95	230.53	15.724129
4719_25766_000015_000000	From Rogersville Calhoun made his way north.	From Rogersville Calhoun made his way north.	true	230.99	233.325	18
4719_25766_000015_000001	He ascertained that the railroad which Mitchell was engaged in repairing was not strongly guarded, and he believed that with five hundred men Morgan could break it almost anywhere between Athens and Columbia.	He ascertained that the railroad which Mitchell was engaged in repairing was not strongly guarded, and he believed that with five hundred men Morgan could break it almost anywhere between Athens and Columbia.	true	233.325	242.86	15
4719_25766_000016_000000	Near Mount Pleasant he met a Confederate officer with a party of recruits which he was taking south.	Near Mount Pleasant he met a Confederate officer with a party of recruits which he was taking south.	true	243.11	248.265	21.91397
4719_25766_000016_000001	He sent back by him a statement to Morgan of all he had learned, and added: "Taking everything into consideration, I believe that Pulaski will be the best place for you to strike.	He sent back by him a statement to Morgan of all he had learned, and added: "Taking everything into consideration, I believe that Pulaski will be the best place for you to strike.	true	248.265	257.805	19.832573
4719_25766_000016_000002	I have no fears but that you can capture it, even with your small force."	I have no fears but that you can capture it, even with your small force."	true	257.805	261.85	21.15765
4719_25766_000017_000000	Calhoun met with his first serious adventure shortly after he had crossed the railroad, which he did a few miles south of Columbia.	Calhoun met with his first serious adventure shortly after he had crossed the railroad, which he did a few miles south of Columbia.	false	261.92	268.12	20
4719_25766_000017_000001	Thinking to make better time, he took the main road leading to Shelbyville.	Thinking to make better time, he took the main road leading to Shelbyville.	true	268.7	272.5	19
4719_25766_000017_000002	He was discovered by a squad of Federal cavalry, which immediately gave chase. But he was mounted on a splendid horse, one that he had brought with him from Kentucky.	He was discovered by a squad of Federal cavalry, which immediately gave chase. But he was mounted on a splendid horse, one that he had brought with him from Kentucky.	true	272.6	280.81	20.046997
4719_25766_000017_000003	He easily distanced all his pursuers with the exception of three or four, and he was gradually drawing away from all of them, except a lieutenant in command of the squad, who seemed to be as well mounted as himself.	He easily distanced all his pursuers with the exception of three or four, and he was gradually drawing away from all of them, except a lieutenant in command of the squad, who seemed to be as well mounted as himself.	true	281.12	291.96	18
4719_25766_000018_000000	[Illustration: HE EASILY DISTANCED ALL HIS PURSUERS.]	[Illustration: HE EASILY DISTANCED ALL HIS PURSUERS.]	false	291.96	292.305	-6
4719_25766_000019_000000	"Only one," muttered Calhoun, looking back, as a pistol-ball whistled by his head; "I can settle him," and he reached for a revolver in his holster.	"Only one," muttered Calhoun, looking back, as a pistol ball whistled by his head; "I can settle him," and he reached for a revolver in his holster.	true	292.305	300.04	20.315374
4719_25766_000019_000001	As he did so, his horse stepped into a hole and plunged heavily forward, throwing Calhoun over his head.	As he did so, his horse stepped into a hole and plunged heavily forward, throwing Calhoun over his head.	true	300.08	305.11	16
4719_25766_000019_000002	For a moment he lay bruised and stunned, and then staggered to his feet, only to find the Federal officer upon him.	For a moment he lay bruised and stunned, and then staggered to his feet, only to find the Federal officer upon him.	true	305.33	310.785	19
4719_25766_000020_000000	"Surrender, you Rebel!" cried the officer, but quick as a flash, Calhoun snatched a small revolver which he carried in his belt, and fired.	"Surrender, you Rebel!" cried the officer, but quick as a flash, Calhoun snatched a small revolver which he carried in his belt, and fired.	true	310.785	317.95	20.56184
4719_25766_000021_000000	Instead of hitting the officer, the ball struck the horse fairly in the head, and the animal fell dead.	Instead of hitting the officer, the ball struck the horse fairly in the head, and the animal fell dead.	true	318.17	322.935	18
4719_25766_000021_000001	Leaving the officer struggling to extricate himself from his fallen horse, Calhoun scrambled over a fence, and scurried across a small field, beyond which was a wood.	Leaving the officer struggling to extricate himself from his fallen horse, Calhoun scrambled over a fence, and scurried across a small field, beyond which was a wood.	false	322.935	331.75	18
4719_25766_000021_000002	A scattering volley was fired by the foremost of the pursuers, but it did no harm, and Calhoun was soon across the field.	A scattering volley was fired by the foremost of the pursuers, but it did no harm, and Calhoun was soon across the field.	true	331.97	338.2	20.158768
4719_25766_000021_000003	Mounting the fence on the other side, he stood on the top rail, and turning around, he uttered a shout of defiance, then jumping down, disappeared in the wood.	Mounting the fence on the other side, he stood on the top rail, and turning around, he uttered a shout of defiance, then jumping down, disappeared in the wood.	false	338.21	347.14	20.27349
4719_25766_000022_000000	The foremost of the Federals, a tall, lanky sergeant named Latham, galloped to the side of his commander, who was still struggling to extricate himself from his fallen horse.	The foremost of the Federals, a tall, lanky sergeant named Latham, galloped to the side of his commander, who was still struggling to extricate himself from his fallen horse.	true	347.36	356.11	18
4719_25766_000022_000001	Springing from his saddle, he helped him to his feet, and anxiously inquired, "Are you hurt, Lieutenant?"	Springing from his saddle, he helped him to his feet, and anxiously inquired, "Are you hurt, Lieutenant?"	false	356.21	361	20.624048
4719_25766_000023_000000	"The Rebel, the Rebel, where is he?	"The Rebel, the Rebel, where is he?	true	361.01	362.64	18.659725
4719_25766_000023_000001	Did you get him?" asked the Lieutenant.	Did you get him?" asked the Lieutenant.	true	362.64	364.72	22.727968
4719_25766_000024_000000	"Get him!" drawled the Sergeant, "I think not.	"Get him!" drawled the Sergeant, "I think not.	true	365	367.3	19.08114
4719_25766_000024_000001	He got across that field as if Old Nick was after him.	He got across that field as if Old Nick was after him.	true	367.34	370.06	21.664087
4719_25766_000024_000002	But once across he had the cheek to stand on the fence and crow like a young rooster.	But once across he had the cheek to stand on the fence and crow like a young rooster.	false	370.19	374.11	22
4719_25766_000024_000003	I took a crack at him, but missed."	I took a crack at him, but missed."	true	374.15	376.125	21.980448
4719_25766_000025_000000	"Why didn't you pursue him?" demanded the officer, fiercely.	"Why didn't you pursue him?" demanded the officer, fiercely.	true	376.125	379.15	17
4719_25766_000026_000000	"What! in those woods?	"What! in those woods?	true	379.28	381.13	17.852446
4719_25766_000026_000001	Might as well look for a needle in a haymow.	Might as well look for a needle in a haymow.	false	381.2	383.76	19.807632
4719_25766_000026_000002	But are you hurt, Lieutenant?"	But are you hurt, Lieutenant?"	true	383.76	385.36	19.435587
4719_25766_000027_000000	"My leg is sprained," he groaned; "but the worst of it is, Jupiter is dead.	"My leg is sprained," he groaned; "but the worst of it is, Jupiter is dead.	true	385.94	389.985	29.398064
4719_25766_000027_000001	Curse that Rebel! how I wish I had him!	Curse that Rebel! how I wish I had him!	true	389.985	392.77	14.22161
4719_25766_000027_000002	I would make him pay dearly for that horse."	I would make him pay dearly for that horse."	true	392.84	395.08	21.052101
4719_25766_000028_000000	"Here is the Rebel's horse.	"Here is the Rebel's horse.	true	395.57	396.6	9.048722
4719_25766_000028_000001	I caught him!" exclaimed one of the men, leading up Calhoun's horse, which he had captured.	I caught him!" exclaimed one of the men, leading up Calhoun's horse, which he had captured.	true	396.6	400.87	20
4719_25766_000028_000002	"He looks like a mighty fine horse, only he seems a little lame from his fall."	"He looks like a mighty fine horse, only he seems a little lame from his fall."	false	401.06	404.77	19
4719_25766_000029_000000	"That is a fine horse," said Latham, looking him over, "but he has been rode mighty hard.	"That is a fine horse," said Latham, looking him over, "but he has been rode mighty hard.	true	404.99	409.6	17.296417
4719_25766_000029_000001	Wonder who that feller can be.	Wonder who that feller can be.	true	409.82	411.345	20.137842
4719_25766_000029_000002	I see no signs of any other Reb.	I see no signs of any other Reb.	true	411.345	413.16	8
4719_25766_000029_000003	He must have been alone.	He must have been alone.	false	413.16	414.6	17.132624
4719_25766_000029_000004	Say, he was a Jim-dandy whoever he was.	Say, he was a Jim dandy whoever he was.	true	414.6	416.88	12
4719_25766_000029_000005	I thought you had him sure, Lieutenant."	I thought you had him sure, Lieutenant."	true	416.88	418.635	22.786623
4719_25766_000030_000000	"So did I," answered the Lieutenant, with an oath.	"So did I," answered the Lieutenant, with an oath.	true	418.635	420.63	14
4719_25766_000030_000001	"When his horse threw him I had no idea he would try to get away, and ordered him to surrender. But quick as a flash he jerked a revolver from his belt, and fired."	"When his horse threw him I had no idea he would try to get away, and ordered him to surrender. But quick as a flash he jerked a revolver from his belt, and fired."	false	420.63	428.205	15
4719_25766_000031_000000	"Better be thankful he hit the horse instead of you," said the Sergeant.	"Better be thankful he hit the horse instead of you," said the Sergeant.	true	428.205	431.38	19.278946
4719_25766_000032_000000	For answer the Lieutenant limped to a stone, and sitting down, said: "Examine that roll behind the saddle of the horse.	For answer the Lieutenant limped to a stone, and sitting down, said: "Examine that roll behind the saddle of the horse.	true	431.57	437.44	17.771038
4719_25766_000032_000001	Perhaps we can find out who the fellow was."	Perhaps we can find out who the fellow was."	false	437.57	439.9	19.463238
4719_25766_000033_000000	Sergeant Latham took the roll, which was securely strapped behind Calhoun's saddle, and began to unroll it as carefully as if he suspected it might be loaded.	Sergeant Latham took the roll, which was securely strapped behind Calhoun's saddle, and began to unroll it as carefully as if he suspected it might be loaded.	true	440.06	448.9	23
