497_125118_000000_000000	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	'You caught George Sampson with it, Bella, bad as your means of dressing it are.'	false	0	3.42	6
497_125118_000001_000000	'You low little thing.	'You low little thing.	false	3.42	3.93	9
497_125118_000001_000001	Caught George Sampson with it!	Caught George Sampson with it!	false	3.93	4.59	5
497_125118_000001_000002	Don't talk about catching people, miss, till your own time for catching--as you call it--comes.'	Don't talk about catching people, miss, till your own time for catching-as you call it-comes.'	false	4.59	6.84	12
497_125118_000002_000000	'Perhaps it has come,' muttered Lavvy, with a toss of her head.	'Perhaps it has come,' muttered Lavvy, with a toss of her head.	false	6.84	8.34	12
497_125118_000003_000000	'What did you say?' asked Bella, very sharply.	'What did you say?' asked Bella, very sharply.	false	8.34	9.42	-20
497_125118_000003_000001	'What did you say, miss?'	'What did you say, miss?'	false	9.42	10.08	8
497_125118_000004_000000	Lavvy declining equally to repeat or to explain, Bella gradually lapsed over her hair-dressing into a soliloquy on the miseries of being poor, as exemplified in having nothing to put on, nothing to go out in, nothing to dress by, only a nasty box to dress at instead of a commodious dressing-table, and being obliged to take in suspicious lodgers.	Lavvy declining equally to repeat or to explain, Bella gradually lapsed over her hair dressing into a soliloquy on the miseries of being poor, as exemplified in having nothing to put on, nothing to go out in, nothing to dress by, only a nasty box to dress at instead of a commodious dressing table, and being obliged to take in suspicious lodgers.	false	10.08	19.53	8
497_125118_000004_000001	On the last grievance as her climax, she laid great stress--and might have laid greater, had she known that if Mr Julius Handford had a twin brother upon earth, Mr John Rokesmith was the man.	On the last grievance as her climax, she laid great stress-and might have laid greater, had she known that if Mr Julius Handford had a twin brother upon earth, Mr john Rokesmith was the man.	false	19.53	33.12	8
497_125118_000005_000000	Chapter 5	Chapter five	true	33.12	34.18	12
497_125118_000006_000000	BOFFIN'S BOWER	BOFFIN'S BOWER	true	34.7	35.92	17
497_125118_000007_000000	Over against a London house, a corner house not far from Cavendish Square, a man with a wooden leg had sat for some years, with his remaining foot in a basket in cold weather, picking up a living on this wise:--Every morning at eight o'clock, he stumped to the corner, carrying a chair, a clothes-horse, a pair of trestles, a board, a basket, and an umbrella, all strapped together.	Over against a London house, a corner house not far from Cavendish Square, a man with a wooden leg had sat for some years, with his remaining foot in a basket in cold weather, picking up a living on this wise:--Every morning at eight o'clock, he stumped to the corner, carrying a chair, a clothes horse, a pair of trestles, a board, a basket, and an umbrella, all strapped together.	true	37.73	62.59	12
497_125118_000007_000001	Separating these, the board and trestles became a counter, the basket supplied the few small lots of fruit and sweets that he offered for sale upon it and became a foot-warmer, the unfolded clothes-horse displayed a choice collection of halfpenny ballads and became a screen, and the stool planted within it became his post for the rest of the day.	Separating these, the board and trestles became a counter, the basket supplied the few small lots of fruit and sweets that he offered for sale upon it and became a foot warmer, the unfolded clothes horse displayed a choice collection of halfpenny ballads and became a screen, and the stool planted within it became his post for the rest of the day.	true	63.29	85.99	12
497_125118_000007_000002	All weathers saw the man at the post.	All weathers saw the man at the post.	true	87.35	89.74	15
497_125118_000007_000003	This is to be accepted in a double sense, for he contrived a back to his wooden stool, by placing it against the lamp-post.	This is to be accepted in a double sense, for he contrived a back to his wooden stool, by placing it against the lamp post.	true	90.26	98.29	12
497_125118_000007_000004	When the weather was wet, he put up his umbrella over his stock in trade, not over himself; when the weather was dry, he furled that faded article, tied it round with a piece of yarn, and laid it cross-wise under the trestles: where it looked like an unwholesomely-forced lettuce that had lost in colour and crispness what it had gained in size.	When the weather was wet, he put up his umbrella over his stock in trade, not over himself; when the weather was dry, he furled that faded article, tied it round with a piece of yarn, and laid it cross wise under the trestles: where it looked like an unwholesomely forced lettuce that had lost in colour and crispness what it had gained in size.	true	98.54	121.03	12
497_125118_000008_000000	He had established his right to the corner, by imperceptible prescription.	He had established his right to the corner, by imperceptible prescription.	true	123.2	127.48	14
497_125118_000008_000001	He had never varied his ground an inch, but had in the beginning diffidently taken the corner upon which the side of the house gave.	He had never varied his ground an inch, but had in the beginning diffidently taken the corner upon which the side of the house gave.	false	127.94	136.03	12
497_125118_000008_000002	A howling corner in the winter time, a dusty corner in the summer time, an undesirable corner at the best of times.	A howling corner in the winter time, a dusty corner in the summer time, an undesirable corner at the best of times.	true	136.52	144.34	12
497_125118_000008_000003	Shelterless fragments of straw and paper got up revolving storms there, when the main street was at peace; and the water-cart, as if it were drunk or short-sighted, came blundering and jolting round it, making it muddy when all else was clean.	Shelterless fragments of straw and paper got up revolving storms there, when the main street was at peace; and the water cart, as if it were drunk or short sighted, came blundering and jolting round it, making it muddy when all else was clean.	true	144.86	161.35	11
497_125118_000009_000000	On the front of his sale-board hung a little placard, like a kettle-holder, bearing the inscription in his own small text:	On the front of his sale board hung a little placard, like a kettle holder, bearing the inscription in his own small text:	true	162.32	169.42	10
497_125118_000010_000000	Errands gone On with fi Delity By Ladies and Gentlemen I remain Your humble Servt: Silas Wegg	Errands gone On with fi Delity By Ladies and Gentlemen I remain Your humble Servt: Silas Wegg	true	170.33	179.8	11
497_125118_000011_000000	He had not only settled it with himself in course of time, that he was errand-goer by appointment to the house at the corner (though he received such commissions not half a dozen times in a year, and then only as some servant's deputy), but also that he was one of the house's retainers and owed vassalage to it and was bound to leal and loyal interest in it.	He had not only settled it with himself in course of time, that he was errand goer by appointment to the house at the corner (though he received such commissions not half a dozen times in a year, and then only as some servant's deputy), but also that he was one of the house's retainers and owed vassalage to it and was bound to leal and loyal interest in it.	true	181.04	202.78	11
497_125118_000011_000001	For this reason, he always spoke of it as 'Our House,' and, though his knowledge of its affairs was mostly speculative and all wrong, claimed to be in its confidence.	For this reason, he always spoke of it as 'Our House,' and, though his knowledge of its affairs was mostly speculative and all wrong, claimed to be in its confidence.	true	203.21	213.4	11
497_125118_000011_000002	On similar grounds he never beheld an inmate at any one of its windows but he touched his hat.	On similar grounds he never beheld an inmate at any one of its windows but he touched his hat.	true	213.74	220.03	9
497_125118_000011_000003	Yet, he knew so little about the inmates that he gave them names of his own invention: as 'Miss Elizabeth', 'Master George', 'Aunt Jane', 'Uncle Parker '--having no authority whatever for any such designations, but particularly the last--to which, as a natural consequence, he stuck with great obstinacy.	Yet, he knew so little about the inmates that he gave them names of his own invention: as 'Miss Elizabeth', 'Master George', 'Aunt Jane', 'Uncle Parker '--having no authority whatever for any such designations, but particularly the last-to which, as a natural consequence, he stuck with great obstinacy.	true	220.91	244.18	14
497_125118_000012_000000	Over the house itself, he exercised the same imaginary power as over its inhabitants and their affairs.	Over the house itself, he exercised the same imaginary power as over its inhabitants and their affairs.	true	244.34	251.29	11
497_125118_000012_000001	He had never been in it, the length of a piece of fat black water-pipe which trailed itself over the area-door into a damp stone passage, and had rather the air of a leech on the house that had 'taken' wonderfully; but this was no impediment to his arranging it according to a plan of his own.	He had never been in it, the length of a piece of fat black water pipe which trailed itself over the area door into a damp stone passage, and had rather the air of a leech on the house that had 'taken' wonderfully; but this was no impediment to his arranging it according to a plan of his own.	true	252.23	271.15	11
497_125118_000012_000002	It was a great dingy house with a quantity of dim side window and blank back premises, and it cost his mind a world of trouble so to lay it out as to account for everything in its external appearance.	It was a great dingy house with a quantity of dim side window and blank back premises, and it cost his mind a world of trouble so to lay it out as to account for everything in its external appearance.	true	271.7	285.82	12
497_125118_000012_000003	But, this once done, was quite satisfactory, and he rested persuaded, that he knew his way about the house blindfold: from the barred garrets in the high roof, to the two iron extinguishers before the main door--which seemed to request all lively visitors to have the kindness to put themselves out, before entering.	But, this once done, was quite satisfactory, and he rested persuaded, that he knew his way about the house blindfold: from the barred garrets in the high roof, to the two iron extinguishers before the main door-which seemed to request all lively visitors to have the kindness to put themselves out, before entering.	true	286.82	307.57	11
497_125118_000013_000000	Assuredly, this stall of Silas Wegg's was the hardest little stall of all the sterile little stalls in London.	Assuredly, this stall of Silas Wegg's was the hardest little stall of all the sterile little stalls in London.	true	308.63	316.18	13
497_125118_000013_000001	It gave you the face-ache to look at his apples, the stomach-ache to look at his oranges, the tooth-ache to look at his nuts.	It gave you the face ache to look at his apples, the stomach ache to look at his oranges, the tooth ache to look at his nuts.	true	316.85	324.19	13
497_125118_000013_000002	Of the latter commodity he had always a grim little heap, on which lay a little wooden measure which had no discernible inside, and was considered to represent the penn'orth appointed by Magna Charta.	Of the latter commodity he had always a grim little heap, on which lay a little wooden measure which had no discernible inside, and was considered to represent the penn'orth appointed by Magna Charta.	false	325.07	336.64	9
497_125118_000013_000003	Whether from too much east wind or no--it was an easterly corner--the stall, the stock, and the keeper, were all as dry as the Desert.	Whether from too much east wind or no-it was an easterly corner-the stall, the stock, and the keeper, were all as dry as the Desert.	true	337.67	347.26	12
497_125118_000013_000004	Wegg was a knotty man, and a close-grained, with a face carved out of very hard material, that had just as much play of expression as a watchman's rattle.	Wegg was a knotty man, and a close grained, with a face carved out of very hard material, that had just as much play of expression as a watchman's rattle.	true	347.63	356.98	11
497_125118_000013_000005	When he laughed, certain jerks occurred in it, and the rattle sprung.	When he laughed, certain jerks occurred in it, and the rattle sprung.	true	357.95	362.14	15
497_125118_000013_000006	Sooth to say, he was so wooden a man that he seemed to have taken his wooden leg naturally, and rather suggested to the fanciful observer, that he might be expected--if his development received no untimely check--to be completely set up with a pair of wooden legs in about six months.	Sooth to say, he was so wooden a man that he seemed to have taken his wooden leg naturally, and rather suggested to the fanciful observer, that he might be expected-if his development received no untimely check-to be completely set up with a pair of wooden legs in about six months.	true	362.78	380.5	12
497_125118_000014_000000	Mr Wegg was an observant person, or, as he himself said, 'took a powerful sight of notice'.	Mr Wegg was an observant person, or, as he himself said, 'took a powerful sight of notice'.	true	381.86	388.72	16
497_125118_000014_000001	He saluted all his regular passers-by every day, as he sat on his stool backed up by the lamp-post; and on the adaptable character of these salutes he greatly plumed himself.	He saluted all his regular passers by every day, as he sat on his stool backed up by the lamp post; and on the adaptable character of these salutes he greatly plumed himself.	true	389.78	400.02	12
497_125118_000014_000002	Thus, to the rector, he addressed a bow, compounded of lay deference, and a slight touch of the shady preliminary meditation at church; to the doctor, a confidential bow, as to a gentleman whose acquaintance with his inside he begged respectfully to acknowledge; before the Quality he delighted to abase himself; and for Uncle Parker, who was in the army (at least, so he had settled it), he put his open hand to the side of his hat, in a military manner which that angry-eyed buttoned-up inflammatory-faced old gentleman appeared but imperfectly to appreciate.	Thus, to the rector, he addressed a bow, compounded of lay deference, and a slight touch of the shady preliminary meditation at church; to the doctor, a confidential bow, as to a gentleman whose acquaintance with his inside he begged respectfully to acknowledge; before the Quality he delighted to abase himself; and for Uncle Parker, who was in the army (at least, so he had settled it), he put his open hand to the side of his hat, in a military manner which that angry eyed buttoned up inflammatory faced old gentleman appeared but imperfectly to appreciate.	false	400.02	437.11	12
497_125118_000015_000000	The only article in which Silas dealt, that was not hard, was gingerbread.	The only article in which Silas dealt, that was not hard, was gingerbread.	true	438.14	443.32	15
