576_129623_000000_000000	"I will, thank you.	"I will, thank you.	false	0	0.3	3
576_129623_000000_000001	Good-by."	Good by."	false	0.3	0.45	-20
576_129623_000001_000000	How unlike Robert!	How unlike Robert!	false	0.45	0.69	9
576_129623_000001_000001	The merest acquaintance would have said something more emphatic than "I will, thank you; good-by," to such a request.	The merest acquaintance would have said something more emphatic than "I will, thank you; good by," to such a request.	false	0.69	2.22	29.171242
576_129623_000002_000000	He had evidently already taken leave of the people over at the house, for he descended the steps and went to join Beaudelet, who was out there with an oar across his shoulder waiting for Robert.	He had evidently already taken leave of the people over at the house, for he descended the steps and went to join Beaudelet, who was out there with an oar across his shoulder waiting for Robert.	false	2.22	5.64	15
576_129623_000002_000001	They walked away in the darkness.	They walked away in the darkness.	false	5.64	6.18	20
576_129623_000002_000002	She could only hear Beaudelet's voice; Robert had apparently not even spoken a word of greeting to his companion.	She could only hear Beaudelet's voice; Robert had apparently not even spoken a word of greeting to his companion.	false	6.18	6.6	16
576_129623_000003_000000	Edna bit her handkerchief convulsively, striving to hold back and to hide, even from herself as she would have hidden from another, the emotion which was troubling--tearing--her.	Edna bit her handkerchief convulsively, striving to hold back and to hide, even from herself as she would have hidden from another, the emotion which was troubling-tearing-her.	false	6.6	7.26	10
576_129623_000003_000001	Her eyes were brimming with tears.	Her eyes were brimming with tears.	false	7.26	7.395	7
576_129623_000004_000000	For the first time she recognized the symptoms of infatuation which she had felt incipiently as a child, as a girl in her earliest teens, and later as a young woman.	For the first time she recognized the symptoms of infatuation which she had felt incipiently as a child, as a girl in her earliest teens, and later as a young woman.	false	7.395	11.46	19
576_129623_000004_000001	The recognition did not lessen the reality, the poignancy of the revelation by any suggestion or promise of instability. The past was nothing to her; offered no lesson which she was willing to heed.	The recognition did not lessen the reality, the poignancy of the revelation by any suggestion or promise of instability. The past was nothing to her; offered no lesson which she was willing to heed.	false	11.46	15.6	25.383331
576_129623_000004_000002	The future was a mystery which she never attempted to penetrate. The present alone was significant; was hers, to torture her as it was doing then with the biting conviction that she had lost that which she had held, that she had been denied that which her impassioned, newly awakened being demanded.	The future was a mystery which she never attempted to penetrate. The present alone was significant; was hers, to torture her as it was doing then with the biting conviction that she had lost that which she had held, that she had been denied that which her impassioned, newly awakened being demanded.	false	15.6	19.83	24.162203
576_129623_000005_000000	XVI	sixteen	true	19.83	20.775	28
576_129623_000006_000000	"Do you miss your friend greatly?" asked Mademoiselle Reisz one morning as she came creeping up behind Edna, who had just left her cottage on her way to the beach.	"Do you miss your friend greatly?" asked Mademoiselle Reisz one morning as she came creeping up behind Edna, who had just left her cottage on her way to the beach.	false	20.775	28.65	20
576_129623_000006_000001	She spent much of her time in the water since she had acquired finally the art of swimming.	She spent much of her time in the water since she had acquired finally the art of swimming.	false	28.65	34.42	17
576_129623_000006_000002	As their stay at Grand Isle drew near its close, she felt that she could not give too much time to a diversion which afforded her the only real pleasurable moments that she knew.	As their stay at Grand Isle drew near its close, she felt that she could not give too much time to a diversion which afforded her the only real pleasurable moments that she knew.	false	35.21	46.3	19
576_129623_000006_000003	When Mademoiselle Reisz came and touched her upon the shoulder and spoke to her, the woman seemed to echo the thought which was ever in Edna's mind; or, better, the feeling which constantly possessed her.	When Mademoiselle Reisz came and touched her upon the shoulder and spoke to her, the woman seemed to echo the thought which was ever in Edna's mind; or, better, the feeling which constantly possessed her.	false	46.73	59.07	24
576_129623_000007_000000	Robert's going had some way taken the brightness, the color, the meaning out of everything.	Robert's going had some way taken the brightness, the color, the meaning out of everything.	false	59.07	66.28	21.428082
