576_129623_000005_000000	XVI	sixteen
576_129623_000007_000001	The conditions of her life were in no way changed, but her whole existence was dulled, like a faded garment which seems to be no longer worth wearing.	The conditions of her life were in no way changed, but her whole existence was dulled, like a faded garment which seems to be no longer worth wearing.
576_129623_000010_000000	The letter was on the bookshelf.	The letter was on the bookshelf.
576_129623_000010_000002	She examined every detail of the outside before opening it.	She examined every detail of the outside before opening it.
576_129623_000010_000005	Edna experienced a pang of jealousy because he had written to his mother rather than to her.	Edna experienced a pang of jealousy because he had written to his mother rather than to her.
576_129623_000011_000000	Every one seemed to take for granted that she missed him.	Every one seemed to take for granted that she missed him.
576_129623_000013_000002	Where had they met?	Where had they met?
576_129623_000013_000003	On Carondelet Street, in the morning.	On Carondelet Street, in the morning.
576_129623_000013_000005	What had they talked about? Chiefly about his prospects in Mexico, which Mr. Pontellier thought were promising.	What had they talked about? Chiefly about his prospects in Mexico, which mr Pontellier thought were promising.
576_129623_000013_000006	How did he look?	How did he look?
576_129623_000014_000001	She went down and led them out of the sun, scolding the quadroon for not being more attentive.	She went down and led them out of the sun, scolding the quadroon for not being more attentive.
576_129623_000015_000003	They had never taken the form of struggles.	They had never taken the form of struggles.
576_129623_000016_000000	"I would give up the unessential; I would give my money, I would give my life for my children; but I wouldn't give myself.	"I would give up the unessential; I would give my money, I would give my life for my children; but I wouldn't give myself.
576_129623_000016_000001	I can't make it more clear; it's only something which I am beginning to comprehend, which is revealing itself to me."	I can't make it more clear; it's only something which I am beginning to comprehend, which is revealing itself to me."
576_129623_000017_000001	I'm sure I couldn't do more than that."	I'm sure I couldn't do more than that."
576_129623_000018_000000	"Oh, yes you could!" laughed Edna.	"Oh, yes you could!" laughed Edna.
576_129623_000020_000000	"Oh, good morning, Mademoiselle; is it you?	"Oh, good morning, Mademoiselle; is it you?
576_129623_000023_000000	"She must feel very lonely without her son," said Edna, desiring to change the subject.	"She must feel very lonely without her son," said Edna, desiring to change the subject.
576_129623_000023_000001	"Her favorite son, too.	"Her favorite son, too.
576_129623_000023_000002	It must have been quite hard to let him go."	It must have been quite hard to let him go."
576_129623_000025_000000	"Her favorite son!	"Her favorite son!
576_129623_000025_000001	Oh, dear!	Oh, dear!
576_129623_000025_000007	Favorite son, indeed!	Favorite son, indeed!
576_129623_000025_000008	I miss the poor fellow myself, my dear.	I miss the poor fellow myself, my dear.
576_129623_000025_000012	That Victor! hanging would be too good for him.	That Victor! hanging would be too good for him.
576_129623_000027_000002	It's about time he was getting another."	It's about time he was getting another."
576_129623_000028_000000	"Was her name Mariequita?" asked Edna.	"Was her name Mariequita?" asked Edna.
576_129623_000030_000002	She had not intended to go into the water; but she donned her bathing suit, and left Mademoiselle alone, seated under the shade of the children's tent.	She had not intended to go into the water; but she donned her bathing suit, and left Mademoiselle alone, seated under the shade of the children's tent.
576_129623_000030_000003	The water was growing cooler as the season advanced.	The water was growing cooler as the season advanced.
576_129623_000031_000000	But Mademoiselle waited.	But Mademoiselle waited.
576_129623_000031_000002	She talked about music.	She talked about music.
576_129623_000031_000003	She hoped that Edna would go to see her in the city, and wrote her address with the stub of a pencil on a piece of card which she found in her pocket.	She hoped that Edna would go to see her in the city, and wrote her address with the stub of a pencil on a piece of card which she found in her pocket.
576_129623_000032_000000	"When do you leave?" asked Edna.	"When do you leave?" asked Edna.
576_129623_000033_000000	"Next Monday; and you?"	"Next Monday; and you?"
576_129623_000036_000000	XVII	seventeen
576_129623_000037_000001	It was a large, double cottage, with a broad front veranda, whose round, fluted columns supported the sloping roof.	It was a large, double cottage, with a broad front veranda, whose round, fluted columns supported the sloping roof.
576_129623_000037_000002	The house was painted a dazzling white; the outside shutters, or jalousies, were green.	The house was painted a dazzling white; the outside shutters, or jalousies, were green.
576_129623_000037_000003	In the yard, which was kept scrupulously neat, were flowers and plants of every description which flourishes in South Louisiana.	In the yard, which was kept scrupulously neat, were flowers and plants of every description which flourishes in South Louisiana.
576_129623_000037_000004	Within doors the appointments were perfect after the conventional type.	Within doors the appointments were perfect after the conventional type.
576_129623_000037_000005	The softest carpets and rugs covered the floors; rich and tasteful draperies hung at doors and windows.	The softest carpets and rugs covered the floors; rich and tasteful draperies hung at doors and windows.
576_129623_000037_000006	There were paintings, selected with judgment and discrimination, upon the walls.	There were paintings, selected with judgment and discrimination, upon the walls.
576_129623_000039_000002	A maid, in white fluted cap, offered the callers liqueur, coffee, or chocolate, as they might desire.	A maid, in white fluted cap, offered the callers liqueur, coffee, or chocolate, as they might desire.
576_129623_000043_000000	"Tired out, Edna?	"Tired out, Edna?
576_129623_000043_000001	Whom did you have?	Whom did you have?
576_129623_000043_000002	Many callers?" he asked.	Many callers?" he asked.
576_129623_000044_000001	"I found their cards when I got home; I was out."	"I found their cards when I got home; I was out."
576_129623_000045_000001	"Why, what could have taken you out on Tuesday?	"Why, what could have taken you out on Tuesday?
576_129623_000045_000002	What did you have to do?"	What did you have to do?"
576_129623_000046_000000	"Nothing.	"Nothing.
576_129623_000046_000001	I simply felt like going out, and I went out."	I simply felt like going out, and I went out."
576_129623_000048_000000	"No, I left no excuse.	"No, I left no excuse.
576_129623_000048_000001	I told Joe to say I was out, that was all."	I told Joe to say I was out, that was all."
576_129623_000050_000002	Was Mrs. Belthrop here?"	Was mrs Belthrop here?"
576_129623_000051_000001	I don't remember who was here."	I don't remember who was here."
576_129623_000052_000001	He handed it to Mrs. Pontellier.	He handed it to mrs Pontellier.
576_129623_000054_000000	Joe offered the tray to Mr. Pontellier, and removed the soup.	Joe offered the tray to mr Pontellier, and removed the soup.
576_129623_000056_000001	'Mrs. Belthrop.' I tell you what it is, Edna; you can't afford to snub Mrs. Belthrop.	'mrs Belthrop.' I tell you what it is, Edna; you can't afford to snub mrs Belthrop.
576_129623_000056_000003	His business is worth a good, round sum to me.	His business is worth a good, round sum to me.
576_129623_000056_000005	'Mrs.	'mrs
576_129623_000057_000001	"Why are you taking the thing so seriously and making such a fuss over it?"	"Why are you taking the thing so seriously and making such a fuss over it?"
576_129623_000058_000000	"I'm not making any fuss over it.	"I'm not making any fuss over it.
576_129623_000058_000001	But it's just such seeming trifles that we've got to take seriously; such things count."	But it's just such seeming trifles that we've got to take seriously; such things count."
576_129623_000059_000000	The fish was scorched.	The fish was scorched.
576_129623_000064_000000	"I'm going to get my dinner at the club.	"I'm going to get my dinner at the club.
576_129623_000064_000001	Good night." He went into the hall, took his hat and stick from the stand, and left the house.	Good night." He went into the hall, took his hat and stick from the stand, and left the house.
576_129623_000065_000001	They had often made her very unhappy.	They had often made her very unhappy.
576_129623_000066_000001	Her face was flushed and her eyes flamed with some inward fire that lighted them.	Her face was flushed and her eyes flamed with some inward fire that lighted them.
576_129623_000067_000005	She carried in her hands a thin handkerchief, which she tore into ribbons, rolled into a ball, and flung from her.	She carried in her hands a thin handkerchief, which she tore into ribbons, rolled into a ball, and flung from her.
576_129623_000067_000006	Once she stopped, and taking off her wedding ring, flung it upon the carpet.	Once she stopped, and taking off her wedding ring, flung it upon the carpet.
576_129623_000067_000007	When she saw it lying there, she stamped her heel upon it, striving to crush it.	When she saw it lying there, she stamped her heel upon it, striving to crush it.
576_129623_000067_000008	But her small boot heel did not make an indenture, not a mark upon the little glittering circlet.	But her small boot heel did not make an indenture, not a mark upon the little glittering circlet.
576_129623_000068_000001	She wanted to destroy something.	She wanted to destroy something.
576_129623_000068_000002	The crash and clatter were what she wanted to hear.	The crash and clatter were what she wanted to hear.
576_129623_000073_000000	XVIII	eighteen
576_129623_000076_000003	She was unusually pale and very quiet.	She was unusually pale and very quiet.
576_129623_000077_000002	The boys were dragging along the banquette a small "express wagon," which they had filled with blocks and sticks.	The boys were dragging along the banquette a small "express wagon," which they had filled with blocks and sticks.
576_129623_000078_000001	She felt no interest in anything about her.	She felt no interest in anything about her.
576_129623_000079_000000	She went back into the house.	She went back into the house.
576_129623_000082_000006	In the large and pleasant salon which extended across the width of the house, the Ratignolles entertained their friends once a fortnight with a soiree musicale, sometimes diversified by card-playing.	In the large and pleasant salon which extended across the width of the house, the Ratignolles entertained their friends once a fortnight with a soiree musicale, sometimes diversified by card playing.
576_129623_000082_000007	There was a friend who played upon the 'cello.	There was a friend who played upon the 'cello.
576_129623_000087_000003	I feel as if I wanted to be doing something.	I feel as if I wanted to be doing something.
576_129623_000087_000004	What do you think of them?	What do you think of them?
576_129623_000087_000005	Do you think it worth while to take it up again and study some more?	Do you think it worth while to take it up again and study some more?
576_129623_000087_000006	I might study for a while with Laidpore."	I might study for a while with Laidpore."
576_129623_000088_000000	She knew that Madame Ratignolle's opinion in such a matter would be next to valueless, that she herself had not alone decided, but determined; but she sought the words of praise and encouragement that would help her to put heart into her venture.	She knew that Madame Ratignolle's opinion in such a matter would be next to valueless, that she herself had not alone decided, but determined; but she sought the words of praise and encouragement that would help her to put heart into her venture.
