5723_49750_000001_000000	VII	seven
5723_49750_000002_000000	THE LAY OF THE TWO LOVERS	THE LAY OF THE TWO LOVERS
5723_49750_000003_000000	Once upon a time there lived in Normandy two lovers, who were passing fond, and were brought by Love to Death.	Once upon a time there lived in Normandy two lovers, who were passing fond, and were brought by Love to Death.
5723_49750_000003_000001	The story of their love was bruited so abroad, that the Bretons made a song in their own tongue, and named this song the Lay of the Two Lovers.	The story of their love was bruited so abroad, that the Bretons made a song in their own tongue, and named this song the Lay of the Two Lovers.
5723_49750_000004_000001	The town yet endures, with its towers and houses, to bear witness to the truth; moreover the country thereabouts is known to us all as the Valley of Pistres.	The town yet endures, with its towers and houses, to bear witness to the truth; moreover the country thereabouts is known to us all as the Valley of Pistres.
5723_49750_000005_000000	This King had one fair daughter, a damsel sweet of face and gracious of manner, very near to her father's heart, since he had lost his Queen.	This King had one fair daughter, a damsel sweet of face and gracious of manner, very near to her father's heart, since he had lost his Queen.
5723_49750_000005_000003	So then, that none should carry off his child, he caused it to be proclaimed, both far and near, by script and trumpet, that he alone should wed the maid, who would bear her in his arms, to the pinnacle of the great and perilous mountain, and that without rest or stay.	So then, that none should carry off his child, he caused it to be proclaimed, both far and near, by script and trumpet, that he alone should wed the maid, who would bear her in his arms, to the pinnacle of the great and perilous mountain, and that without rest or stay.
5723_49750_000005_000004	When this news was noised about the country, many came upon the quest.	When this news was noised about the country, many came upon the quest.
5723_49750_000005_000005	But strive as they would they might not enforce themselves more than they were able.	But strive as they would they might not enforce themselves more than they were able.
5723_49750_000005_000006	However mighty they were of body, at the last they failed upon the mountain, and fell with their burthen to the ground.	However mighty they were of body, at the last they failed upon the mountain, and fell with their burthen to the ground.
5723_49750_000005_000007	Thus, for a while, was none so bold as to seek the high Princess.	Thus, for a while, was none so bold as to seek the high Princess.
5723_49750_000006_000000	Now in this country lived a squire, son to a certain count of that realm, seemly of semblance and courteous, and right desirous to win that prize, which was so coveted of all.	Now in this country lived a squire, son to a certain count of that realm, seemly of semblance and courteous, and right desirous to win that prize, which was so coveted of all.
5723_49750_000006_000001	He was a welcome guest at the Court, and the King talked with him very willingly.	He was a welcome guest at the Court, and the King talked with him very willingly.
5723_49750_000006_000002	This squire had set his heart upon the daughter of the King, and many a time spoke in her ear, praying her to give him again the love he had bestowed upon her.	This squire had set his heart upon the daughter of the King, and many a time spoke in her ear, praying her to give him again the love he had bestowed upon her.
5723_49750_000006_000003	So seeing him brave and courteous, she esteemed him for the gifts which gained him the favour of the King, and they loved together in their youth.	So seeing him brave and courteous, she esteemed him for the gifts which gained him the favour of the King, and they loved together in their youth.
5723_49750_000006_000005	This thing was very grievous to them, but the damoiseau thought within himself that it were good to bear the pains he knew, rather than to seek out others that might prove sharper still.	This thing was very grievous to them, but the damoiseau thought within himself that it were good to bear the pains he knew, rather than to seek out others that might prove sharper still.
5723_49750_000006_000006	Yet in the end, altogether distraught by love, this prudent varlet sought his friend, and showed her his case, saying that he urgently required of her that she would flee with him, for no longer could he endure the weariness of his days.	Yet in the end, altogether distraught by love, this prudent varlet sought his friend, and showed her his case, saying that he urgently required of her that she would flee with him, for no longer could he endure the weariness of his days.
5723_49750_000007_000002	Hearken well.	Hearken well.
5723_49750_000007_000003	I have kindred in Salerno, of rich estate.	I have kindred in Salerno, of rich estate.
5723_49750_000007_000004	For more than thirty years my aunt has studied there the art of medicine, and knows the secret gift of every root and herb. If you hasten to her, bearing letters from me, and show her your adventure, certainly she will find counsel and cure.	For more than thirty years my aunt has studied there the art of medicine, and knows the secret gift of every root and herb. If you hasten to her, bearing letters from me, and show her your adventure, certainly she will find counsel and cure.
5723_49750_000007_000005	Doubt not that she will discover some cunning simple, that will strengthen your body, as well as comfort your heart.	Doubt not that she will discover some cunning simple, that will strengthen your body, as well as comfort your heart.
5723_49750_000007_000006	Then return to this realm with your potion, and ask me at my father's hand.	Then return to this realm with your potion, and ask me at my father's hand.
5723_49750_000007_000007	He will deem you but a stripling, and set forth the terms of his bargain, that to him alone shall I be given who knows how to climb the perilous mountain, without pause or rest, bearing his lady between his arms."	He will deem you but a stripling, and set forth the terms of his bargain, that to him alone shall I be given who knows how to climb the perilous mountain, without pause or rest, bearing his lady between his arms."
5723_49750_000008_000002	So with a little company of men, mounted on swift palfreys, and most privy to his mind, he arrived at Salerno.	So with a little company of men, mounted on swift palfreys, and most privy to his mind, he arrived at Salerno.
5723_49750_000008_000003	Now the squire made no long stay at his lodging, but as soon as he might, went to the damsel's kindred to open out his mind.	Now the squire made no long stay at his lodging, but as soon as he might, went to the damsel's kindred to open out his mind.
5723_49750_000008_000005	When the dame had read these letters with him, line by line, she charged him to lodge with her awhile, till she might do according to his wish.	When the dame had read these letters with him, line by line, she charged him to lodge with her awhile, till she might do according to his wish.
5723_49750_000008_000006	So by her sorceries, and for the love of her maid, she brewed such a potion that no man, however wearied and outworn, but by drinking this philtre, would not be refreshed in heart and blood and bones.	So by her sorceries, and for the love of her maid, she brewed such a potion that no man, however wearied and outworn, but by drinking this philtre, would not be refreshed in heart and blood and bones.
