7416_103126_000002_000000	CORNY'S CATAMOUNT	CORNY'S CATAMOUNT
7416_103126_000003_000001	The other lad appeared to be absorbed in shaping an arrow from the slender stick in his hand, but he watched his neighbor with a grin, saying a few words occasionally which seemed to add to his irritation, though they were in a sympathizing tone.	The other lad appeared to be absorbed in shaping an arrow from the slender stick in his hand, but he watched his neighbor with a grin, saying a few words occasionally which seemed to add to his irritation, though they were in a sympathizing tone.
7416_103126_000005_000000	"But I won't give up, and I never say 'Beat.' I'm not going to be laughed out of it, and I'll do what I said I would, if it takes all summer, Chris Warner."	"But I won't give up, and I never say 'Beat.' I'm not going to be laughed out of it, and I'll do what I said I would, if it takes all summer, Chris Warner."
7416_103126_000006_000000	"You'll have to be pretty spry, then, for there's only two more days to August," replied the whittler, shutting one eye to look along his arrow and see if it was true.	"You'll have to be pretty spry, then, for there's only two more days to August," replied the whittler, shutting one eye to look along his arrow and see if it was true.
7416_103126_000007_000000	"I intend to be spry, and if you won't go and blab, I'll tell you a plan I made last night."	"I intend to be spry, and if you won't go and blab, I'll tell you a plan I made last night."
7416_103126_000009_000000	"They all failed, so there was nothing to tell.	"They all failed, so there was nothing to tell.
7416_103126_000010_000000	"Don't seem to feel anxious a mite.	"Don't seem to feel anxious a mite.
7416_103126_000010_000001	But I'll stand ready to pick up the pieces, if you come to grief."	But I'll stand ready to pick up the pieces, if you come to grief."
7416_103126_000011_000000	"Now, Chris, it's mean of you to keep on making fun when I'm in dead earnest; and this may be the last thing you can do for me."	"Now, Chris, it's mean of you to keep on making fun when I'm in dead earnest; and this may be the last thing you can do for me."
7416_103126_000012_000000	"Wait till I get out my handkerchief; if you're going to be affectin' I may want it.	"Wait till I get out my handkerchief; if you're going to be affectin' I may want it.
7416_103126_000012_000001	Granite's cheap up here; just mention what you'd like on your tombstone and I'll see that it's done, if it takes my last cent."	Granite's cheap up here; just mention what you'd like on your tombstone and I'll see that it's done, if it takes my last cent."
7416_103126_000013_000000	The big boy in the blue overalls spoke with such a comical drawl that the slender city lad could not help laughing, and with a slap that nearly sent his neighbor off his perch, Corny said good-naturedly:	The big boy in the blue overalls spoke with such a comical drawl that the slender city lad could not help laughing, and with a slap that nearly sent his neighbor off his perch, Corny said good naturedly:
