1335_27593_000000_000000	ENTREES	ENTREES	true	11.775	12.75	20
1335_27593_000001_000000	[Illustration]	[Illustration]	false	12.75	14.28	10
1335_27593_000002_000000	Sweetbreads with Mushrooms	Sweetbreads with Mushrooms	true	14.28	16.24	28.067902
1335_27593_000003_000000	Lay half a dozen sweetbreads in cold water for twelve hours, changing the water several times.	Lay half a dozen sweetbreads in cold water for twelve hours, changing the water several times.	true	17.54	24.55	22.295547
1335_27593_000003_000001	Then boil them five minutes, drop into cold water, remove the skin and lard with fat bacon.	Then boil them five minutes, drop into cold water, remove the skin and lard with fat bacon.	true	25.22	33.19	24.031668
1335_27593_000003_000002	Put them in a saucepan with a pint of stock, two small onions and one carrot chopped, a teaspoonful of minced parsley, salt, pepper, cayenne, and a little mace.	Put them in a saucepan with a pint of stock, two small onions and one carrot chopped, a teaspoonful of minced parsley, salt, pepper, cayenne, and a little mace.	true	34.28	47.77	24.031889
1335_27593_000003_000003	Stew until tender.	Stew until tender.	true	48.44	50.14	25.839106
1335_27593_000004_000000	Serve with a mushroom sauce, made as follows: Take a small bottle of mushrooms or one dozen fresh mushrooms sliced and boil them five minutes in water and lime juice.	Serve with a mushroom sauce, made as follows: Take a small bottle of mushrooms or one dozen fresh mushrooms sliced and boil them five minutes in water and lime juice.	true	51.38	65.05	22.007648
1335_27593_000004_000001	Drain and place in a stew pan with two ounces of butter, one ounce of flour and a pint of well seasoned stock or gravy.	Drain and place in a stew pan with two ounces of butter, one ounce of flour and a pint of well seasoned stock or gravy.	true	65.93	74.29	23.641115
1335_27593_000004_000002	Cook until the sauce is reduced one-half.	Cook until the sauce is reduced one half.	true	75.77	78.94	24.187273
1335_27593_000004_000003	Pour over the hot sweetbreads.	Pour over the hot sweetbreads.	true	79.46	81.79	22.169508
1335_27593_000005_000000	Terrapin	Terrapin	true	83.12	84.13	27.527231
1335_27593_000006_000000	Boil the terrapin for one hour, and clean carefully.	Boil the terrapin for one hour, and clean carefully.	true	85.76	89.53	24.096325
1335_27593_000006_000001	Rub into a paste the yolks of six hard-boiled eggs, half the white of one egg chopped, one tablespoonful of butter, one teaspoonful of flour, three whole cloves, salt, pepper, cayenne and mace.	Rub into a paste the yolks of six hard boiled eggs, half the white of one egg chopped, one tablespoonful of butter, one teaspoonful of flour, three whole cloves, salt, pepper, cayenne and mace.	true	90.14	108.49	25.14999
1335_27593_000006_000002	Place the terrapin into a stewpan with a glass of sherry or madeira and the prepared paste.	Place the terrapin into a stewpan with a glass of sherry or madeira and the prepared paste.	false	109.58	116.17	26.692001
1335_27593_000006_000003	Cook slowly for twenty minutes.	Cook slowly for twenty minutes.	true	116.84	119.26	26.900654
1335_27593_000006_000004	Add three glasses of sherry and madeira and allow it to boil once, when it is ready to serve.	Add three glasses of sherry and madeira and allow it to boil once, when it is ready to serve.	true	120.08	127.45	25.708204
1335_27593_000007_000000	Frogs a la Poulette	Frogs a la Poulette	true	127.85	129.64	30.990473
1335_27593_000008_000000	Joint the hind legs and backs of twelve frogs; put in a closely covered saucepan with some truffles, a small can of mushrooms sliced, a glass of white wine, salt, white pepper, cayenne, mace and four ounces of butter.	Joint the hind legs and backs of twelve frogs; put in a closely covered saucepan with some truffles, a small can of mushrooms sliced, a glass of white wine, salt, white pepper, cayenne, mace and four ounces of butter.	true	130.94	150.55	26.168999
1335_27593_000008_000001	Stew gently fifteen minutes, stirring once or twice. If then tender, add one teaspoonful cornstarch rubbed into one ounce of butter.	Stew gently fifteen minutes, stirring once or twice. If then tender, add one teaspoonful cornstarch rubbed into one ounce of butter.	true	151.67	162.97	24.937311
1335_27593_000008_000002	Let it cook two minutes, take from the fire and stir in the yolks of six eggs beaten well with one-half cup of cream.	Let it cook two minutes, take from the fire and stir in the yolks of six eggs beaten well with one half cup of cream.	true	163.82	173.29	26.39882
1335_27593_000008_000003	Place this mixture where it will keep hot without cooking.	Place this mixture where it will keep hot without cooking.	true	174.23	178.06	28.821852
1335_27593_000008_000004	Cut the crust from a loaf of bread, scoop out the center, brush with butter and brown in the oven.	Cut the crust from a loaf of bread, scoop out the center, brush with butter and brown in the oven.	true	179.12	186.88	26.035769
1335_27593_000008_000005	Pour the frogs legs and sauce into the bread cup, garnish with mushrooms and truffles.	Pour the frogs legs and sauce into the bread cup, garnish with mushrooms and truffles.	true	188.21	194.74	22.262571
1335_27593_000009_000000	Calves' Head en Tortue	Calves' Head en Tortue	false	196.1	198.22	22
1335_27593_000010_000000	Simmer a calves' head for two hours.	Simmer a calves' head for two hours.	true	199.67	202.18	25.78135
1335_27593_000010_000001	Tie the brains in a cloth, put them in the saucepan with the head and cook two hours longer.	Tie the brains in a cloth, put them in the saucepan with the head and cook two hours longer.	true	202.76	208.99	24.241802
