1335_27593_000000_000000	ENTREES	ENTREES
1335_27593_000002_000000	Sweetbreads with Mushrooms	Sweetbreads with Mushrooms
1335_27593_000003_000000	Lay half a dozen sweetbreads in cold water for twelve hours, changing the water several times.	Lay half a dozen sweetbreads in cold water for twelve hours, changing the water several times.
1335_27593_000003_000001	Then boil them five minutes, drop into cold water, remove the skin and lard with fat bacon.	Then boil them five minutes, drop into cold water, remove the skin and lard with fat bacon.
1335_27593_000003_000002	Put them in a saucepan with a pint of stock, two small onions and one carrot chopped, a teaspoonful of minced parsley, salt, pepper, cayenne, and a little mace.	Put them in a saucepan with a pint of stock, two small onions and one carrot chopped, a teaspoonful of minced parsley, salt, pepper, cayenne, and a little mace.
1335_27593_000003_000003	Stew until tender.	Stew until tender.
1335_27593_000004_000000	Serve with a mushroom sauce, made as follows: Take a small bottle of mushrooms or one dozen fresh mushrooms sliced and boil them five minutes in water and lime juice.	Serve with a mushroom sauce, made as follows: Take a small bottle of mushrooms or one dozen fresh mushrooms sliced and boil them five minutes in water and lime juice.
1335_27593_000004_000001	Drain and place in a stew pan with two ounces of butter, one ounce of flour and a pint of well seasoned stock or gravy.	Drain and place in a stew pan with two ounces of butter, one ounce of flour and a pint of well seasoned stock or gravy.
1335_27593_000004_000002	Cook until the sauce is reduced one-half.	Cook until the sauce is reduced one half.
1335_27593_000004_000003	Pour over the hot sweetbreads.	Pour over the hot sweetbreads.
1335_27593_000005_000000	Terrapin	Terrapin
1335_27593_000006_000000	Boil the terrapin for one hour, and clean carefully.	Boil the terrapin for one hour, and clean carefully.
1335_27593_000006_000001	Rub into a paste the yolks of six hard-boiled eggs, half the white of one egg chopped, one tablespoonful of butter, one teaspoonful of flour, three whole cloves, salt, pepper, cayenne and mace.	Rub into a paste the yolks of six hard boiled eggs, half the white of one egg chopped, one tablespoonful of butter, one teaspoonful of flour, three whole cloves, salt, pepper, cayenne and mace.
1335_27593_000006_000003	Cook slowly for twenty minutes.	Cook slowly for twenty minutes.
1335_27593_000006_000004	Add three glasses of sherry and madeira and allow it to boil once, when it is ready to serve.	Add three glasses of sherry and madeira and allow it to boil once, when it is ready to serve.
1335_27593_000007_000000	Frogs a la Poulette	Frogs a la Poulette
1335_27593_000008_000000	Joint the hind legs and backs of twelve frogs; put in a closely covered saucepan with some truffles, a small can of mushrooms sliced, a glass of white wine, salt, white pepper, cayenne, mace and four ounces of butter.	Joint the hind legs and backs of twelve frogs; put in a closely covered saucepan with some truffles, a small can of mushrooms sliced, a glass of white wine, salt, white pepper, cayenne, mace and four ounces of butter.
1335_27593_000008_000001	Stew gently fifteen minutes, stirring once or twice. If then tender, add one teaspoonful cornstarch rubbed into one ounce of butter.	Stew gently fifteen minutes, stirring once or twice. If then tender, add one teaspoonful cornstarch rubbed into one ounce of butter.
1335_27593_000008_000002	Let it cook two minutes, take from the fire and stir in the yolks of six eggs beaten well with one-half cup of cream.	Let it cook two minutes, take from the fire and stir in the yolks of six eggs beaten well with one half cup of cream.
1335_27593_000008_000003	Place this mixture where it will keep hot without cooking.	Place this mixture where it will keep hot without cooking.
1335_27593_000008_000004	Cut the crust from a loaf of bread, scoop out the center, brush with butter and brown in the oven.	Cut the crust from a loaf of bread, scoop out the center, brush with butter and brown in the oven.
1335_27593_000008_000005	Pour the frogs legs and sauce into the bread cup, garnish with mushrooms and truffles.	Pour the frogs legs and sauce into the bread cup, garnish with mushrooms and truffles.
1335_27593_000010_000000	Simmer a calves' head for two hours.	Simmer a calves' head for two hours.
1335_27593_000010_000001	Tie the brains in a cloth, put them in the saucepan with the head and cook two hours longer.	Tie the brains in a cloth, put them in the saucepan with the head and cook two hours longer.
1335_27593_000010_000002	Then extract the bones and cut the meat in pieces, return it to the saucepan without the brains, adding two ounces of butter, two dozen stoned olives, one dozen cloves, salt, pepper, cayenne, and a cup of white wine.	Then extract the bones and cut the meat in pieces, return it to the saucepan without the brains, adding two ounces of butter, two dozen stoned olives, one dozen cloves, salt, pepper, cayenne, and a cup of white wine.
1335_27593_000010_000003	Cook for one hour, then add the brains cut in bits, the shaved peel and piece of one lemon and three hard-boiled eggs sliced. Cook thirty minutes.	Cook for one hour, then add the brains cut in bits, the shaved peel and piece of one lemon and three hard boiled eggs sliced. Cook thirty minutes.
