688_46588_000001_000000	MY BLUE GUM GROVE.	MY BLUE GUM GROVE.
688_46588_000003_000000	The grove served a more utilitarian purpose, however.	The grove served a more utilitarian purpose, however.
688_46588_000003_000001	The eucalyptus is an Australian tree, with narrow straight-hanging leaves, and its rapid growth makes it useful for firewood.	The eucalyptus is an Australian tree, with narrow straight hanging leaves, and its rapid growth makes it useful for firewood.
688_46588_000003_000004	In the photograph of a eucalyptus avenue near Los Angeles, the row of trees on the right have been cut near the ground and the branching trunks are the consequence.	In the photograph of a eucalyptus avenue near Los Angeles, the row of trees on the right have been cut near the ground and the branching trunks are the consequence.
688_46588_000005_000000	My eucalyptus or blue gum grove was down near the big sycamore, and opposite the bare knoll where Romulus and the burrowing owls had their nightly battles.	My eucalyptus or blue gum grove was down near the big sycamore, and opposite the bare knoll where Romulus and the burrowing owls had their nightly battles.
688_46588_000005_000001	On one side of it was a rustling cornfield always pleasant to look at.	On one side of it was a rustling cornfield always pleasant to look at.
688_46588_000005_000002	After the bare yellow stubble and all the reds and browns of a California summer landscape, its rich dark green color and its stanch, strong stalks made it seem a very plain honest sort of field, and its greenness was most grateful to eyes unused to the bright colors and strong lights of California.	After the bare yellow stubble and all the reds and browns of a California summer landscape, its rich dark green color and its stanch, strong stalks made it seem a very plain honest sort of field, and its greenness was most grateful to eyes unused to the bright colors and strong lights of California.
688_46588_000006_000000	Opposite the little grove, in a small house perched on a hill, an old sea-captain lived alone.	Opposite the little grove, in a small house perched on a hill, an old sea captain lived alone.
688_46588_000006_000002	When I stopped to ask if he had seen anything noteworthy happen at the grove, he complained that it shut off his view and kept away the breeze from the ocean!	When I stopped to ask if he had seen anything noteworthy happen at the grove, he complained that it shut off his view and kept away the breeze from the ocean!
688_46588_000006_000003	I was too much taken by surprise to apologize for my trees, but felt reproached; unwittingly I had destroyed the old captain's choicest pleasure.	I was too much taken by surprise to apologize for my trees, but felt reproached; unwittingly I had destroyed the old captain's choicest pleasure.
688_46588_000007_000000	It was always a relief to leave the hot beating sun and the glare of the yellow fields and enter the cool shade of the quiet grove.	It was always a relief to leave the hot beating sun and the glare of the yellow fields and enter the cool shade of the quiet grove.
688_46588_000007_000001	I could let down the fence and put it up behind me; thus having my small forest all to myself; and used to enjoy riding up and down the fragrant blue avenues.	I could let down the fence and put it up behind me; thus having my small forest all to myself; and used to enjoy riding up and down the fragrant blue avenues.
688_46588_000007_000002	The eucalyptus-trees, although thirty or forty feet high, were lithe and slender; some of them could be spanned by the hands.	The eucalyptus trees, although thirty or forty feet high, were lithe and slender; some of them could be spanned by the hands.
688_46588_000007_000003	The rows were planted ten feet apart, but the long branches interlaced, so one had to be on the alert, in riding down the lines, to bend low on the saddle or push aside the branches that obstructed the way.	The rows were planted ten feet apart, but the long branches interlaced, so one had to be on the alert, in riding down the lines, to bend low on the saddle or push aside the branches that obstructed the way.
688_46588_000007_000004	The limbs were so slender and flexible that a touch was enough to bend back a green gate fifteen to twenty feet long, and Billy often pushed a branch aside with his nose.	The limbs were so slender and flexible that a touch was enough to bend back a green gate fifteen to twenty feet long, and Billy often pushed a branch aside with his nose.
688_46588_000007_000005	In places, fallen trees barred our path, but Billy used to step carefully over them.	In places, fallen trees barred our path, but Billy used to step carefully over them.
688_46588_000008_000000	The eucalyptus-trees change very curiously as they grow old.	The eucalyptus trees change very curiously as they grow old.
688_46588_000008_000001	When young they are covered with branches low to the ground, and their aromatic tender leaves are light bluish green; afterwards they lose their lower branches, while their leaves become stiff and sickle-shaped, dull green and almost odorless.	When young they are covered with branches low to the ground, and their aromatic tender leaves are light bluish green; afterwards they lose their lower branches, while their leaves become stiff and sickle shaped, dull green and almost odorless.
688_46588_000008_000002	The same changes are seen in the bark: first the trunks are smooth and green; then they are hung with shaggy shreds of bark; this in turn drops off so that the old trees are smooth again. Some of the young shoots have almost white stems, and their leaves have a pinkish tinge.	The same changes are seen in the bark: first the trunks are smooth and green; then they are hung with shaggy shreds of bark; this in turn drops off so that the old trees are smooth again. Some of the young shoots have almost white stems, and their leaves have a pinkish tinge.
688_46588_000008_000003	Indeed, a young blue gum is as pretty a sight as one often sees; it is a tree of exquisite delicacy of coloring.	Indeed, a young blue gum is as pretty a sight as one often sees; it is a tree of exquisite delicacy of coloring.
688_46588_000010_000000	Mountain Billy and I both liked to wander among the blue gums.	Mountain Billy and I both liked to wander among the blue gums.
688_46588_000010_000001	Billy liked it, perhaps, for association's sake, for we had ridden through the eucalyptus at his home in northern California.	Billy liked it, perhaps, for association's sake, for we had ridden through the eucalyptus at his home in northern California.
688_46588_000010_000002	I too had pleasant memories of the northern gums, but my first interest was in finding out who lived in my little woods.	I too had pleasant memories of the northern gums, but my first interest was in finding out who lived in my little woods.
688_46588_000010_000003	A dog had once been seen driving a coyote wolf out of it, but that was merely in passing.	A dog had once been seen driving a coyote wolf out of it, but that was merely in passing.
688_46588_000010_000004	I did not expect to meet wolves there.	I did not expect to meet wolves there.
688_46588_000010_000006	Though in the grove a great deal, I never ran into but one cobweb, and was conscious of the pleasant freedom from falling caterpillars.	Though in the grove a great deal, I never ran into but one cobweb, and was conscious of the pleasant freedom from falling caterpillars.
688_46588_000010_000007	Moreover, I never saw a lizard in the blue gums, though dozens of them were to be seen about the oaks and in the brush.	Moreover, I never saw a lizard in the blue gums, though dozens of them were to be seen about the oaks and in the brush.
688_46588_000011_000000	It was a surprise to find so many feathered folks living in the eucalyptus, and I took a personal interest in each one of the inhabitants.	It was a surprise to find so many feathered folks living in the eucalyptus, and I took a personal interest in each one of the inhabitants.
688_46588_000011_000001	The first time we started to go up and down the avenues we scared up a pair of turtle doves, beautiful, delicately tinted gentle creatures, fit tenants of the lovely grove.	The first time we started to go up and down the avenues we scared up a pair of turtle doves, beautiful, delicately tinted gentle creatures, fit tenants of the lovely grove.
688_46588_000011_000002	They did not know my friendly interest in them, and flew to the ground trailing and trying to decoy me away in such a marked manner that when we passed a young dove a few yards farther on, it was easy to put two and two together.	They did not know my friendly interest in them, and flew to the ground trailing and trying to decoy me away in such a marked manner that when we passed a young dove a few yards farther on, it was easy to put two and two together.
688_46588_000012_000001	There was one nest with a roof of shaggy bark, and I wondered if the birds thought it would be pleasant to live under a roof, or whether the bark had fallen down on them after they built.	There was one nest with a roof of shaggy bark, and I wondered if the birds thought it would be pleasant to live under a roof, or whether the bark had fallen down on them after they built.
688_46588_000012_000002	I could get no trace of the owners of the nest, and it troubled me, not liking to have any little homes in my wood that I did not know all about.	I could get no trace of the owners of the nest, and it troubled me, not liking to have any little homes in my wood that I did not know all about.
688_46588_000012_000003	As we went down one aisle, a big bird went blundering out ahead of us, probably an owl, for afterwards we stumbled on a skeleton and feathers of one of the family.	As we went down one aisle, a big bird went blundering out ahead of us, probably an owl, for afterwards we stumbled on a skeleton and feathers of one of the family.
688_46588_000013_000000	In one of the trees we came to an enormous nest made of the unusual materials that are sometimes chosen by that strange bird, the road-runner.	In one of the trees we came to an enormous nest made of the unusual materials that are sometimes chosen by that strange bird, the road runner.
688_46588_000013_000002	To make sure about the nest, I spoke to my neighbor ranchman, and he told me that when he had been milking during the spring he had often seen the birds come out of the blue gums, and had also seen them perching there on the trees.	To make sure about the nest, I spoke to my neighbor ranchman, and he told me that when he had been milking during the spring he had often seen the birds come out of the blue gums, and had also seen them perching there on the trees.
688_46588_000013_000003	How exasperating!	How exasperating!
688_46588_000013_000004	If I had only come earlier!	If I had only come earlier!
688_46588_000013_000005	Now they had gone, and my chance of a nest study was lost.	Now they had gone, and my chance of a nest study was lost.
688_46588_000014_000000	But my doll was not stuffed with sawdust, for all of that.	But my doll was not stuffed with sawdust, for all of that.
688_46588_000014_000001	There was still much to enjoy, for a mourning dove flew from her nest of twigs almost over Billy's head, and it made me quite happy to know that the gentle bird was brooding her eggs in my woods.	There was still much to enjoy, for a mourning dove flew from her nest of twigs almost over Billy's head, and it made me quite happy to know that the gentle bird was brooding her eggs in my woods.
688_46588_000014_000002	Then it was delightful to see a lazuli bunting on her nest down another aisle.	Then it was delightful to see a lazuli bunting on her nest down another aisle.
688_46588_000014_000003	It seemed odd, for there was her little cousin nesting out in the weeds in the bright sun, while she was raising her brood in the shady forest.	It seemed odd, for there was her little cousin nesting out in the weeds in the bright sun, while she was raising her brood in the shady forest.
688_46588_000014_000004	The two nests were as unlike as the sites.	The two nests were as unlike as the sites.
688_46588_000014_000005	The bird outside had used dull green weeds, while this one used beautiful shining oak stems.	The bird outside had used dull green weeds, while this one used beautiful shining oak stems.
688_46588_000014_000006	I thought the pretty bird would surely be safe here, but one day when I called, expecting to see a growing family, I was shocked to find a pathetic little skeleton in the nest.	I thought the pretty bird would surely be safe here, but one day when I called, expecting to see a growing family, I was shocked to find a pathetic little skeleton in the nest.
688_46588_000015_000000	One afternoon in riding down the rows, I came face to face with two mites of hummingbirds seated on a branch.	One afternoon in riding down the rows, I came face to face with two mites of hummingbirds seated on a branch.
688_46588_000015_000001	Their grayish green suits toned in with the color of the blue gums.	Their grayish green suits toned in with the color of the blue gums.
688_46588_000015_000002	It was a surprise when one of them turned to the other and fed it--the mother hummer was small enough to be taken for a nestling!	It was a surprise when one of them turned to the other and fed it-the mother hummer was small enough to be taken for a nestling!
688_46588_000015_000003	She sat beside her son and fed him in the conventional way, by plunging her bill down his open mouth.	She sat beside her son and fed him in the conventional way, by plunging her bill down his open mouth.
688_46588_000015_000004	When she had flown off, he stretched his wings, whirred them as if for practice, and then moved his bill as if still tasting the dainty he had had for supper.	When she had flown off, he stretched his wings, whirred them as if for practice, and then moved his bill as if still tasting the dainty he had had for supper.
688_46588_000015_000005	He sat very unconcernedly on a low branch right out in the middle of the road, but Billy did not run over him.	He sat very unconcernedly on a low branch right out in the middle of the road, but Billy did not run over him.
688_46588_000016_000001	One builder was the one the photographer was fortunate enough to catch brooding; her nest, the one so charmingly placed on a light blue branch between two straight spreading leaves, like the knot between two bows of stiff ribbon.	One builder was the one the photographer was fortunate enough to catch brooding; her nest, the one so charmingly placed on a light blue branch between two straight spreading leaves, like the knot between two bows of stiff ribbon.
688_46588_000017_000000	The second nest was on a drooping branch, and, to make it stand level, was deepened on the down side of the limb, making it the highest hummingbird's nest I had ever seen.	The second nest was on a drooping branch, and, to make it stand level, was deepened on the down side of the limb, making it the highest hummingbird's nest I had ever seen.
688_46588_000017_000002	How one little home does make a place habitable!	How one little home does make a place habitable!
688_46588_000017_000003	From a bare silent woods it becomes a dwelling-place. Everything seemed to centre around this little nest, then the only one in the grove; the tiny pinch of down became the most important thing in the woods.	From a bare silent woods it becomes a dwelling place. Everything seemed to centre around this little nest, then the only one in the grove; the tiny pinch of down became the most important thing in the woods.
688_46588_000017_000004	It was the castle which the trees surrounded.	It was the castle which the trees surrounded.
688_46588_000018_000001	The hummer did not return my interest.	The hummer did not return my interest.
688_46588_000018_000003	I would dismount and sit on the ground, leaning against a blue gum, while Billy stood by, in a bower of green leaves, with ears pricked forward thoughtfully, and a dreamy look of satisfaction in his eyes. Hummingbirds are such dainty things.	I would dismount and sit on the ground, leaning against a blue gum, while Billy stood by, in a bower of green leaves, with ears pricked forward thoughtfully, and a dreamy look of satisfaction in his eyes. Hummingbirds are such dainty things.
688_46588_000018_000004	Once when this one alighted on the rim of her nest she whirred herself right down inside.	Once when this one alighted on the rim of her nest she whirred herself right down inside.
688_46588_000018_000005	Soon she began to act so strangely for a brooding bird that, when she flew, I went to feel in the nest.	Soon she began to act so strangely for a brooding bird that, when she flew, I went to feel in the nest.
688_46588_000018_000006	The tips of my fingers touched what felt like round balls, but, not satisfied, I pulled down the bough and found one round ball and one mite of a gray back with microscopic yellow hairs on each side of the spine.	The tips of my fingers touched what felt like round balls, but, not satisfied, I pulled down the bough and found one round ball and one mite of a gray back with microscopic yellow hairs on each side of the spine.
688_46588_000018_000007	The whole tiny body seemed to throb with its heart beats.	The whole tiny body seemed to throb with its heart beats.
688_46588_000019_000000	Often, while watching the nest, my thoughts wandered away to the grove itself.	Often, while watching the nest, my thoughts wandered away to the grove itself.
688_46588_000019_000001	The brown earth between the rows was barred by alternate lines of sunlight and shadow, and the vista of each avenue ended in blue sky. Sometimes cool ocean breezes would penetrate the forest.	The brown earth between the rows was barred by alternate lines of sunlight and shadow, and the vista of each avenue ended in blue sky. Sometimes cool ocean breezes would penetrate the forest.
688_46588_000019_000003	Mourning doves cooed, and the sweet notes of yellow-birds filled the sunny grove with suggestions of happiness.	Mourning doves cooed, and the sweet notes of yellow birds filled the sunny grove with suggestions of happiness.
688_46588_000019_000004	A yellow butterfly wandered down the blue aisles.	A yellow butterfly wandered down the blue aisles.
688_46588_000019_000005	Such a secure retreat!	Such a secure retreat!
688_46588_000019_000006	I returned to it again and again, coming in out of the hot yellow world and closing behind me the doors of my 'rest-house,' for the little wood had come to seem like a cool wayside chapel, a place of peace.	I returned to it again and again, coming in out of the hot yellow world and closing behind me the doors of my 'rest house,' for the little wood had come to seem like a cool wayside chapel, a place of peace.
