3923_174992_000001_000000	CHAPTER LXXV.	CHAPTER seventy five.
3923_174992_000003_000000	In these fine early autumn days spent at Matching, the great Trumpeton Wood question was at last settled.	In these fine early autumn days spent at Matching, the great Trumpeton Wood question was at last settled.
3923_174992_000003_000001	During the summer considerable acerbity had been added to the matter by certain articles which had appeared in certain sporting papers, in which the new Duke of Omnium was accused of neglecting his duty to the county in which a portion of his property lay.	During the summer considerable acerbity had been added to the matter by certain articles which had appeared in certain sporting papers, in which the new Duke of Omnium was accused of neglecting his duty to the county in which a portion of his property lay.
3923_174992_000003_000002	The question was argued at considerable length.	The question was argued at considerable length.
3923_174992_000003_000003	Is a landed proprietor bound, or is he not, to keep foxes for the amusement of his neighbours?	Is a landed proprietor bound, or is he not, to keep foxes for the amusement of his neighbours?
3923_174992_000003_000004	To ordinary thinkers, to unprejudiced outsiders,--to Americans, let us say, or Frenchmen,--there does not seem to be room even for an argument.	To ordinary thinkers, to unprejudiced outsiders,--to Americans, let us say, or Frenchmen,--there does not seem to be room even for an argument.
3923_174992_000003_000005	By what law of God or man can a man be bound to maintain a parcel of injurious vermin on his property, in the pursuit of which he finds no sport himself, and which are highly detrimental to another sport in which he takes, perhaps, the keenest interest?	By what law of God or man can a man be bound to maintain a parcel of injurious vermin on his property, in the pursuit of which he finds no sport himself, and which are highly detrimental to another sport in which he takes, perhaps, the keenest interest?
3923_174992_000003_000006	Trumpeton Wood was the Duke's own,--to do just as he pleased with it.	Trumpeton Wood was the Duke's own,--to do just as he pleased with it.
3923_174992_000003_000007	Why should foxes be demanded from him then any more than a bear to be baited, or a badger to be drawn, in, let us say, his London dining-room?	Why should foxes be demanded from him then any more than a bear to be baited, or a badger to be drawn, in, let us say, his London dining room?
3923_174992_000003_000008	But a good deal had been said which, though not perhaps capable of convincing the unprejudiced American or Frenchman, had been regarded as cogent arguments to country-bred Englishmen.	But a good deal had been said which, though not perhaps capable of convincing the unprejudiced American or Frenchman, had been regarded as cogent arguments to country bred Englishmen.
3923_174992_000003_000009	The Brake Hunt had been established for a great many years, and was the central attraction of a district well known for its hunting propensities.	The Brake Hunt had been established for a great many years, and was the central attraction of a district well known for its hunting propensities.
3923_174992_000003_000010	The preservation of foxes might be an open question in such counties as Norfolk and Suffolk, but could not be so in the Brake country.	The preservation of foxes might be an open question in such counties as Norfolk and Suffolk, but could not be so in the Brake country.
3923_174992_000003_000012	The Duke might have his foxes destroyed if he pleased, but he could hardly do so and remain a popular magnate in England.	The Duke might have his foxes destroyed if he pleased, but he could hardly do so and remain a popular magnate in England.
3923_174992_000003_000014	As it happened, Trumpeton Wood was, and always had been, the great nursery of foxes for that side of the Brake country.	As it happened, Trumpeton Wood was, and always had been, the great nursery of foxes for that side of the Brake country.
3923_174992_000003_000015	Gorse coverts make, no doubt, the charm of hunting, but gorse coverts will not hold foxes unless the woodlands be preserved.	Gorse coverts make, no doubt, the charm of hunting, but gorse coverts will not hold foxes unless the woodlands be preserved.
3923_174992_000003_000016	The fox is a travelling animal.	The fox is a travelling animal.
3923_174992_000003_000017	Knowing well that "home-staying youths have ever homely wits," he goes out and sees the world.	Knowing well that "home staying youths have ever homely wits," he goes out and sees the world.
3923_174992_000003_000019	If all foxes so wandering be doomed to death, if poison, and wires, and traps, and hostile keepers await them there instead of the tender welcome of the loving fox-preserver, the gorse coverts will soon be empty, and the whole country will be afflicted with a wild dismay.	If all foxes so wandering be doomed to death, if poison, and wires, and traps, and hostile keepers await them there instead of the tender welcome of the loving fox preserver, the gorse coverts will soon be empty, and the whole country will be afflicted with a wild dismay.
3923_174992_000004_000000	But our dear old friend, only the other day a duke, Planty Pall as he was lately called, devoted to work and to Parliament, an unselfish, friendly, wise man, who by no means wanted other men to cut their coats according to his pattern, was the last man in England to put himself forward as the enemy of an established delight.	But our dear old friend, only the other day a duke, Planty Pall as he was lately called, devoted to work and to Parliament, an unselfish, friendly, wise man, who by no means wanted other men to cut their coats according to his pattern, was the last man in England to put himself forward as the enemy of an established delight.
3923_174992_000004_000001	He did not hunt himself,--but neither did he shoot, or fish, or play cards.	He did not hunt himself,--but neither did he shoot, or fish, or play cards.
3923_174992_000004_000002	He recreated himself with Blue Books, and speculations on Adam Smith had been his distraction;--but he knew that he was himself peculiar, and he respected the habits of others.	He recreated himself with Blue Books, and speculations on Adam Smith had been his distraction;--but he knew that he was himself peculiar, and he respected the habits of others.
3923_174992_000004_000003	It had fallen out in this wise.	It had fallen out in this wise.
3923_174992_000005_000001	The animal becomes sacred, and his preservation is a religion.	The animal becomes sacred, and his preservation is a religion.
3923_174992_000005_000004	He had mistaken it for a hare, and had done the deed in the presence of keepers, owner, and friends.	He had mistaken it for a hare, and had done the deed in the presence of keepers, owner, and friends.
3923_174992_000005_000005	His feelings were so acute and his remorse so great that, in their pity, they had resolved to spare him; and then, on the spot, entered into a solemn compact that no one should be told.	His feelings were so acute and his remorse so great that, in their pity, they had resolved to spare him; and then, on the spot, entered into a solemn compact that no one should be told.
3923_174992_000005_000006	Encouraged by the forbearing tenderness, the unfortunate one ventured to return to the house of his friend, the owner of the wood, hoping that, in spite of the sacrilege committed, he might be able to face a world that would be ignorant of his crime.	Encouraged by the forbearing tenderness, the unfortunate one ventured to return to the house of his friend, the owner of the wood, hoping that, in spite of the sacrilege committed, he might be able to face a world that would be ignorant of his crime.
3923_174992_000005_000007	As the vulpicide, on the afternoon of the day of the deed, went along the corridor to his room, one maid-servant whispered to another, and the poor victim of an imperfect sight heard the words--"That's he as shot the fox!"	As the vulpicide, on the afternoon of the day of the deed, went along the corridor to his room, one maid servant whispered to another, and the poor victim of an imperfect sight heard the words-"That's he as shot the fox!"
3923_174992_000005_000008	The gentleman did not appear at dinner, nor was he ever again seen in those parts.	The gentleman did not appear at dinner, nor was he ever again seen in those parts.
3923_174992_000006_000000	Mr. Fothergill had become angry.	mr Fothergill had become angry.
3923_174992_000006_000002	And even the Duke was angry.	And even the Duke was angry.
3923_174992_000006_000003	The Duke was angry because Lord Chiltern had been violent;--and Lord Chiltern had been violent because Mr. Fothergill's conduct had been, to his thinking, not only sacrilegious, but one continued course of wilful sacrilege.	The Duke was angry because Lord Chiltern had been violent;--and Lord Chiltern had been violent because mr Fothergill's conduct had been, to his thinking, not only sacrilegious, but one continued course of wilful sacrilege.
3923_174992_000006_000005	To kill a certain number of foxes in the year, after the legitimate fashion, had become to him the one great study of life;--and he did it with an energy equal to that which the Duke devoted to decimal coinage.	To kill a certain number of foxes in the year, after the legitimate fashion, had become to him the one great study of life;--and he did it with an energy equal to that which the Duke devoted to decimal coinage.
3923_174992_000006_000006	His huntsman was always well mounted, with two horses; but Lord Chiltern would give up his own to the man and take charge of a weary animal as a common groom when he found that he might thus further the object of the day's sport.	His huntsman was always well mounted, with two horses; but Lord Chiltern would give up his own to the man and take charge of a weary animal as a common groom when he found that he might thus further the object of the day's sport.
3923_174992_000006_000011	He devoted his life to the Brake Hounds.	He devoted his life to the Brake Hounds.
3923_174992_000006_000012	And it was too much for him that such a one as Mr. Fothergill should be allowed to wire foxes in Trumpeton Wood!	And it was too much for him that such a one as mr Fothergill should be allowed to wire foxes in Trumpeton Wood!
3923_174992_000006_000013	The Duke's property, indeed!	The Duke's property, indeed!
3923_174992_000006_000014	Surely all that was understood in England by this time.	Surely all that was understood in England by this time.
3923_174992_000006_000015	Now he had consented to come to Matching, bringing his wife with him, in order that the matter might be settled.	Now he had consented to come to Matching, bringing his wife with him, in order that the matter might be settled.
3923_174992_000006_000016	There had been a threat that he would give up the country, in which case it was declared that it would be impossible to carry on the Brake Hunt in a manner satisfactory to masters, subscribers, owners of coverts, or farmers, unless a different order of things should be made to prevail in regard to Trumpeton Wood.	There had been a threat that he would give up the country, in which case it was declared that it would be impossible to carry on the Brake Hunt in a manner satisfactory to masters, subscribers, owners of coverts, or farmers, unless a different order of things should be made to prevail in regard to Trumpeton Wood.
3923_174992_000007_000000	The Duke, however, had declined to interfere personally.	The Duke, however, had declined to interfere personally.
3923_174992_000007_000001	He had told his wife that he should be delighted to welcome Lord and Lady Chiltern,--as he would any other friends of hers.	He had told his wife that he should be delighted to welcome Lord and Lady Chiltern,--as he would any other friends of hers.
3923_174992_000007_000002	The guests, indeed, at the Duke's house were never his guests, but always hers.	The guests, indeed, at the Duke's house were never his guests, but always hers.
3923_174992_000007_000003	But he could not allow himself to be brought into an argument with Lord Chiltern as to the management of his own property.	But he could not allow himself to be brought into an argument with Lord Chiltern as to the management of his own property.
3923_174992_000007_000004	The Duchess was made to understand that she must prevent any such awkwardness.	The Duchess was made to understand that she must prevent any such awkwardness.
3923_174992_000007_000005	And she did prevent it.	And she did prevent it.
3923_174992_000007_000007	Lady Chiltern and Madame Goesler were present, and also Phineas Finn.	Lady Chiltern and Madame Goesler were present, and also Phineas Finn.
3923_174992_000008_000000	"Well;--how about them?" said the lord, showing by the fiery eagerness of his eye, and the increased redness of his face, that though the matter had been introduced somewhat jocosely, there could not really be any joke about it.	"Well;--how about them?" said the lord, showing by the fiery eagerness of his eye, and the increased redness of his face, that though the matter had been introduced somewhat jocosely, there could not really be any joke about it.
3923_174992_000009_000000	"Why couldn't you keep it all out of the newspapers?"	"Why couldn't you keep it all out of the newspapers?"
3923_174992_000010_000000	"I don't write the newspapers, Duchess.	"I don't write the newspapers, Duchess.
3923_174992_000011_000000	"We may have traps if we like it, Lord Chiltern."	"We may have traps if we like it, Lord Chiltern."
3923_174992_000012_000000	"Certainly;--only say so, and we shall know where we are." He looked very angry, and poor Lady Chiltern was covered with dismay.	"Certainly;--only say so, and we shall know where we are." He looked very angry, and poor Lady Chiltern was covered with dismay.
3923_174992_000013_000000	"But we don't like traps, Lord Chiltern;--nor yet poison, nor anything that is wicked.	"But we don't like traps, Lord Chiltern;--nor yet poison, nor anything that is wicked.
3923_174992_000013_000001	I'd go and nurse the foxes myself if I knew how, wouldn't I, Marie?"	I'd go and nurse the foxes myself if I knew how, wouldn't I, Marie?"
3923_174992_000014_000000	"They have robbed the Duchess of her sleep for the last six months," said Madame Goesler.	"They have robbed the Duchess of her sleep for the last six months," said Madame Goesler.
3923_174992_000015_000000	"And if they go on being not properly brought up and educated, they'll make an old woman of me.	"And if they go on being not properly brought up and educated, they'll make an old woman of me.
3923_174992_000015_000001	As for the Duke, he can't be comfortable in his arithmetic for thinking of them.	As for the Duke, he can't be comfortable in his arithmetic for thinking of them.
3923_174992_000015_000002	But what can one do?"	But what can one do?"
3923_174992_000016_000000	"Change your keepers," said Lord Chiltern energetically.	"Change your keepers," said Lord Chiltern energetically.
3923_174992_000017_000001	How am I to set about it? To whom can I apply to appoint others?	How am I to set about it? To whom can I apply to appoint others?
3923_174992_000017_000002	Don't you know what vested interests mean, Lord Chiltern?"	Don't you know what vested interests mean, Lord Chiltern?"
3923_174992_000018_000000	"Then nobody can manage his own property as he pleases?"	"Then nobody can manage his own property as he pleases?"
3923_174992_000019_000000	"Nobody can,--unless he does the work himself.	"Nobody can,--unless he does the work himself.
3923_174992_000019_000001	If I were to go and live in Trumpeton Wood I could do it; but you see I have to live here.	If I were to go and live in Trumpeton Wood I could do it; but you see I have to live here.
3923_174992_000019_000002	I vote that we have an officer of State, to go in and out with the Government,--with a seat in the Cabinet or not according as things go, and that we call him Foxmaster-General.	I vote that we have an officer of State, to go in and out with the Government,--with a seat in the Cabinet or not according as things go, and that we call him Foxmaster General.
3923_174992_000019_000003	It would be just the thing for Mr. Finn."	It would be just the thing for mr Finn."
3923_174992_000021_000000	"Then I suppose that nothing can be done," said Lord Chiltern.	"Then I suppose that nothing can be done," said Lord Chiltern.
3923_174992_000022_000000	"My dear Lord Chiltern, everything has been done.	"My dear Lord Chiltern, everything has been done.
3923_174992_000022_000001	Vested interests have been attended to.	Vested interests have been attended to.
3923_174992_000022_000002	Keepers shall prefer foxes to pheasants, wires shall be unheard of, and Trumpeton Wood shall once again be the glory of the Brake Hunt.	Keepers shall prefer foxes to pheasants, wires shall be unheard of, and Trumpeton Wood shall once again be the glory of the Brake Hunt.
3923_174992_000022_000003	It won't cost the Duke above a thousand or two a year."	It won't cost the Duke above a thousand or two a year."
3923_174992_000023_000000	"I should be very sorry indeed to put the Duke to any unnecessary expense," said Lord Chiltern solemnly,--still fearing that the Duchess was only playing with him.	"I should be very sorry indeed to put the Duke to any unnecessary expense," said Lord Chiltern solemnly,--still fearing that the Duchess was only playing with him.
3923_174992_000024_000000	"Do not think of it.	"Do not think of it.
3923_174992_000024_000001	We have pensioned poor Mr. Fothergill, and he retires from the administration."	We have pensioned poor mr Fothergill, and he retires from the administration."
3923_174992_000025_000000	"Then it'll be all right," said Lord Chiltern.	"Then it'll be all right," said Lord Chiltern.
3923_174992_000026_000000	"I am so glad," said his wife.	"I am so glad," said his wife.
3923_174992_000027_000000	"And so the great Mr. Fothergill falls from power, and goes down into obscurity," said Madame Goesler.	"And so the great mr Fothergill falls from power, and goes down into obscurity," said Madame Goesler.
3923_174992_000028_000000	"He was an impudent old man, and that's the truth," said the Duchess;--"and he has always been my thorough detestation.	"He was an impudent old man, and that's the truth," said the Duchess;--"and he has always been my thorough detestation.
3923_174992_000028_000001	But if you only knew what I have gone through to get rid of him,--and all on account of Trumpeton Wood,--you'd send me every brush taken in the Brake country during the next season."	But if you only knew what I have gone through to get rid of him,--and all on account of Trumpeton Wood,--you'd send me every brush taken in the Brake country during the next season."
3923_174992_000029_000000	"Your Grace shall at any rate have one of them," said Lord Chiltern.	"Your Grace shall at any rate have one of them," said Lord Chiltern.
3923_174992_000030_000000	On the next day Lord and Lady Chiltern went back to Harrington Hall. When the end of August comes, a Master of Hounds,--who is really a master,--is wanted at home.	On the next day Lord and Lady Chiltern went back to Harrington Hall. When the end of August comes, a Master of Hounds,--who is really a master,--is wanted at home.
3923_174992_000030_000001	Nothing short of an embassy on behalf of the great coverts of his country would have kept this master away at present; and now, his diplomacy having succeeded, he hurried back to make the most of its results.	Nothing short of an embassy on behalf of the great coverts of his country would have kept this master away at present; and now, his diplomacy having succeeded, he hurried back to make the most of its results.
3923_174992_000030_000002	Lady Chiltern, before she went, made a little speech to Phineas Finn.	Lady Chiltern, before she went, made a little speech to Phineas Finn.
3923_174992_000031_000000	"You'll come to us in the winter, Mr. Finn?"	"You'll come to us in the winter, mr Finn?"
3923_174992_000032_000000	"I should like."	"I should like."
3923_174992_000033_000000	"You must.	"You must.
3923_174992_000033_000001	No one was truer to you than we were, you know.	No one was truer to you than we were, you know.
3923_174992_000034_000000	"Oh, Lady Chiltern!"	"Oh, Lady Chiltern!"
3923_174992_000035_000000	"Of course you'll come.	"Of course you'll come.
3923_174992_000035_000001	You owe it to us to come.	You owe it to us to come.
3923_174992_000035_000002	And may I say this? If there be anybody to come with you, that will make it only so much the better.	And may I say this? If there be anybody to come with you, that will make it only so much the better.
