4363_14936_000002_000000	CHAPTER XLV	CHAPTER forty five
4363_14936_000004_000002	The dogs were, and are to this day, jealously guarded under the supervision of the Chief Eunuch of the Court, and few have ever found their way into the outer world.	The dogs were, and are to this day, jealously guarded under the supervision of the Chief Eunuch of the Court, and few have ever found their way into the outer world.
4363_14936_000005_000002	Lord John and another naval officer, a cousin of the late Duchess of Richmond's, each secured two dogs; the fifth was taken by General Dunne, who presented it to Queen Victoria.	Lord john and another naval officer, a cousin of the late Duchess of Richmond's, each secured two dogs; the fifth was taken by General Dunne, who presented it to Queen Victoria.
4363_14936_000008_000000	The Duchess of Richmond occasionally gave away a dog to intimate friends, such as the Dowager Lady Wharncliffe, Lady Dorothy Nevill, and others, but in those days the Pekinese was practically an unknown quantity, and it can therefore be more readily understood what interest was aroused about eleven years ago by the appearance of a small dog, similar in size, colour, and general type to those so carefully cherished at Goodwood.	The Duchess of Richmond occasionally gave away a dog to intimate friends, such as the Dowager Lady Wharncliffe, Lady Dorothy Nevill, and others, but in those days the Pekinese was practically an unknown quantity, and it can therefore be more readily understood what interest was aroused about eleven years ago by the appearance of a small dog, similar in size, colour, and general type to those so carefully cherished at Goodwood.
4363_14936_000009_000004	Gia-Gia, Manchu Tao-Tai, Goodwood Ming, Marland Myth, and others.	Gia Gia, Manchu Tao Tai, Goodwood Ming, Marland Myth, and others.
4363_14936_000011_000000	Is it therefore to be wondered at that confusion exists as to what is the true type?	Is it therefore to be wondered at that confusion exists as to what is the true type?
4363_14936_000012_000000	The following is the scale of points as issued by the Pekinese Club:--	The following is the scale of points as issued by the Pekinese Club:--
4363_14936_000013_000001	NOSE--Black, broad, very short and flat.	NOSE-Black, broad, very short and flat.
4363_14936_000013_000003	STOP--Deep. EARS--Heart-shaped; not set too high; leather never long enough to come below the muzzle; not carried erect, but rather drooping, long feather.	STOP-Deep. EARS-Heart shaped; not set too high; leather never long enough to come below the muzzle; not carried erect, but rather drooping, long feather.
4363_14936_000013_000004	MUZZLE--Very short and broad; not underhung nor pointed; wrinkled.	MUZZLE-Very short and broad; not underhung nor pointed; wrinkled.
4363_14936_000013_000009	Black masks, and spectacles round the eyes, with lines to the ears, are desirable.	Black masks, and spectacles round the eyes, with lines to the ears, are desirable.
4363_14936_000013_000010	LEGS--Short; fore-legs heavy, bowed out at elbows; hind-legs lighter, but firm and well shaped.	LEGS-Short; fore legs heavy, bowed out at elbows; hind legs lighter, but firm and well shaped.
4363_14936_000013_000011	FEET--Flat, not round; should stand well up on toes, not on ankles.	FEET-Flat, not round; should stand well up on toes, not on ankles.
4363_14936_000013_000012	TAIL--Curled and carried well up on loins; long, profuse straight feather.	TAIL-Curled and carried well up on loins; long, profuse straight feather.
4363_14936_000013_000013	SIZE--Being a toy dog the smaller the better, provided type and points are not sacrificed.	SIZE-Being a toy dog the smaller the better, provided type and points are not sacrificed.
4363_14936_000015_000000	In every case a black muzzle is indispensable, also black points to the ears, with trousers, tail and feathering a somewhat lighter shade than the body.	In every case a black muzzle is indispensable, also black points to the ears, with trousers, tail and feathering a somewhat lighter shade than the body.
4363_14936_000018_000000	It would not be fitting to close an article on Pekinese without bearing testimony to their extraordinarily attractive characteristics. They are intensely affectionate and faithful, and have something almost cat-like in their domesticity.	It would not be fitting to close an article on Pekinese without bearing testimony to their extraordinarily attractive characteristics. They are intensely affectionate and faithful, and have something almost cat like in their domesticity.
4363_14936_000018_000001	They display far more character than the so-called "toy dog" usually does, and for this reason it is all-important that pains should be taken to preserve the true type, in a recognition of the fact that quality is more essential than quantity.	They display far more character than the so-called "toy dog" usually does, and for this reason it is all important that pains should be taken to preserve the true type, in a recognition of the fact that quality is more essential than quantity.
4363_14936_000019_000000	As their breed-name implies, these tiny black and white, long-haired lap dogs are reputed to be natives of the land of the chrysanthemum. The Japanese, who have treasured them for centuries, have the belief that they are not less ancient than the dogs of Malta.	As their breed name implies, these tiny black and white, long haired lap dogs are reputed to be natives of the land of the chrysanthemum. The Japanese, who have treasured them for centuries, have the belief that they are not less ancient than the dogs of Malta.
