4010_10798_000000_000000	THE HEART WITH THE TREASURE.	THE HEART WITH THE TREASURE.	false	13.2	17.01	22.19107
4010_10798_000001_000000	_Lay not up for yourselves treasures upon earth, where moth and rust doth corrupt, and where thieves break through and steal.	underscore Lay not up for yourselves treasures upon earth, where moth and rust doth corrupt, and where thieves break through and steal.	false	17.01	26.38	20.454252
4010_10798_000001_000001	But lay up for yourselves treasures in heaven, where neither moth nor rust doth corrupt, and where thieves do not break through nor steal.	But lay up for yourselves treasures in heaven, where neither moth nor rust doth corrupt, and where thieves do not break through nor steal.	true	26.78	36.34	20.837362
4010_10798_000001_000002	For where your treasure is, there will your heart be also_.--MATT. vi.	For where your treasure is, there will your heart be also underscore.--MATT. vi.	false	36.86	45.6	20.827133
4010_10798_000001_000003	19, 20, 21.	nineteen, twenty, twenty one.	false	45.6	47.5	16
4010_10798_000002_000000	To understand the words of our Lord is the business of life.	To understand the words of our Lord is the business of life.	true	50.9	55.87	19.280817
4010_10798_000002_000001	For it is the main road to the understanding of The Word himself.	For it is the main road to the understanding of The Word himself.	true	56.45	61.06	18.62959
4010_10798_000002_000002	And to receive him is to receive the Father, and so to have Life in ourselves.	And to receive him is to receive the Father, and so to have Life in ourselves.	true	61.64	68.77	17.13156
4010_10798_000002_000003	And Life, the higher, the deeper, the simpler, the original, is the business of life.	And Life, the higher, the deeper, the simpler, the original, is the business of life.	true	69.38	77.83	19.47403
4010_10798_000003_000000	The Word is that by which we live, namely, Jesus himself; and his words represent, in part, in shadow, in suggestion, himself.	The Word is that by which we live, namely, Jesus himself; and his words represent, in part, in shadow, in suggestion, himself.	true	78.74	91.63	18.95878
4010_10798_000003_000001	Any utterance worthy of being called _a truth_, is human food: how much more _The Word_, presenting no abstract laws of our being, but the vital relation of soul and body, heart and will, strength and rejoicing, beauty and light, to Him who first gave birth to them all!	Any utterance worthy of being called underscore a truth underscore, is human food: how much more underscore The Word underscore, presenting no abstract laws of our being, but the vital relation of soul and body, heart and will, strength and rejoicing, beauty and light, to Him who first gave birth to them all!	false	92.66	114.97	20.0617
