1028_133393_000002_000000	The gates of the Monastery stood wide open, the world lay beyond, and all was ready for departure.	The gates of the Monastery stood wide open, the world lay beyond, and all was ready for departure.
1028_133393_000002_000001	Baron Conrad and his men-at-arms sat foot in stirrup, the milk-white horse that had been brought for Otto stood waiting for him beside his father's great charger.	Baron Conrad and his men at arms sat foot in stirrup, the milk white horse that had been brought for Otto stood waiting for him beside his father's great charger.
1028_133393_000003_000000	"Farewell, Otto," said the good old Abbot, as he stooped and kissed the boy's cheek.	"Farewell, Otto," said the good old Abbot, as he stooped and kissed the boy's cheek.
1028_133393_000004_000000	"Farewell," answered Otto, in his simple, quiet way, and it brought a pang to the old man's heart that the child should seem to grieve so little at the leave-taking.	"Farewell," answered Otto, in his simple, quiet way, and it brought a pang to the old man's heart that the child should seem to grieve so little at the leave taking.
1028_133393_000005_000000	"Farewell, Otto," said the brethren that stood about, "farewell, farewell."	"Farewell, Otto," said the brethren that stood about, "farewell, farewell."
1028_133393_000006_000000	Then poor brother John came forward and took the boy's hand, and looked up into his face as he sat upon his horse.	Then poor brother john came forward and took the boy's hand, and looked up into his face as he sat upon his horse.
1028_133393_000006_000001	"We will meet again," said he, with his strange, vacant smile, "but maybe it will be in Paradise, and there perhaps they will let us lie in the father's belfry, and look down upon the angels in the court-yard below."	"We will meet again," said he, with his strange, vacant smile, "but maybe it will be in Paradise, and there perhaps they will let us lie in the father's belfry, and look down upon the angels in the court yard below."
1028_133393_000007_000000	"Aye," answered Otto, with an answering smile.	"Aye," answered Otto, with an answering smile.
1028_133393_000009_000000	Down the steep winding pathway they rode, and out into the great wide world beyond, upon which Otto and brother John had gazed so often from the wooden belfry of the White Cross on the hill.	Down the steep winding pathway they rode, and out into the great wide world beyond, upon which Otto and brother john had gazed so often from the wooden belfry of the White Cross on the hill.
1028_133393_000011_000000	"Nay," said Otto; "we had no horse to ride, but only to bring in the harvest or the grapes from the further vineyards to the vintage."	"Nay," said Otto; "we had no horse to ride, but only to bring in the harvest or the grapes from the further vineyards to the vintage."
1028_133393_000013_000000	"Nay," said Otto, with a smile, "I am not afeared."	"Nay," said Otto, with a smile, "I am not afeared."
1028_133393_000014_000001	But perhaps Otto's thought of fear and Baron Conrad's thought of fear were two very different matters.	But perhaps Otto's thought of fear and Baron Conrad's thought of fear were two very different matters.
1028_133393_000015_000000	The afternoon had passed by the time they had reached the end of their journey.	The afternoon had passed by the time they had reached the end of their journey.
1028_133393_000015_000001	Up the steep, stony path they rode to the drawbridge and the great gaping gateway of Drachenhausen, where wall and tower and battlement looked darker and more forbidding than ever in the gray twilight of the coming night.	Up the steep, stony path they rode to the drawbridge and the great gaping gateway of Drachenhausen, where wall and tower and battlement looked darker and more forbidding than ever in the gray twilight of the coming night.
1028_133393_000015_000002	Little Otto looked up with great, wondering, awe-struck eyes at this grim new home of his.	Little Otto looked up with great, wondering, awe struck eyes at this grim new home of his.
1028_133393_000016_000000	The next moment they clattered over the drawbridge that spanned the narrow black gulph between the roadway and the wall, and the next were past the echoing arch of the great gateway and in the gray gloaming of the paved court-yard within.	The next moment they clattered over the drawbridge that spanned the narrow black gulph between the roadway and the wall, and the next were past the echoing arch of the great gateway and in the gray gloaming of the paved court yard within.
1028_133393_000017_000000	Otto looked around upon the many faces gathered there to catch the first sight of the little baron; hard, rugged faces, seamed and weather-beaten; very different from those of the gentle brethren among whom he had lived, and it seemed strange to him that there was none there whom he should know.	Otto looked around upon the many faces gathered there to catch the first sight of the little baron; hard, rugged faces, seamed and weather beaten; very different from those of the gentle brethren among whom he had lived, and it seemed strange to him that there was none there whom he should know.
1028_133393_000018_000000	As he climbed the steep, stony steps to the door of the Baron's house, old Ursela came running down to meet him.	As he climbed the steep, stony steps to the door of the Baron's house, old Ursela came running down to meet him.
1028_133393_000018_000002	"My little child," she cried, and then fell to sobbing as though her heart would break.	"My little child," she cried, and then fell to sobbing as though her heart would break.
1028_133393_000020_000000	His new home was all very strange and wonderful to Otto; the armors, the trophies, the flags, the long galleries with their ranges of rooms, the great hall below with its vaulted roof and its great fireplace of grotesquely carved stone, and all the strange people with their lives and thoughts so different from what he had been used to know.	His new home was all very strange and wonderful to Otto; the armors, the trophies, the flags, the long galleries with their ranges of rooms, the great hall below with its vaulted roof and its great fireplace of grotesquely carved stone, and all the strange people with their lives and thoughts so different from what he had been used to know.
1028_133393_000021_000000	And it was a wonderful thing to explore all the strange places in the dark old castle; places where it seemed to Otto no one could have ever been before.	And it was a wonderful thing to explore all the strange places in the dark old castle; places where it seemed to Otto no one could have ever been before.
1028_133393_000023_000000	It was the chapel into which Otto had made his way, now long since fallen out of use excepting as a burial place of the race.	It was the chapel into which Otto had made his way, now long since fallen out of use excepting as a burial place of the race.
1028_133393_000024_000000	At another time he clambered up into the loft under the high peaked roof, where lay numberless forgotten things covered with the dim dust of years.	At another time he clambered up into the loft under the high peaked roof, where lay numberless forgotten things covered with the dim dust of years.
1028_133393_000024_000001	There a flock of pigeons had made their roost, and flapped noisily out into the sunlight when he pushed open the door from below. Here he hunted among the mouldering things of the past until, oh, joy of joys! in an ancient oaken chest he found a great lot of worm-eaten books, that had belonged to some old chaplain of the castle in days gone by.	There a flock of pigeons had made their roost, and flapped noisily out into the sunlight when he pushed open the door from below. Here he hunted among the mouldering things of the past until, oh, joy of joys! in an ancient oaken chest he found a great lot of worm eaten books, that had belonged to some old chaplain of the castle in days gone by.
1028_133393_000024_000002	They were not precious and beautiful volumes, such as the Father Abbot had showed him, but all the same they had their quaint painted pictures of the blessed saints and angels.	They were not precious and beautiful volumes, such as the Father Abbot had showed him, but all the same they had their quaint painted pictures of the blessed saints and angels.
1028_133393_000025_000000	Again, at another time, going into the court-yard, Otto had found the door of Melchior's tower standing invitingly open, for old Hilda, Schwartz Carl's wife, had come down below upon some business or other.	Again, at another time, going into the court yard, Otto had found the door of Melchior's tower standing invitingly open, for old Hilda, Schwartz Carl's wife, had come down below upon some business or other.
1028_133393_000026_000000	Then upon the shaky wooden steps Otto ran without waiting for a second thought, for he had often gazed at those curious buildings hanging so far up in the air, and had wondered what they were like.	Then upon the shaky wooden steps Otto ran without waiting for a second thought, for he had often gazed at those curious buildings hanging so far up in the air, and had wondered what they were like.
1028_133393_000026_000001	Round and round and up and up Otto climbed, until his head spun.	Round and round and up and up Otto climbed, until his head spun.
