176_123270_000006_000000	CHAPTER XVII.	CHAPTER seventeen.
176_123270_000007_000000	VERTICAL DESCENT	VERTICAL DESCENT
176_123270_000008_000000	Now began our real journey.	Now began our real journey.
176_123270_000008_000001	Hitherto our toil had overcome all difficulties, now difficulties would spring up at every step.	Hitherto our toil had overcome all difficulties, now difficulties would spring up at every step.
176_123270_000009_000000	I had not yet ventured to look down the bottomless pit into which I was about to take a plunge.	I had not yet ventured to look down the bottomless pit into which I was about to take a plunge.
176_123270_000009_000001	The supreme hour had come.	The supreme hour had come.
176_123270_000009_000002	I might now either share in the enterprise or refuse to move forward.	I might now either share in the enterprise or refuse to move forward.
176_123270_000009_000003	But I was ashamed to recoil in the presence of the hunter.	But I was ashamed to recoil in the presence of the hunter.
176_123270_000009_000004	Hans accepted the enterprise with such calmness, such indifference, such perfect disregard of any possible danger that I blushed at the idea of being less brave than he.	Hans accepted the enterprise with such calmness, such indifference, such perfect disregard of any possible danger that I blushed at the idea of being less brave than he.
176_123270_000010_000000	I have already mentioned that it was a hundred feet in diameter, and three hundred feet round.	I have already mentioned that it was a hundred feet in diameter, and three hundred feet round.
176_123270_000010_000001	I bent over a projecting rock and gazed down.	I bent over a projecting rock and gazed down.
176_123270_000010_000003	The bewildering feeling of vacuity laid hold upon me.	The bewildering feeling of vacuity laid hold upon me.
176_123270_000010_000004	I felt my centre of gravity shifting its place, and giddiness mounting into my brain like drunkenness.	I felt my centre of gravity shifting its place, and giddiness mounting into my brain like drunkenness.
176_123270_000010_000005	There is nothing more treacherous than this attraction down deep abysses.	There is nothing more treacherous than this attraction down deep abysses.
176_123270_000010_000006	I was just about to drop down, when a hand laid hold of me.	I was just about to drop down, when a hand laid hold of me.
176_123270_000011_000000	But, however short was my examination of this well, I had taken some account of its conformation.	But, however short was my examination of this well, I had taken some account of its conformation.
176_123270_000011_000001	Its almost perpendicular walls were bristling with innumerable projections which would facilitate the descent.	Its almost perpendicular walls were bristling with innumerable projections which would facilitate the descent.
176_123270_000011_000003	But how were we to unfasten it, when arrived at the other end?	But how were we to unfasten it, when arrived at the other end?
176_123270_000012_000000	My uncle employed a very simple expedient to obviate this difficulty. He uncoiled a cord of the thickness of a finger, and four hundred feet long; first he dropped half of it down, then he passed it round a lava block that projected conveniently, and threw the other half down the chimney.	My uncle employed a very simple expedient to obviate this difficulty. He uncoiled a cord of the thickness of a finger, and four hundred feet long; first he dropped half of it down, then he passed it round a lava block that projected conveniently, and threw the other half down the chimney.
176_123270_000012_000001	Each of us could then descend by holding with the hand both halves of the rope, which would not be able to unroll itself from its hold; when two hundred feet down, it would be easy to get possession of the whole of the rope by letting one end go and pulling down by the other.	Each of us could then descend by holding with the hand both halves of the rope, which would not be able to unroll itself from its hold; when two hundred feet down, it would be easy to get possession of the whole of the rope by letting one end go and pulling down by the other.
176_123270_000013_000000	"Now," said my uncle, after having completed these preparations, "now let us look to our loads.	"Now," said my uncle, after having completed these preparations, "now let us look to our loads.
176_123270_000013_000001	I will divide them into three lots; each of us will strap one upon his back.	I will divide them into three lots; each of us will strap one upon his back.
176_123270_000013_000002	I mean only fragile articles."	I mean only fragile articles."
176_123270_000014_000000	Of course, we were not included under that head.	Of course, we were not included under that head.
176_123270_000016_000000	"But," said I, "the clothes, and that mass of ladders and ropes, what is to become of them?"	"But," said I, "the clothes, and that mass of ladders and ropes, what is to become of them?"
176_123270_000018_000000	"How so?" I asked.	"How so?" I asked.
176_123270_000019_000000	"You will see presently."	"You will see presently."
176_123270_000020_000000	My uncle was always willing to employ magnificent resources.	My uncle was always willing to employ magnificent resources.
176_123270_000020_000001	Obeying orders, Hans tied all the non-fragile articles in one bundle, corded them firmly, and sent them bodily down the gulf before us.	Obeying orders, Hans tied all the non fragile articles in one bundle, corded them firmly, and sent them bodily down the gulf before us.
176_123270_000021_000000	I listened to the dull thuds of the descending bale.	I listened to the dull thuds of the descending bale.
176_123270_000021_000001	My uncle, leaning over the abyss, followed the descent of the luggage with a satisfied nod, and only rose erect when he had quite lost sight of it.	My uncle, leaning over the abyss, followed the descent of the luggage with a satisfied nod, and only rose erect when he had quite lost sight of it.
176_123270_000023_000000	Now I ask any sensible man if it was possible to hear those words without a shudder.	Now I ask any sensible man if it was possible to hear those words without a shudder.
176_123270_000024_000000	The Professor fastened his package of instruments upon his shoulders; Hans took the tools; I took the arms: and the descent commenced in the following order; Hans, my uncle, and myself.	The Professor fastened his package of instruments upon his shoulders; Hans took the tools; I took the arms: and the descent commenced in the following order; Hans, my uncle, and myself.
176_123270_000024_000001	It was effected in profound silence, broken only by the descent of loosened stones down the dark gulf.	It was effected in profound silence, broken only by the descent of loosened stones down the dark gulf.
