4806_26895_000000_000000	II	two	false	14.1	14.91	-30
4806_26895_000001_000000	I confess I did not like it.	I confess I did not like it.	false	14.91	16.69	22.92199
4806_26895_000001_000001	Although I had made up my mind to play, I felt averse to doing so on behalf of some one else.	Although I had made up my mind to play, I felt averse to doing so on behalf of some one else.	true	16.91	21.64	19.299807
4806_26895_000001_000002	In fact, it almost upset my balance, and I entered the gaming rooms with an angry feeling at my heart.	In fact, it almost upset my balance, and I entered the gaming rooms with an angry feeling at my heart.	true	21.65	26.89	21.397852
4806_26895_000001_000003	At first glance the scene irritated me.	At first glance the scene irritated me.	true	27.14	29.265	24.77217
4806_26895_000001_000004	Never at any time have I been able to bear the flunkeyishness which one meets in the Press of the world at large, but more especially in that of Russia, where, almost every evening, journalists write on two subjects in particular namely, on the splendour and luxury of the casinos to be found in the Rhenish towns, and on the heaps of gold which are daily to be seen lying on their tables.	Never at any time have I been able to bear the flunkeyishness which one meets in the Press of the world at large, but more especially in that of Russia, where, almost every evening, journalists write on two subjects in particular namely, on the splendour and luxury of the casinos to be found in the Rhenish towns, and on the heaps of gold which are daily to be seen lying on their tables.	false	29.265	47.83	20
4806_26895_000001_000005	Those journalists are not paid for doing so: they write thus merely out of a spirit of disinterested complaisance.	Those journalists are not paid for doing so: they write thus merely out of a spirit of disinterested complaisance.	true	48.14	53.7	23.692553
4806_26895_000001_000006	For there is nothing splendid about the establishments in question; and, not only are there no heaps of gold to be seen lying on their tables, but also there is very little money to be seen at all.	For there is nothing splendid about the establishments in question; and, not only are there no heaps of gold to be seen lying on their tables, but also there is very little money to be seen at all.	false	53.7	64.21	22.86883
4806_26895_000001_000007	Of course, during the season, some madman or another may make his appearance--generally an Englishman, or an Asiatic, or a Turk--and (as had happened during the summer of which I write) win or lose a great deal; but, as regards the rest of the crowd, it plays only for petty gulden, and seldom does much wealth figure on the board.	Of course, during the season, some madman or another may make his appearance-generally an Englishman, or an Asiatic, or a Turk-and (as had happened during the summer of which I write) win or lose a great deal; but, as regards the rest of the crowd, it plays only for petty gulden, and seldom does much wealth figure on the board.	false	64.37	82.215	22.140484
4806_26895_000002_000000	When, on the present occasion, I entered the gaming-rooms (for the first time in my life), it was several moments before I could even make up my mind to play.	When, on the present occasion, I entered the gaming rooms (for the first time in my life), it was several moments before I could even make up my mind to play.	true	82.215	89.35	19.376692
4806_26895_000002_000001	For one thing, the crowd oppressed me.	For one thing, the crowd oppressed me.	true	89.48	91.23	24.730223
4806_26895_000002_000002	Had I been playing for myself, I think I should have left at once, and never have embarked upon gambling at all, for I could feel my heart beginning to beat, and my heart was anything but cold-blooded.	Had I been playing for myself, I think I should have left at once, and never have embarked upon gambling at all, for I could feel my heart beginning to beat, and my heart was anything but cold blooded.	false	91.23	101.14	22.025091
4806_26895_000002_000003	Also, I knew, I had long ago made up my mind, that never should I depart from Roulettenberg until some radical, some final, change had taken place in my fortunes. Thus, it must and would be.	Also, I knew, I had long ago made up my mind, that never should I depart from Roulettenberg until some radical, some final, change had taken place in my fortunes. Thus, it must and would be.	false	101.24	111.82	19.784128
4806_26895_000002_000004	However ridiculous it may seem to you that I was expecting to win at roulette, I look upon the generally accepted opinion concerning the folly and the grossness of hoping to win at gambling as a thing even more absurd.	However ridiculous it may seem to you that I was expecting to win at roulette, I look upon the generally accepted opinion concerning the folly and the grossness of hoping to win at gambling as a thing even more absurd.	true	112.01	122.61	23
4806_26895_000002_000005	For why is gambling a whit worse than any other method of acquiring money?	For why is gambling a whit worse than any other method of acquiring money?	true	122.61	126.25	16
4806_26895_000002_000006	How, for instance, is it worse than trade?	How, for instance, is it worse than trade?	true	126.38	128.56	20.504341
4806_26895_000002_000007	True, out of a hundred persons, only one can win; yet what business is that of yours or of mine?	True, out of a hundred persons, only one can win; yet what business is that of yours or of mine?	true	128.57	134.05	24.864408
4806_26895_000003_000000	At all events, I confined myself at first simply to looking on, and decided to attempt nothing serious.	At all events, I confined myself at first simply to looking on, and decided to attempt nothing serious.	false	134.45	139.72	22.162167
4806_26895_000003_000001	Indeed, I felt that, if I began to do anything at all, I should do it in an absent-minded, haphazard sort of way--of that I felt certain.	Indeed, I felt that, if I began to do anything at all, I should do it in an absent minded, haphazard sort of way-of that I felt certain.	false	139.97	147.1	22.487644
4806_26895_000003_000002	Also, it behoved me to learn the game itself; since, despite a thousand descriptions of roulette which I had read with ceaseless avidity, I knew nothing of its rules, and had never even seen it played.	Also, it behoved me to learn the game itself; since, despite a thousand descriptions of roulette which I had read with ceaseless avidity, I knew nothing of its rules, and had never even seen it played.	false	147.23	157.395	22.472025
4806_26895_000004_000000	In the first place, everything about it seemed to me so foul--so morally mean and foul.	In the first place, everything about it seemed to me so foul-so morally mean and foul.	true	157.395	162.33	19
4806_26895_000004_000001	Yet I am not speaking of the hungry, restless folk who, by scores nay, even by hundreds--could be seen crowded around the gaming-tables.	Yet I am not speaking of the hungry, restless folk who, by scores nay, even by hundreds-could be seen crowded around the gaming tables.	false	162.33	169.51	20
4806_26895_000004_000002	For in a desire to win quickly and to win much I can see nothing sordid; I have always applauded the opinion of a certain dead and gone, but cocksure, moralist who replied to the excuse that "one may always gamble moderately", by saying that to do so makes things worse, since, in that case, the profits too will always be moderate.	For in a desire to win quickly and to win much I can see nothing sordid; I have always applauded the opinion of a certain dead and gone, but cocksure, moralist who replied to the excuse that "one may always gamble moderately", by saying that to do so makes things worse, since, in that case, the profits too will always be moderate.	false	169.64	186.52	17
4806_26895_000005_000000	Insignificant profits and sumptuous profits do not stand on the same footing.	Insignificant profits and sumptuous profits do not stand on the same footing.	true	186.65	190.39	19.18317
4806_26895_000005_000001	No, it is all a matter of proportion.	No, it is all a matter of proportion.	true	190.58	192.7	19.742199
4806_26895_000005_000002	What may seem a small sum to a Rothschild may seem a large sum to me, and it is not the fault of stakes or of winnings that everywhere men can be found winning, can be found depriving their fellows of something, just as they do at roulette.	What may seem a small sum to a Rothschild may seem a large sum to me, and it is not the fault of stakes or of winnings that everywhere men can be found winning, can be found depriving their fellows of something, just as they do at roulette.	true	192.92	204.55	19
4806_26895_000005_000003	As to the question whether stakes and winnings are, in themselves, immoral is another question altogether, and I wish to express no opinion upon it.	As to the question whether stakes and winnings are, in themselves, immoral is another question altogether, and I wish to express no opinion upon it.	true	204.98	212.52	21.428968
