209_4731_000001_000000	CHAPTER III	CHAPTER three
209_4731_000002_000002	He had not much intercourse with any families beyond that circle; his horror of late hours, and large dinner-parties, made him unfit for any acquaintance but such as would visit him on his own terms.	He had not much intercourse with any families beyond that circle; his horror of late hours, and large dinner parties, made him unfit for any acquaintance but such as would visit him on his own terms.
209_4731_000002_000003	Fortunately for him, Highbury, including Randalls in the same parish, and Donwell Abbey in the parish adjoining, the seat of Mr. Knightley, comprehended many such.	Fortunately for him, Highbury, including Randalls in the same parish, and Donwell Abbey in the parish adjoining, the seat of mr Knightley, comprehended many such.
209_4731_000002_000004	Not unfrequently, through Emma's persuasion, he had some of the chosen and the best to dine with him: but evening parties were what he preferred; and, unless he fancied himself at any time unequal to company, there was scarcely an evening in the week in which Emma could not make up a card-table for him.	Not unfrequently, through Emma's persuasion, he had some of the chosen and the best to dine with him: but evening parties were what he preferred; and, unless he fancied himself at any time unequal to company, there was scarcely an evening in the week in which Emma could not make up a card table for him.
209_4731_000003_000000	Real, long-standing regard brought the Westons and Mr. Knightley; and by Mr. Elton, a young man living alone without liking it, the privilege of exchanging any vacant evening of his own blank solitude for the elegancies and society of Mr. Woodhouse's drawing-room, and the smiles of his lovely daughter, was in no danger of being thrown away.	Real, long-standing regard brought the Westons and mr Knightley; and by mr Elton, a young man living alone without liking it, the privilege of exchanging any vacant evening of his own blank solitude for the elegancies and society of mr Woodhouse's drawing room, and the smiles of his lovely daughter, was in no danger of being thrown away.
209_4731_000004_000000	After these came a second set; among the most come-at-able of whom were Mrs. and Miss Bates, and Mrs. Goddard, three ladies almost always at the service of an invitation from Hartfield, and who were fetched and carried home so often, that Mr. Woodhouse thought it no hardship for either James or the horses.	After these came a second set; among the most come at able of whom were mrs and Miss Bates, and mrs Goddard, three ladies almost always at the service of an invitation from Hartfield, and who were fetched and carried home so often, that mr Woodhouse thought it no hardship for either james or the horses.
209_4731_000004_000001	Had it taken place only once a year, it would have been a grievance.	Had it taken place only once a year, it would have been a grievance.
209_4731_000005_000000	Mrs. Bates, the widow of a former vicar of Highbury, was a very old lady, almost past every thing but tea and quadrille.	mrs Bates, the widow of a former vicar of Highbury, was a very old lady, almost past every thing but tea and quadrille.
209_4731_000005_000001	She lived with her single daughter in a very small way, and was considered with all the regard and respect which a harmless old lady, under such untoward circumstances, can excite.	She lived with her single daughter in a very small way, and was considered with all the regard and respect which a harmless old lady, under such untoward circumstances, can excite.
209_4731_000005_000002	Her daughter enjoyed a most uncommon degree of popularity for a woman neither young, handsome, rich, nor married. Miss Bates stood in the very worst predicament in the world for having much of the public favour; and she had no intellectual superiority to make atonement to herself, or frighten those who might hate her into outward respect.	Her daughter enjoyed a most uncommon degree of popularity for a woman neither young, handsome, rich, nor married. Miss Bates stood in the very worst predicament in the world for having much of the public favour; and she had no intellectual superiority to make atonement to herself, or frighten those who might hate her into outward respect.
209_4731_000005_000003	She had never boasted either beauty or cleverness.	She had never boasted either beauty or cleverness.
209_4731_000005_000004	Her youth had passed without distinction, and her middle of life was devoted to the care of a failing mother, and the endeavour to make a small income go as far as possible.	Her youth had passed without distinction, and her middle of life was devoted to the care of a failing mother, and the endeavour to make a small income go as far as possible.
209_4731_000005_000005	And yet she was a happy woman, and a woman whom no one named without good-will.	And yet she was a happy woman, and a woman whom no one named without good will.
209_4731_000005_000006	It was her own universal good-will and contented temper which worked such wonders.	It was her own universal good will and contented temper which worked such wonders.
209_4731_000005_000007	She loved every body, was interested in every body's happiness, quicksighted to every body's merits; thought herself a most fortunate creature, and surrounded with blessings in such an excellent mother, and so many good neighbours and friends, and a home that wanted for nothing.	She loved every body, was interested in every body's happiness, quicksighted to every body's merits; thought herself a most fortunate creature, and surrounded with blessings in such an excellent mother, and so many good neighbours and friends, and a home that wanted for nothing.
209_4731_000005_000008	The simplicity and cheerfulness of her nature, her contented and grateful spirit, were a recommendation to every body, and a mine of felicity to herself.	The simplicity and cheerfulness of her nature, her contented and grateful spirit, were a recommendation to every body, and a mine of felicity to herself.
209_4731_000005_000009	She was a great talker upon little matters, which exactly suited Mr. Woodhouse, full of trivial communications and harmless gossip.	She was a great talker upon little matters, which exactly suited mr Woodhouse, full of trivial communications and harmless gossip.
209_4731_000006_000001	Mrs. Goddard's school was in high repute--and very deservedly; for Highbury was reckoned a particularly healthy spot: she had an ample house and garden, gave the children plenty of wholesome food, let them run about a great deal in the summer, and in winter dressed their chilblains with her own hands.	mrs Goddard's school was in high repute-and very deservedly; for Highbury was reckoned a particularly healthy spot: she had an ample house and garden, gave the children plenty of wholesome food, let them run about a great deal in the summer, and in winter dressed their chilblains with her own hands.
209_4731_000006_000002	It was no wonder that a train of twenty young couple now walked after her to church.	It was no wonder that a train of twenty young couple now walked after her to church.
