803_139753_000000_000000	"And did they catch Nuth?" you ask me, gentle reader.	"And did they catch Nuth?" you ask me, gentle reader.	false	0	6.75	17.396414
803_139753_000001_000000	"Oh, no, my child" (for such a question is childish).	"Oh, no, my child" (for such a question is childish).	false	6.75	13.86	19.282825
803_139753_000001_000001	"Nobody ever catches Nuth."	"Nobody ever catches Nuth."	false	13.86	17.955	17.224266
803_139753_000002_000000	HOW ONE CAME, AS WAS FORETOLD, TO THE CITY OF NEVER	HOW ONE CAME, AS WAS FORETOLD, TO THE CITY OF NEVER	true	17.955	22.21	18
803_139753_000003_000000	The child that played about the terraces and gardens in sight of the Surrey hills never knew that it was he that should come to the Ultimate City, never knew that he should see the Under Pits, the barbicans and the holy minarets of the mightiest city known.	The child that played about the terraces and gardens in sight of the Surrey hills never knew that it was he that should come to the Ultimate City, never knew that he should see the Under Pits, the barbicans and the holy minarets of the mightiest city known.	false	24.44	40.51	14
803_139753_000003_000001	I think of him now as a child with a little red watering-can going about the gardens on a summer's day that lit the warm south country, his imagination delighted with all tales of quite little adventures, and all the while there was reserved for him that feat at which men wonder.	I think of him now as a child with a little red watering can going about the gardens on a summer's day that lit the warm south country, his imagination delighted with all tales of quite little adventures, and all the while there was reserved for him that feat at which men wonder.	true	40.91	59.74	17
803_139753_000004_000000	Looking in other directions, away from the Surrey hills, through all his infancy he saw that precipice that, wall above wall and mountain above mountain, stands at the edge of the World, and in perpetual twilight alone with the Moon and the Sun holds up the inconceivable City of Never.	Looking in other directions, away from the Surrey hills, through all his infancy he saw that precipice that, wall above wall and mountain above mountain, stands at the edge of the World, and in perpetual twilight alone with the Moon and the Sun holds up the inconceivable City of Never.	true	60.77	80.56	18
803_139753_000004_000001	To tread its streets he was destined; prophecy knew it. He had the magic halter, and a worn old rope it was; an old wayfaring woman had given it to him: it had the power to hold any animal whose race had never known captivity, such as the unicorn, the hippogriff Pegasus, dragons and wyverns; but with a lion, giraffe, camel or horse it was useless.	To tread its streets he was destined; prophecy knew it. He had the magic halter, and a worn old rope it was; an old wayfaring woman had given it to him: it had the power to hold any animal whose race had never known captivity, such as the unicorn, the hippogriff Pegasus, dragons and wyverns; but with a lion, giraffe, camel or horse it was useless.	true	81.26	108.76	18.473843
803_139753_000005_000000	How often we have seen that City of Never, that marvel of the Nations! Not when it is night in the World, and we can see no further than the stars; not when the sun is shining where we dwell, dazzling our eyes; but when the sun has set on some stormy days, all at once repentant at evening, and those glittering cliffs reveal themselves which we almost take to be clouds, and it is twilight with us as it is for ever with them, then on their gleaming summits we see those golden domes that overpeer the edges of the World and seem to dance with dignity and calm in that gentle light of evening that is Wonder's native haunt. Then does the City of Never, unvisited and afar, look long at her sister the World.	How often we have seen that City of Never, that marvel of the Nations! Not when it is night in the World, and we can see no further than the stars; not when the sun is shining where we dwell, dazzling our eyes; but when the sun has set on some stormy days, all at once repentant at evening, and those glittering cliffs reveal themselves which we almost take to be clouds, and it is twilight with us as it is for ever with them, then on their gleaming summits we see those golden domes that overpeer the edges of the World and seem to dance with dignity and calm in that gentle light of evening that is Wonder's native haunt. Then does the City of Never, unvisited and afar, look long at her sister the World.	false	109.61	158.92	17
803_139753_000006_000000	It had been prophecied that he should come there.	It had been prophecied that he should come there.	true	159.32	162.07	18.283781
803_139753_000006_000001	They knew it when the pebbles were being made and before the isles of coral were given unto the sea.	They knew it when the pebbles were being made and before the isles of coral were given unto the sea.	true	162.17	168.31	15
803_139753_000006_000002	And thus the prophecy came unto fulfilment and passed into history, and so at length to Oblivion, out of which I drag it as it goes floating by, into which I shall one day tumble.	And thus the prophecy came unto fulfilment and passed into history, and so at length to Oblivion, out of which I drag it as it goes floating by, into which I shall one day tumble.	true	168.53	180.67	19.260168
803_139753_000006_000003	The hippogriffs dance before dawn in the upper air; long before sunrise flashes upon our lawns they go to glitter in light that has not yet come to the World, and as the dawn works up from the ragged hills and the stars feel it they go slanting earthwards, till sunlight touches the tops of the tallest trees, and the hippogriffs alight with a rattle of quills and fold their wings and gallop and gambol away till they come to some prosperous, wealthy, detestable town, and they leap at once from the fields and soar away from the sight of it, pursued by the horrible smoke of it until they come again to the pure blue air.	The hippogriffs dance before dawn in the upper air; long before sunrise flashes upon our lawns they go to glitter in light that has not yet come to the World, and as the dawn works up from the ragged hills and the stars feel it they go slanting earthwards, till sunlight touches the tops of the tallest trees, and the hippogriffs alight with a rattle of quills and fold their wings and gallop and gambol away till they come to some prosperous, wealthy, detestable town, and they leap at once from the fields and soar away from the sight of it, pursued by the horrible smoke of it until they come again to the pure blue air.	false	181.4	221.08	19
803_139753_000007_000000	He whom prophecy had named from of old to come to the City of Never, went down one midnight with his magic halter to a lake-side where the hippogriffs alighted at dawn, for the turf was soft there and they could gallop far before they came to a town, and there he waited hidden near their hoofmarks.	He whom prophecy had named from of old to come to the City of Never, went down one midnight with his magic halter to a lake side where the hippogriffs alighted at dawn, for the turf was soft there and they could gallop far before they came to a town, and there he waited hidden near their hoofmarks.	false	221.78	240.55	18.78857
803_139753_000007_000001	And the stars paled a little and grew indistinct; but there was no other sign as yet of the dawn, when there appeared far up in the deeps of the night two little saffron specks, then four and five: it was the hippogriffs dancing and twirling around in the sun.	And the stars paled a little and grew indistinct; but there was no other sign as yet of the dawn, when there appeared far up in the deeps of the night two little saffron specks, then four and five: it was the hippogriffs dancing and twirling around in the sun	true	241.64	258.94	19.54708
803_139753_000007_000002	Another flock joined them, there were twelve of them now; they danced there, flashing their colours back to the sun, they descended in wide curves slowly; trees down on earth revealed against the sky, jet-black each delicate twig; a star disappeared from a cluster, now another; and dawn came on like music, like a new song. Ducks shot by to the lake from still dark fields of corn, far voices uttered, a colour grew upon water, and still the hippogriffs gloried in the light, revelling up in the sky; but when pigeons stirred on the branches and the first small bird was abroad, and little coots from the rushes ventured to peer about, then there came down on a sudden with a thunder of feathers the hippogriffs, and, as they landed from their celestial heights all bathed with the day's first sunlight, the man whose destiny it was as from of old to come to the City of Never, sprang up and caught the last with the magic halter.	Another flock joined them, there were twelve of them now; they danced there, flashing their colours back to the sun, they descended in wide curves slowly; trees down on earth revealed against the sky, jet black each delicate twig; a star disappeared from a cluster, now another; and dawn came on like music, like a new song. Ducks shot by to the lake from still dark fields of corn, far voices uttered, a colour grew upon water, and still the hippogriffs gloried in the light, revelling up in the sky; but when pigeons stirred on the branches and the first small bird was abroad, and little coots from the rushes ventured to peer about, then there came down on a sudden with a thunder of feathers the hippogriffs, and, as they landed from their celestial heights all bathed with the day's first sunlight, the man whose destiny it was as from of old to come to the City of Never, sprang up and caught the last with the magic halter.	false	259.19	324.4	19.319914
803_139753_000007_000003	It plunged, but could not escape it, for the hippogriffs are of the uncaptured races, and magic has power over the magical, so the man mounted it, and it soared again for the heights whence it had come, as a wounded beast goes home.	It plunged, but could not escape it, for the hippogriffs are of the uncaptured races, and magic has power over the magical, so the man mounted it, and it soared again for the heights whence it had come, as a wounded beast goes home.	false	324.92	341.62	18.77411
803_139753_000007_000004	But when they came to the heights that venturous rider saw huge and fair to the left of him the destined City of Never, and he beheld the towers of Lel and Lek, Neerib and Akathooma, and the cliffs of Toldenarba a-glistening in the twilight like an alabaster statue of the Evening.	But when they came to the heights that venturous rider saw huge and fair to the left of him the destined City of Never, and he beheld the towers of Lel and Lek, Neerib and Akathooma, and the cliffs of Toldenarba a glistening in the twilight like an alabaster statue of the Evening.	false	341.81	362.98	18.678185
803_139753_000007_000005	Towards them he wrenched the halter, towards Toldenarba and the Under Pits; the wings of the hippogriff roared as the halter turned him.	Towards them he wrenched the halter, towards Toldenarba and the Under Pits; the wings of the hippogriff roared as the halter turned him.	true	363.23	372.46	18.025827
