8075_279239_000000_000000	XI	XI	false	7.74	8.76	24.081192
8075_279239_000001_000000	A PIECE OF ROAST BEEF	A PIECE OF ROAST BEEF	true	8.76	10.72	21.80516
8075_279239_000002_000000	Personally, I class roast beef with watercress and vanilla cornstarch pudding as tasty articles of diet.	Personally, I class roast beef with watercress and vanilla cornstarch pudding as tasty articles of diet.	true	11.42	19.75	24.719591
8075_279239_000002_000001	It undoubtedly has more than the required number of calories; it leans over backward in its eagerness to stand high among our best proteins, and, according to a vivid chart in the back of the cookbook, it is equal in food value to three dried raisins piled one on the other plus peanut-butter the size of an egg.	It undoubtedly has more than the required number of calories; it leans over backward in its eagerness to stand high among our best proteins, and, according to a vivid chart in the back of the cookbook, it is equal in food value to three dried raisins piled one on the other plus peanut butter the size of an egg.	false	20.45	40.45	22.599407
8075_279239_000003_000000	But for all that I can't seem to feel that I am having a good time while I am eating it.	But for all that I can't seem to feel that I am having a good time while I am eating it.	true	41.06	45.76	23
8075_279239_000003_000001	It stimulates the same nerve centers in me that a lantern-slide lecture on "Palestine--the Old and the New," does.	It stimulates the same nerve centers in me that a lantern slide lecture on "Palestine-the Old and the New," does.	true	46.13	54.19	21.298275
8075_279239_000004_000000	However, I have noticed that there are people who are not bored by it; in fact, I have seen them deliberately order it in a restaurant when they had the choice of something else; so I thought that the only fair thing I could do would be to look into the matter and see if, in this great city, there weren't some different ways of serving roast beef to vary its monotony.	However, I have noticed that there are people who are not bored by it; in fact, I have seen them deliberately order it in a restaurant when they had the choice of something else; so I thought that the only fair thing I could do would be to look into the matter and see if, in this great city, there weren't some different ways of serving roast beef to vary its monotony.	true	54.65	76	25.22217
8075_279239_000005_000000	Roast beef is not the same price in all eating-places.	Roast beef is not the same price in all eating places.	true	76.97	80.59	21.380344
8075_279239_000005_000001	What makes the difference?	What makes the difference?	true	80.93	82.6	25.45665
8075_279239_000005_000002	What does a diner at the Ritz get in his "roast prime ribs of beef au jus" that makes it distinctive from the "Special to-day--roast beef and mashed potatoes" of the Bowery restaurant?	What does a diner at the Ritz get in his "roast prime ribs of beef au jus" that makes it distinctive from the "Special to day-roast beef and mashed potatoes" of the Bowery restaurant?	false	82.79	95.86	23.598478
8075_279239_000006_000000	To answer these questions I started out on a tour of the representative eating-places of some of our best known strata of society, and, whatever my conclusions are, you may be sure that they are thoroughly inexpert.	To answer these questions I started out on a tour of the representative eating places of some of our best known strata of society, and, whatever my conclusions are, you may be sure that they are thoroughly inexpert.	true	96.41	110.38	23.433002
8075_279239_000007_000000	First, I tried out what is known as the Bay State Lunch, so called because on Thursdays they have a fishcake special.	First, I tried out what is known as the Bay State Lunch, so called because on Thursdays they have a fishcake special.	true	111.02	118.92	22.938772
8075_279239_000007_000001	It is one of the hundreds of "self-serving" lunchrooms, where you approach the marble counter and give your order in a low tone to a man in a barber's coat, and then repeat it at intervals of one minute, each time louder and each time to a different man, until you are forced to point to a tub of salmon salad and say, "Some of that," for which your ticket is punched and you are allowed to take your portion and nurse it on the over-developed arm of a chair.	It is one of the hundreds of "self serving" lunchrooms, where you approach the marble counter and give your order in a low tone to a man in a barber's coat, and then repeat it at intervals of one minute, each time louder and each time to a different man, until you are forced to point to a tub of salmon salad and say, "Some of that," for which your ticket is punched and you are allowed to take your portion and nurse it on the over developed arm of a chair.	false	118.92	146.02	22.648876
8075_279239_000008_000000	Here the roast beef shot through the Punch and Judy arrangement in the wall, a piece of meat about as large around as a man's-size mitten, steeping in its own gravy and of a pale reddish hue.	Here the roast beef shot through the Punch and Judy arrangement in the wall, a piece of meat about as large around as a man's size mitten, steeping in its own gravy and of a pale reddish hue.	true	147.02	160.18	21.907743
8075_279239_000008_000001	The price was twenty cents, which included a dab of mashed potato dished out in an ice-cream scoop, a generous allowance of tender peas, two hot tea-biscuits and butter to match.	The price was twenty cents, which included a dab of mashed potato dished out in an ice cream scoop, a generous allowance of tender peas, two hot tea biscuits and butter to match.	true	160.88	172.71	22.541594
8075_279239_000009_000000	[Illustration: "Considering the basic ingredient, it was a perfectly satisfactory meal."]	[Illustration: "Considering the basic ingredient, it was a perfectly satisfactory meal."]	false	172.71	178.05	21.232466
