8075_279239_000001_000000	A PIECE OF ROAST BEEF	A PIECE OF ROAST BEEF
8075_279239_000002_000000	Personally, I class roast beef with watercress and vanilla cornstarch pudding as tasty articles of diet.	Personally, I class roast beef with watercress and vanilla cornstarch pudding as tasty articles of diet.
8075_279239_000003_000000	But for all that I can't seem to feel that I am having a good time while I am eating it.	But for all that I can't seem to feel that I am having a good time while I am eating it.
8075_279239_000003_000001	It stimulates the same nerve centers in me that a lantern-slide lecture on "Palestine--the Old and the New," does.	It stimulates the same nerve centers in me that a lantern slide lecture on "Palestine-the Old and the New," does.
8075_279239_000005_000000	Roast beef is not the same price in all eating-places.	Roast beef is not the same price in all eating places.
8075_279239_000005_000001	What makes the difference?	What makes the difference?
8075_279239_000006_000000	To answer these questions I started out on a tour of the representative eating-places of some of our best known strata of society, and, whatever my conclusions are, you may be sure that they are thoroughly inexpert.	To answer these questions I started out on a tour of the representative eating places of some of our best known strata of society, and, whatever my conclusions are, you may be sure that they are thoroughly inexpert.
8075_279239_000007_000000	First, I tried out what is known as the Bay State Lunch, so called because on Thursdays they have a fishcake special.	First, I tried out what is known as the Bay State Lunch, so called because on Thursdays they have a fishcake special.
8075_279239_000008_000000	Here the roast beef shot through the Punch and Judy arrangement in the wall, a piece of meat about as large around as a man's-size mitten, steeping in its own gravy and of a pale reddish hue.	Here the roast beef shot through the Punch and Judy arrangement in the wall, a piece of meat about as large around as a man's size mitten, steeping in its own gravy and of a pale reddish hue.
8075_279239_000008_000001	The price was twenty cents, which included a dab of mashed potato dished out in an ice-cream scoop, a generous allowance of tender peas, two hot tea-biscuits and butter to match.	The price was twenty cents, which included a dab of mashed potato dished out in an ice cream scoop, a generous allowance of tender peas, two hot tea biscuits and butter to match.
8075_279239_000011_000000	For the next experiment I went to a restaurant where business men are wont to gather for luncheon, men who pride themselves on their acumen and adherence to the principles of efficiency.	For the next experiment I went to a restaurant where business men are wont to gather for luncheon, men who pride themselves on their acumen and adherence to the principles of efficiency.
8075_279239_000011_000001	The place has a French name and its menus are printed on a card the size of a life insurance company's complimentary calendar, always an ominous sign.	The place has a French name and its menus are printed on a card the size of a life insurance company's complimentary calendar, always an ominous sign.
8075_279239_000011_000002	The roast beef here was served cold, with a plate of escarole salad (when I was a boy I used to have to dig escarole out of the front lawn with a trowel so that the grass could have a chance) for seventy-five cents.	The roast beef here was served cold, with a plate of escarole salad (when I was a boy I used to have to dig escarole out of the front lawn with a trowel so that the grass could have a chance) for seventy five cents.
8075_279239_000012_000000	The meat bulked a little larger than at the Bay State Lunch, but when the fat had been cut away and trimmed off the salvage was about the size of a boy's mitten.	The meat bulked a little larger than at the Bay State Lunch, but when the fat had been cut away and trimmed off the salvage was about the size of a boy's mitten.
8075_279239_000012_000001	As for the taste, the only difference that I could detect was that one had been hot and the other cold.	As for the taste, the only difference that I could detect was that one had been hot and the other cold.
8075_279239_000013_000001	Beef and salad, plus tip, ninety cents.	Beef and salad, plus tip, ninety cents.
8075_279239_000014_000002	I said to myself: "Look here!	I said to myself: "Look here!
8075_279239_000014_000004	This thing is getting the best of you." But before I knew it I was inside and seated at an oilcloth-covered table, saying, in a hoarse voice, "Roast beef!"	This thing is getting the best of you." But before I knew it I was inside and seated at an oilcloth covered table, saying, in a hoarse voice, "Roast beef!"
8075_279239_000015_000001	The article itself was of the regulation size, cut somewhat thinner, perhaps, and bordering on the gray in hue, but undoubtedly roast beef.	The article itself was of the regulation size, cut somewhat thinner, perhaps, and bordering on the gray in hue, but undoubtedly roast beef.
8075_279239_000015_000002	It, too, had an affinity for its own gravy and hid itself modestly under an avalanche of mashed potatoes.	It, too, had an affinity for its own gravy and hid itself modestly under an avalanche of mashed potatoes.
8075_279239_000015_000003	A cup of coffee was also included in the ten cents' initial expense, but I somehow wasn't coffee-thirsty that night, and so didn't sample it.	A cup of coffee was also included in the ten cents' initial expense, but I somehow wasn't coffee thirsty that night, and so didn't sample it.
8075_279239_000015_000004	But I did help myself to the plate piled high with fresh bread which was left in front of me.	But I did help myself to the plate piled high with fresh bread which was left in front of me.
8075_279239_000015_000005	All in all, it was what I should call a representative roast beef dinner.	All in all, it was what I should call a representative roast beef dinner.
8075_279239_000015_000006	And I got more than ten cents' worth of calories, I know.	And I got more than ten cents' worth of calories, I know.
8075_279239_000016_000000	But so far I had kept below the Fourteenth Street belt in my investigations.	But so far I had kept below the Fourteenth Street belt in my investigations.
