5684_46240_000000_000000	CHAPTER IX.	CHAPTER nine.	false	0	0.63	1
5684_46240_000001_000000	SECONDARY SEXUAL CHARACTERS IN THE LOWER CLASSES OF THE ANIMAL KINGDOM.	SECONDARY SEXUAL CHARACTERS IN THE LOWER CLASSES OF THE ANIMAL KINGDOM.	false	0.63	6.03	21.488775
5684_46240_000002_000000	These characters absent in the lowest classes--Brilliant colours--Mollusca --Annelids--Crustacea, secondary sexual characters strongly developed; dimorphism; colour; characters not acquired before maturity--Spiders, sexual colours of; stridulation by the males--Myriapoda.	These characters absent in the lowest classes-Brilliant colours-Mollusca --Annelids-Crustacea, secondary sexual characters strongly developed; dimorphism; colour; characters not acquired before maturity-Spiders, sexual colours of; stridulation by the males-Myriapoda.	false	6.03	27.48	21.13363
5684_46240_000003_000000	With animals belonging to the lower classes, the two sexes are not rarely united in the same individual, and therefore secondary sexual characters cannot be developed.	With animals belonging to the lower classes, the two sexes are not rarely united in the same individual, and therefore secondary sexual characters cannot be developed.	true	27.48	37	18.963842
5684_46240_000003_000001	In many cases where the sexes are separate, both are permanently attached to some support, and the one cannot search or struggle for the other.	In many cases where the sexes are separate, both are permanently attached to some support, and the one cannot search or struggle for the other.	true	37.07	45.31	23.801735
5684_46240_000003_000002	Moreover it is almost certain that these animals have too imperfect senses and much too low mental powers to appreciate each other's beauty or other attractions, or to feel rivalry.	Moreover it is almost certain that these animals have too imperfect senses and much too low mental powers to appreciate each other's beauty or other attractions, or to feel rivalry.	true	45.56	56.29	22.014187
5684_46240_000004_000000	Hence in these classes or sub-kingdoms, such as the Protozoa, Coelenterata, Echinodermata, Scolecida, secondary sexual characters, of the kind which we have to consider, do not occur: and this fact agrees with the belief that such characters in the higher classes have been acquired through sexual selection, which depends on the will, desire, and choice of either sex. Nevertheless some few apparent exceptions occur; thus, as I hear from Dr. Baird, the males of certain Entozoa, or internal parasitic worms, differ slightly in colour from the females; but we have no reason to suppose that such differences have been augmented through sexual selection. Contrivances by which the male holds the female, and which are indispensable for the propagation of the species, are independent of sexual selection, and have been acquired through ordinary selection.	Hence in these classes or sub kingdoms, such as the Protozoa, Coelenterata, Echinodermata, Scolecida, secondary sexual characters, of the kind which we have to consider, do not occur: and this fact agrees with the belief that such characters in the higher classes have been acquired through sexual selection, which depends on the will, desire, and choice of either sex. Nevertheless some few apparent exceptions occur; thus, as I hear from dr Baird, the males of certain Entozoa, or internal parasitic worms, differ slightly in colour from the females; but we have no reason to suppose that such differences have been augmented through sexual selection. Contrivances by which the male holds the female, and which are indispensable for the propagation of the species, are independent of sexual selection, and have been acquired through ordinary selection.	false	56.93	103.78	21.126709
5684_46240_000005_000000	Many of the lower animals, whether hermaphrodites or with separate sexes, are ornamented with the most brilliant tints, or are shaded and striped in an elegant manner; for instance, many corals and sea-anemones (Actiniae), some jelly-fish (Medusae, Porpita, etc.), some Planariae, many star-fishes, Echini, Ascidians, etc.; but we may conclude from the reasons already indicated, namely, the union of the two sexes in some of these animals, the permanently affixed condition of others, and the low mental powers of all, that such colours do not serve as a sexual attraction, and have not been acquired through sexual selection.	Many of the lower animals, whether hermaphrodites or with separate sexes, are ornamented with the most brilliant tints, or are shaded and striped in an elegant manner; for instance, many corals and sea anemones (Actiniae), some jelly fish (Medusae, Porpita, etc), some Planariae, many star fishes, Echini, Ascidians, etc; but we may conclude from the reasons already indicated, namely, the union of the two sexes in some of these animals, the permanently affixed condition of others, and the low mental powers of all, that such colours do not serve as a sexual attraction, and have not been acquired through sexual selection.	false	104.42	136.99	21.873796
5684_46240_000005_000001	It should be borne in mind that in no case have we sufficient evidence that colours have been thus acquired, except where one sex is much more brilliantly or conspicuously coloured than the other, and where there is no difference in habits between the sexes sufficient to account for their different colours.	It should be borne in mind that in no case have we sufficient evidence that colours have been thus acquired, except where one sex is much more brilliantly or conspicuously coloured than the other, and where there is no difference in habits between the sexes sufficient to account for their different colours.	true	137.12	152.59	20.631218
5684_46240_000005_000002	But the evidence is rendered as complete as it can ever be, only when the more ornamented individuals, almost always the males, voluntarily display their attractions before the other sex; for we cannot believe that such display is useless, and if it be advantageous, sexual selection will almost inevitably follow. We may, however, extend this conclusion to both sexes, when coloured alike, if their colours are plainly analogous to those of one sex alone in certain other species of the same group.	But the evidence is rendered as complete as it can ever be, only when the more ornamented individuals, almost always the males, voluntarily display their attractions before the other sex; for we cannot believe that such display is useless, and if it be advantageous, sexual selection will almost inevitably follow. We may, however, extend this conclusion to both sexes, when coloured alike, if their colours are plainly analogous to those of one sex alone in certain other species of the same group.	true	153.38	181	20.025335
5684_46240_000006_000000	How, then, are we to account for the beautiful or even gorgeous colours of many animals in the lowest classes?	How, then, are we to account for the beautiful or even gorgeous colours of many animals in the lowest classes?	true	181.19	186.88	15
5684_46240_000006_000001	It appears doubtful whether such colours often serve as a protection; but that we may easily err on this head, will be admitted by every one who reads Mr. Wallace's excellent essay on this subject.	It appears doubtful whether such colours often serve as a protection; but that we may easily err on this head, will be admitted by every one who reads mr Wallace's excellent essay on this subject.	false	187.07	197.38	18.769493
5684_46240_000006_000002	It would not, for instance, at first occur to any one that the transparency of the Medusae, or jelly-fish, is of the highest service to them as a protection; but when we are reminded by Haeckel that not only the Medusae, but many floating Mollusca, crustaceans, and even small oceanic fishes partake of this same glass-like appearance, often accompanied by prismatic colours, we can hardly doubt that they thus escape the notice of pelagic birds and other enemies.	It would not, for instance, at first occur to any one that the transparency of the Medusae, or jelly fish, is of the highest service to them as a protection; but when we are reminded by Haeckel that not only the Medusae, but many floating Mollusca, crustaceans, and even small oceanic fishes partake of this same glass like appearance, often accompanied by prismatic colours, we can hardly doubt that they thus escape the notice of pelagic birds and other enemies.	true	197.57	222.06	20.537525
5684_46240_000006_000003	M. Giard is also convinced (1. 'Archives de Zoolog.	M. Giard is also convinced (one. 'Archives de Zoolog.	false	222.06	225	14.624116
5684_46240_000006_000004	Exper.' Oct. 1872, p. 563.) that the bright tints of certain sponges and ascidians serve as a protection.	Exper.' october eighteen seventy two, p. five hundred sixty three.) that the bright tints of certain sponges and ascidians serve as a protection.	false	225	229.15	18
5684_46240_000006_000005	Conspicuous colours are likewise beneficial to many animals as a warning to their would-be devourers that they are distasteful, or that they possess some special means of defence; but this subject will be discussed more conveniently hereafter.	Conspicuous colours are likewise beneficial to many animals as a warning to their would be devourers that they are distasteful, or that they possess some special means of defence; but this subject will be discussed more conveniently hereafter.	true	229.28	242.26	21
