8771_294523_000000_000000	He went to Paris, was loaded with honors, and given post after post in the service of his country.	He went to Paris, was loaded with honors, and given post after post in the service of his country.	false	0	3	25.324392
8771_294523_000000_000001	For a time he proved a great defender of his people, for a time he served the Republic as no other man could; but when defense was no longer needed he could not sheathe his sword, he had to use it for attack whether the cause were just or not.	For a time he proved a great defender of his people, for a time he served the Republic as no other man could; but when defense was no longer needed he could not sheathe his sword, he had to use it for attack whether the cause were just or not.	false	3	11.49	20.910318
8771_294523_000000_000002	As he won victory after victory and tasted power he discarded even the Republic that had made him, and placed himself upon the throne as Emperor.	As he won victory after victory and tasted power he discarded even the Republic that had made him, and placed himself upon the throne as Emperor.	false	11.49	11.49	
8771_294523_000001_000000	That same love of power which had made him was also his undoing.	That same love of power which had made him was also his undoing.	false	11.49	11.49	
8771_294523_000001_000001	He could not rest content with what he had.	He could not rest content with what he had.	false	11.49	11.49	
8771_294523_000001_000002	As he had predicted to Monsieur Pichegru that afternoon at Brienne he would have his own way, and very much as he had treated his schoolfellows there he later grew to treat the nations of Europe.	As he had predicted to Monsieur Pichegru that afternoon at Brienne he would have his own way, and very much as he had treated his schoolfellows there he later grew to treat the nations of Europe.	false	11.49	14.97	24
8771_294523_000001_000003	As a result they, like his playfellows, combined against him, and sent him down finally among the privates.	As a result they, like his playfellows, combined against him, and sent him down finally among the privates.	false	14.97	21.075	25.02738
8771_294523_000002_000000	XV	fifteen	true	21.075	22.11	17.56172
8771_294523_000003_000000	Walter Scott	Walter Scott	true	22.11	23.32	26.392588
8771_294523_000004_000000	The Boy of the Canongate: 1771-1832	The Boy of the Canongate: seventeen seventy one to eighteen thirty two	true	23.45	29.05	21.738544
8771_294523_000005_000000	The business office of a Scotch solicitor is not an especially cheerful place at any time, and the interior of such a room looked particularly cheerless on a late winter afternoon in Edinburgh in 1786.	The business office of a Scotch solicitor is not an especially cheerful place at any time, and the interior of such a room looked particularly cheerless on a late winter afternoon in Edinburgh in seventeen eighty six.	false	29.36	43.27	22.70936
8771_294523_000005_000001	A boy of fifteen sat on a high stool at an old oak desk, and watched the snow falling in the street.	A boy of fifteen sat on a high stool at an old oak desk, and watched the snow falling in the street.	true	43.43	50.98	22.17177
8771_294523_000005_000002	Occasionally he could see people passing the windows: men and women wrapped to their ears in plaid shawls, for the wind whistled down the street so loudly that the boy could hear it, and the cold was bitter.	Occasionally he could see people passing the windows: men and women wrapped to their ears in plaid shawls, for the wind whistled down the street so loudly that the boy could hear it, and the cold was bitter.	false	51.08	63.94	19
8771_294523_000006_000000	The boy looked through the window until he almost felt the chill himself, and then, to keep warm, held his head in his hands and fastened his eyes on the big, heavy-leaved book in front of him, which bore the unappealing title, Erskine's "Institutes." The type was fine, and the young student had to read each line a dozen times before he could understand it.	The boy looked through the window until he almost felt the chill himself, and then, to keep warm, held his head in his hands and fastened his eyes on the big, heavy leaved book in front of him, which bore the unappealing title, Erskine's "Institutes." The type was fine, and the young student had to read each line a dozen times before he could understand it.	false	64.79	87.58	21.46773
8771_294523_000006_000001	Sometimes his eyes would involuntarily close and he would doze a few moments, only to wake with a start to look quickly at another desk near the fire where his father sat steadily writing, and then to a table in the corner where a very old man was always sorting papers.	Sometimes his eyes would involuntarily close and he would doze a few moments, only to wake with a start to look quickly at another desk near the fire where his father sat steadily writing, and then to a table in the corner where a very old man was always sorting papers.	false	87.83	104.56	20
8771_294523_000007_000000	The winter light grew dim, so dim that the boy could no longer see to read.	The winter light grew dim, so dim that the boy could no longer see to read.	true	105.8	110.5	19
8771_294523_000007_000001	He closed the book with a bang.	He closed the book with a bang.	true	110.51	112.38	22.880217
8771_294523_000008_000000	"Father."	"Father."	true	112.38	113.32	29.860569
8771_294523_000009_000000	"Yes, Walter, lad?"	"Yes, Walter, lad?"	true	113.63	115.3	25.893589
8771_294523_000009_000001	The lawyer looked up from his writing, and smiled at the figure on the high stool.	The lawyer looked up from his writing, and smiled at the figure on the high stool.	true	115.85	119.92	23.972607
8771_294523_000010_000000	"I'd best be going home; there's no more light here to see by."	"I'd best be going home; there's no more light here to see by."	true	120.2	123.79	23.860113
8771_294523_000011_000000	"A good reason, Walter.	"A good reason, Walter.	true	124.16	125.68	18.14128
8771_294523_000011_000001	Wrap yourself up warm, for the night is cold."	Wrap yourself up warm, for the night is cold."	true	125.75	128.53	22.504166
8771_294523_000012_000000	Young Walter slid down from his seat, and stretched his arms and legs to cure the stiffness in them.	Young Walter slid down from his seat, and stretched his arms and legs to cure the stiffness in them.	false	128.72	134.23	22
