8742_245707_000000_000000	Reply Obj. 5: According to Augustine (Gen. ad lit.	Reply o b j. five: According to Augustine (Gen. ad lit.	false	0	4.17	20.19488
8742_245707_000000_000001	iv, 34), the works of the six days were done all at one time; wherefore according to him man's soul, which he holds to have been made with the angels, was not made before the sixth day; but on the sixth day both the soul of the first man was made actually, and his body in its causal elements.	i v, thirty four), the works of the six days were done all at one time; wherefore according to him man's soul, which he holds to have been made with the angels, was not made before the sixth day; but on the sixth day both the soul of the first man was made actually, and his body in its causal elements.	false	4.17	24.84	22.005178
8742_245707_000000_000002	But other doctors hold that on the sixth day both body and soul of man were actually made. _______________________	But other doctors hold that on the sixth day both body and soul of man were actually made. , blank ,	false	24.84	29.64	19.851315
8742_245707_000001_000000	QUESTION 92	QUESTION ninety two	false	29.64	31.29	21.162933
8742_245707_000002_000000	THE PRODUCTION OF THE WOMAN (In Four Articles)	THE PRODUCTION OF THE WOMAN (In Four Articles)	true	31.29	34.18	21.811123
8742_245707_000003_000000	We must next consider the production of the woman.	We must next consider the production of the woman.	true	35.12	37.9	22.254732
8742_245707_000003_000001	Under this head there are four points of inquiry:	Under this head there are four points of inquiry:	true	38.15	41.14	20.789442
8742_245707_000004_000000	(1) Whether the woman should have been made in that first production of things?	(one) Whether the woman should have been made in that first production of things?	true	41.54	46.3	21.20592
8742_245707_000005_000000	(2) Whether the woman should have been made from man?	(two) Whether the woman should have been made from man?	true	46.88	50.38	20.465683
8742_245707_000006_000000	(3) Whether of man's rib?	(three) Whether of man's rib?	true	50.93	53.59	20.858511
8742_245707_000007_000000	(4) Whether the woman was made immediately by God? _______________________	(four) Whether the woman was made immediately by God? , blank ,	false	53.96	59.52	21.224695
8742_245707_000008_000000	FIRST ARTICLE [I, Q. 92, Art. 1]	FIRST ARTICLE [I, q ninety two, Art. one]	false	59.52	64.9	24.326792
8742_245707_000009_000000	Whether the Woman Should Have Been Made in the First Production of Things?	Whether the Woman Should Have Been Made in the First Production of Things?	true	65.39	69.07	20.32982
8742_245707_000010_000000	Objection 1: It would seem that the woman should not have been made in the first production of things.	Objection one: It would seem that the woman should not have been made in the first production of things.	true	69.65	75.76	20.813984
