6080_58012_000000_000000	WHAT CO-PARTNERSHIP CAN DO	WHAT c o PARTNERSHIP CAN DO	false	10.68	25.47	23.059505
6080_58012_000001_000000	PHILIP DRU: ADMINISTRATOR	PHILIP DRU: ADMINISTRATOR	false	25.47	59.955	23.708717
6080_58012_000002_000000	CHAPTER I	CHAPTER one	true	59.955	61.15	31.991585
6080_58012_000003_000000	GRADUATION DAY	GRADUATION DAY	true	61.37	62.92	22.401863
6080_58012_000004_000000	In the year 1920, the student and the statesman saw many indications that the social, financial and industrial troubles that had vexed the United States of America for so long a time were about to culminate in civil war.	In the year nineteen twenty, the student and the statesman saw many indications that the social, financial and industrial troubles that had vexed the United States of America for so long a time were about to culminate in civil war.	true	63.59	78.61	22.529705
6080_58012_000005_000000	Wealth had grown so strong, that the few were about to strangle the many, and among the great masses of the people, there was sullen and rebellious discontent.	Wealth had grown so strong, that the few were about to strangle the many, and among the great masses of the people, there was sullen and rebellious discontent.	true	78.98	88.48	24.255224
6080_58012_000006_000000	The laborer in the cities, the producer on the farm, the merchant, the professional man and all save organized capital and its satellites, saw a gloomy and hopeless future.	The laborer in the cities, the producer on the farm, the merchant, the professional man and all save organized capital and its satellites, saw a gloomy and hopeless future.	true	88.85	100.54	22.143108
6080_58012_000007_000000	With these conditions prevailing, the graduation exercises of the class of 1920 of the National Military Academy at West Point, held for many a foreboding promise of momentous changes, but the 12th of June found the usual gay scene at the great institution overlooking the Hudson.	With these conditions prevailing, the graduation exercises of the class of nineteen twenty of the National Military Academy at West Point, held for many a foreboding promise of momentous changes, but the twelfth of June found the usual gay scene at the great institution overlooking the Hudson.	true	101.03	119.83	22.268959
6080_58012_000007_000001	The President of the Republic, his Secretary of War and many other distinguished guests were there to do honor to the occasion, together with friends, relatives and admirers of the young men who were being sent out to the ultimate leadership of the Nation's Army.	The President of the Republic, his Secretary of War and many other distinguished guests were there to do honor to the occasion, together with friends, relatives and admirers of the young men who were being sent out to the ultimate leadership of the Nation's Army.	false	120.35	136.78	22.666391
6080_58012_000007_000002	The scene had all the usual charm of West Point graduations, and the usual intoxicating atmosphere of military display.	The scene had all the usual charm of West Point graduations, and the usual intoxicating atmosphere of military display.	true	137.18	145.36	23.10426
6080_58012_000008_000000	There was among the young graduating soldiers one who seemed depressed and out of touch with the triumphant blare of militarism, for he alone of his fellow classmen had there no kith nor kin to bid him God-speed in his new career.	There was among the young graduating soldiers one who seemed depressed and out of touch with the triumphant blare of militarism, for he alone of his fellow classmen had there no kith nor kin to bid him God speed in his new career.	true	145.67	161.29	22.281406
