6544_231862_000000_000000	WHO FELL INTO THE TRAP?	w h o FELL INTO THE TRAP?	false	9.24	22.75	22.31107
6544_231862_000001_000000	However closely one may study the fair sex, there is no understanding them in the least.	However closely one may study the fair sex, there is no understanding them in the least.	true	23.6	28.3	21.446754
6544_231862_000001_000001	No one can say how a woman will act in a given situation; for feminine actions are based less on logical foundations than on the emotion of the moment.	No one can say how a woman will act in a given situation; for feminine actions are based less on logical foundations than on the emotion of the moment.	true	28.37	36.37	19.806599
6544_231862_000002_000000	Diana had never liked Lydia; when the American girl became her stepmother she hated her, and not only said as much but showed in her every action that she believed what she said.	Diana had never liked Lydia; when the American girl became her stepmother she hated her, and not only said as much but showed in her every action that she believed what she said.	true	36.71	45.55	21.343023
6544_231862_000002_000001	She declared that she would be glad to see Lydia deprived of her money and put into jail!	She declared that she would be glad to see Lydia deprived of her money and put into jail!	true	45.86	50.14	18.641592
6544_231862_000002_000002	The punishment would be no more than she deserved.	The punishment would be no more than she deserved.	true	50.24	52.69	21.678774
6544_231862_000003_000000	Yet when these things came to pass; when, by the discovery that Vrain yet lived, Lydia lost her liberty; and when, as connected with the conspiracy, she was arrested on a criminal warrant and put into prison, Diana was the only friend she had.	Yet when these things came to pass; when, by the discovery that Vrain yet lived, Lydia lost her liberty; and when, as connected with the conspiracy, she was arrested on a criminal warrant and put into prison, Diana was the only friend she had.	true	53.09	66.7	22.254942
6544_231862_000003_000001	Miss Vrain declared that her stepmother was innocent, visited her in prison, and engaged a lawyer to defend her.	Miss Vrain declared that her stepmother was innocent, visited her in prison, and engaged a lawyer to defend her.	true	66.89	72.34	21.368816
6544_231862_000003_000002	Lucian could not forbear pointing out the discrepancy between Diana's past sentiments and her present actions; but Miss Vrain was quite ready with an excuse.	Lucian could not forbear pointing out the discrepancy between Diana's past sentiments and her present actions; but Miss Vrain was quite ready with an excuse.	true	72.53	80.32	21
6544_231862_000004_000000	"I am only doing my duty," she said.	"I am only doing my duty," she said.	true	80.72	83.02	24.012886
6544_231862_000004_000001	"In herself I like Lydia as little as ever I did, but I think we have suspected her wrongly in being connected with this conspiracy, so I wish to help her if possible.	"In herself I like Lydia as little as ever I did, but I think we have suspected her wrongly in being connected with this conspiracy, so I wish to help her if possible.	true	83.12	92.17	22.301435
6544_231862_000004_000002	And after all," added Diana, "she is my father's wife," as if that fact extenuated all.	And after all," added Diana, "she is my father's wife," as if that fact extenuated all.	true	92.57	98.68	22.79347
6544_231862_000005_000000	"He has reason to know it," replied Lucian bitterly.	"He has reason to know it," replied Lucian bitterly.	true	98.9	102.07	21.009668
