6544_231862_000001_000000	However closely one may study the fair sex, there is no understanding them in the least.	However closely one may study the fair sex, there is no understanding them in the least.
6544_231862_000002_000000	Diana had never liked Lydia; when the American girl became her stepmother she hated her, and not only said as much but showed in her every action that she believed what she said.	Diana had never liked Lydia; when the American girl became her stepmother she hated her, and not only said as much but showed in her every action that she believed what she said.
6544_231862_000002_000002	The punishment would be no more than she deserved.	The punishment would be no more than she deserved.
6544_231862_000003_000000	Yet when these things came to pass; when, by the discovery that Vrain yet lived, Lydia lost her liberty; and when, as connected with the conspiracy, she was arrested on a criminal warrant and put into prison, Diana was the only friend she had.	Yet when these things came to pass; when, by the discovery that Vrain yet lived, Lydia lost her liberty; and when, as connected with the conspiracy, she was arrested on a criminal warrant and put into prison, Diana was the only friend she had.
6544_231862_000003_000001	Miss Vrain declared that her stepmother was innocent, visited her in prison, and engaged a lawyer to defend her.	Miss Vrain declared that her stepmother was innocent, visited her in prison, and engaged a lawyer to defend her.
6544_231862_000003_000002	Lucian could not forbear pointing out the discrepancy between Diana's past sentiments and her present actions; but Miss Vrain was quite ready with an excuse.	Lucian could not forbear pointing out the discrepancy between Diana's past sentiments and her present actions; but Miss Vrain was quite ready with an excuse.
6544_231862_000004_000000	"I am only doing my duty," she said.	"I am only doing my duty," she said.
6544_231862_000004_000001	"In herself I like Lydia as little as ever I did, but I think we have suspected her wrongly in being connected with this conspiracy, so I wish to help her if possible.	"In herself I like Lydia as little as ever I did, but I think we have suspected her wrongly in being connected with this conspiracy, so I wish to help her if possible.
6544_231862_000004_000002	And after all," added Diana, "she is my father's wife," as if that fact extenuated all.	And after all," added Diana, "she is my father's wife," as if that fact extenuated all.
6544_231862_000005_000000	"He has reason to know it," replied Lucian bitterly.	"He has reason to know it," replied Lucian bitterly.
6544_231862_000005_000001	"If it had not been for Lydia, your father would not have left his home for a lunatic asylum, nor would Clear have been murdered."	"If it had not been for Lydia, your father would not have left his home for a lunatic asylum, nor would Clear have been murdered."
6544_231862_000007_000000	"Egad! that is true!" said Lucian, kissing her.	"Egad! that is true!" said Lucian, kissing her.
6544_231862_000007_000001	"It's an ill wind that blows nobody any good."	"It's an ill wind that blows nobody any good."
6544_231862_000008_000000	So Diana played the part of a Good Samaritan towards her stepmother, and helped her to bear the evil of being thrust into prison.	So Diana played the part of a Good Samaritan towards her stepmother, and helped her to bear the evil of being thrust into prison.
6544_231862_000008_000001	Lydia wrote to her father in Paris, but received no reply, and therefore was without a friend in the world save Diana.	Lydia wrote to her father in Paris, but received no reply, and therefore was without a friend in the world save Diana.
6544_231862_000008_000002	Later on she was admitted to bail, and Diana took her to the hotel in Kensington, there to wait for the arrival of Mr. Clyne.	Later on she was admitted to bail, and Diana took her to the hotel in Kensington, there to wait for the arrival of mr Clyne.
6544_231862_000009_000000	"I hope nothing is wrong with poppa," wept Lydia.	"I hope nothing is wrong with poppa," wept Lydia.
6544_231862_000010_000000	While she was thus waiting for her father, and Link in every way was seeking evidence against her, Mrs. Clear received an answer to her message.	While she was thus waiting for her father, and Link in every way was seeking evidence against her, mrs Clear received an answer to her message.
6544_231862_000011_000001	Affairs were about to be brought to a crisis, and as Link was the moving spirit in the matter, his vanity was sufficiently gratified as to make him quite amiable.	Affairs were about to be brought to a crisis, and as Link was the moving spirit in the matter, his vanity was sufficiently gratified as to make him quite amiable.
6544_231862_000012_000000	"We've got him this time, Mr. Denzil," he said, with enthusiasm.	"We've got him this time, mr Denzil," he said, with enthusiasm.
6544_231862_000012_000001	"You and I and a couple of policemen will go down to that house in Geneva Square--by the front, sir, by the front."	"You and I and a couple of policemen will go down to that house in Geneva Square-by the front, sir, by the front."
6544_231862_000013_000000	"Mrs. Clear, also?" questioned Lucian, wishing to be enlightened on all points.	"mrs Clear, also?" questioned Lucian, wishing to be enlightened on all points.
6544_231862_000014_000000	"No.	"no
6544_231862_000014_000001	She'll come in by the back, down the cellarway, as Wrent expects her to come.	She'll come in by the back, down the cellarway, as Wrent expects her to come.
6544_231862_000015_000000	"But won't the two be seen climbing over that fence in the daytime?" asked the barrister doubtfully.	"But won't the two be seen climbing over that fence in the daytime?" asked the barrister doubtfully.
6544_231862_000016_000000	"Who said anything about the daytime, Mr. Denzil?	"Who said anything about the daytime, mr Denzil?
6544_231862_000016_000001	I did not, and Wrent knows too much to risk himself at a time that he can be seen from the windows of the adjacent houses.	I did not, and Wrent knows too much to risk himself at a time that he can be seen from the windows of the adjacent houses.
6544_231862_000016_000002	No! no!	No! no!
