667_105002_000000_000001	THE FINGER ON THE WALL.	THE FINGER ON THE WALL.
667_105002_000000_000003	And it was characteristic of the forceful men, as well as the extreme nature of the conflict, that both were quiet in manner and speech--perhaps the mayor the more so, as he began the struggle by saying:	And it was characteristic of the forceful men, as well as the extreme nature of the conflict, that both were quiet in manner and speech-perhaps the mayor the more so, as he began the struggle by saying:
667_105002_000002_000000	Without a droop of his eye, or a tremor in his voice, the answer came short, sharp and emphatic:	Without a droop of his eye, or a tremor in his voice, the answer came short, sharp and emphatic:
667_105002_000006_000000	"True! yes, it is true.	"True! yes, it is true.
667_105002_000006_000001	But what does that truth involve for me?	But what does that truth involve for me?
667_105002_000006_000002	Not two weeks, but seven years of torture, five of them devoted to grief for her, loss, and two to rage and bitter revulsion against her whole sex when I found her alive, and myself the despised victim of her deception."	Not two weeks, but seven years of torture, five of them devoted to grief for her, loss, and two to rage and bitter revulsion against her whole sex when I found her alive, and myself the despised victim of her deception."
667_105002_000010_000000	"My political principles!" Oh, the irony of his voice, the triumph in his laugh!	"My political principles!" Oh, the irony of his voice, the triumph in his laugh!
667_105002_000010_000004	I am an adept at the glorification of the party, of the man that it suits my present exigencies to promote, but it is a faculty which should have made you pause before you trusted me with the furtherance and final success of a campaign which may outlast those exigencies.	I am an adept at the glorification of the party, of the man that it suits my present exigencies to promote, but it is a faculty which should have made you pause before you trusted me with the furtherance and final success of a campaign which may outlast those exigencies.
667_105002_000010_000005	I have not always been of your party; I am not so now at heart."	I have not always been of your party; I am not so now at heart."
667_105002_000012_000000	"Do you mean to say, you, that your work is a traitor's work?	"Do you mean to say, you, that your work is a traitor's work?
667_105002_000012_000001	That the glorification you speak of is false?	That the glorification you speak of is false?
667_105002_000012_000002	That you may talk in my favor, but that when you come to the issue, you will vote according to your heart; that is, for Stanton?"	That you may talk in my favor, but that when you come to the issue, you will vote according to your heart; that is, for Stanton?"
667_105002_000014_000000	The mayor flushed; indignation gave him vehemence.	The mayor flushed; indignation gave him vehemence.
667_105002_000015_000000	"Then," he cried, "I take back the word by which I qualified you a moment ago.	"Then," he cried, "I take back the word by which I qualified you a moment ago.
667_105002_000015_000001	You are not a villain, you are a dastard."	You are not a villain, you are a dastard."
667_105002_000018_000000	Then slowly and with a short look at her: "The woman who has queened it so long in C---- society can not wish to undergo the charge of bigamy?"	Then slowly and with a short look at her: "The woman who has queened it so long in C---- society can not wish to undergo the charge of bigamy?"
667_105002_000019_000000	"You will bring such a charge?"	"You will bring such a charge?"
667_105002_000021_000000	At this alternative, uttered with icy deliberation, Mrs. Packard recoiled with a sharp cry; but the mayor thrust a sudden sarcastic query at his opponent:	At this alternative, uttered with icy deliberation, mrs Packard recoiled with a sharp cry; but the mayor thrust a sudden sarcastic query at his opponent:
667_105002_000022_000000	"Which name?	"Which name?
