6981_70843_000001_000000	Chapter VIII	Chapter eight
6981_70843_000003_000002	From the top of a little hill outside the town could be seen the golden spires and many-coloured cupolas, the sprawling grey immensity of the capital spread along the dreary plain, and beyond, the steely Gulf of Finland.	From the top of a little hill outside the town could be seen the golden spires and many coloured cupolas, the sprawling grey immensity of the capital spread along the dreary plain, and beyond, the steely Gulf of Finland.
6981_70843_000004_000000	There was no battle.	There was no battle.
6981_70843_000004_000001	But Kerensky made a fatal blunder.	But Kerensky made a fatal blunder.
6981_70843_000004_000003	The soldiers replied that they would remain neutral, but would not disarm.	The soldiers replied that they would remain neutral, but would not disarm.
6981_70843_000004_000006	A few minutes later Cossack artillery opened fire on the barracks, killing eight men.	A few minutes later Cossack artillery opened fire on the barracks, killing eight men.
6981_70843_000005_000004	Occasionally an automobile passed in and out, flying the Red Cross flag.	Occasionally an automobile passed in and out, flying the Red Cross flag.
6981_70843_000006_000000	Albert Rhys Williams was in the Telephone Exchange.	Albert Rhys Williams was in the Telephone Exchange.
6981_70843_000007_000003	Some sailors ambushed behind wood-piles began shooting.	Some sailors ambushed behind wood piles began shooting.
6981_70843_000007_000005	In the archway where Miss Bryant stood seven people were shot dead, among them two little boys.	In the archway where Miss Bryant stood seven people were shot dead, among them two little boys.
6981_70843_000008_000001	The French Embassy promptly denied this, but one of the City Councillors told me that he himself had procured the officer's release from prison....	The French Embassy promptly denied this, but one of the City Councillors told me that he himself had procured the officer's release from prison....
6981_70843_000010_000002	Even the moving-picture shows, all outside lights dark, played to crowded houses.	Even the moving picture shows, all outside lights dark, played to crowded houses.
6981_70843_000013_000000	Frenzied by defeat and their heaps of dead, the Soviet troops opened a tornado of steel and flame against the battered building.	Frenzied by defeat and their heaps of dead, the Soviet troops opened a tornado of steel and flame against the battered building.
6981_70843_000013_000002	A Commissar from Smolny named Kirilov tried to halt it; he was threatened with lynching.	A Commissar from Smolny named Kirilov tried to halt it; he was threatened with lynching.
6981_70843_000013_000003	The Red Guards' blood was up.	The Red Guards' blood was up.
