6981_70843_000000_000000	Counter-revolution had begun...	Counter revolution had begun...	false	3.78	22.68	21.184944
6981_70843_000001_000000	Chapter VIII	Chapter eight	true	22.68	23.74	24.20227
6981_70843_000002_000000	Counter-Revolution	Counter Revolution	true	24.08	25.45	18.954771
6981_70843_000003_000000	Next morning, Sunday the 11th, the Cossacks entered Tsarskoye Selo, Kerensky (See App.	Next morning, Sunday the eleventh, the Cossacks entered Tsarskoye Selo, Kerensky (See App.	false	26.84	31.44	19.922832
6981_70843_000003_000001	VIII, Sect. 1) himself riding a white horse and all the church-bells clamouring.	eight, Sect. one) himself riding a white horse and all the church bells clamouring.	false	31.44	34.96	17
6981_70843_000003_000002	From the top of a little hill outside the town could be seen the golden spires and many-coloured cupolas, the sprawling grey immensity of the capital spread along the dreary plain, and beyond, the steely Gulf of Finland.	From the top of a little hill outside the town could be seen the golden spires and many coloured cupolas, the sprawling grey immensity of the capital spread along the dreary plain, and beyond, the steely Gulf of Finland.	true	35.75	47.98	21.103493
6981_70843_000004_000000	There was no battle.	There was no battle.	true	49.55	50.92	24.473246
6981_70843_000004_000001	But Kerensky made a fatal blunder.	But Kerensky made a fatal blunder.	true	51.17	53.14	22.092482
6981_70843_000004_000002	At seven in the morning he sent word to the Second Tsarskoye Selo Rifles to lay down their arms.	At seven in the morning he sent word to the Second Tsarskoye Selo Rifles to lay down their arms.	false	53.57	58.93	20
6981_70843_000004_000003	The soldiers replied that they would remain neutral, but would not disarm.	The soldiers replied that they would remain neutral, but would not disarm.	true	59.21	63.01	21
6981_70843_000004_000004	Kerensky gave them ten minutes in which to obey.	Kerensky gave them ten minutes in which to obey.	true	63.5	66.07	18.799837
6981_70843_000004_000005	This angered the soldiers; for eight months they had been governing themselves by committee, and this smacked of the old regime....	This angered the soldiers; for eight months they had been governing themselves by committee, and this smacked of the old regime....	true	66.29	72.91	18.1173
6981_70843_000004_000006	A few minutes later Cossack artillery opened fire on the barracks, killing eight men.	A few minutes later Cossack artillery opened fire on the barracks, killing eight men.	true	73.16	78.16	21.909105
