3228_4691_000000_000000	NOW, saith the tale, after Sir Gawaine departed, he rode many journeys, both toward and froward.	NOW, saith the tale, after Sir Gawaine departed, he rode many journeys, both toward and froward.	false	23.04	29.02	27.964712
3228_4691_000000_000001	And at the last he came to the abbey where Sir Galahad had the white shield, and there Sir Gawaine learned the way to sewe after Sir Galahad; and so he rode to the abbey where Melias lay sick, and there Sir Melias told Sir Gawaine of the marvellous adventures that Sir Galahad did.	And at the last he came to the abbey where Sir Galahad had the white shield, and there Sir Gawaine learned the way to sewe after Sir Galahad; and so he rode to the abbey where Melias lay sick, and there Sir Melias told Sir Gawaine of the marvellous adventures that Sir Galahad did.	false	29.15	44.97	21.91104
3228_4691_000000_000002	Certes, said Sir Gawaine, I am not happy that I took not the way that he went, for an I may meet with him I will not depart from him lightly, for all marvellous adventures Sir Galahad enchieveth.	Certes, said Sir Gawaine, I am not happy that I took not the way that he went, for an I may meet with him I will not depart from him lightly, for all marvellous adventures Sir Galahad enchieveth.	false	44.97	56.19	24.126364
3228_4691_000000_000003	Sir, said one of the monks, he will not of your fellowship. Why? said Sir Gawaine.	Sir, said one of the monks, he will not of your fellowship. Why? said Sir Gawaine.	false	56.19	61.23	22.061207
3228_4691_000000_000004	Sir, said he, for ye be wicked and sinful, and he is full blessed.	Sir, said he, for ye be wicked and sinful, and he is full blessed.	true	61.23	65.29	24.518824
3228_4691_000000_000005	Right as they thus stood talking there came in riding Sir Gareth.	Right as they thus stood talking there came in riding Sir Gareth.	true	65.51	69.13	20.908924
3228_4691_000000_000006	And then they made joy either of other.	And then they made joy either of other.	true	69.41	71.68	20.392359
3228_4691_000000_000007	And on the morn they heard mass, and so departed.	And on the morn they heard mass, and so departed.	true	71.84	74.745	16.919144
3228_4691_000000_000008	And by the way they met with Sir Uwaine les Avoutres, and there Sir Uwaine told Sir Gawaine how he had met with none adventure sith he departed from the court.	And by the way they met with Sir Uwaine les Avoutres, and there Sir Uwaine told Sir Gawaine how he had met with none adventure sith he departed from the court.	false	74.745	83.76	19.555876
3228_4691_000000_000009	Nor we, said Sir Gawaine.	Nor we, said Sir Gawaine.	false	83.76	85.71	20.795126
3228_4691_000000_000010	And either promised other of the three knights not to depart while they were in that quest, but if fortune caused it.	And either promised other of the three knights not to depart while they were in that quest, but if fortune caused it.	true	85.71	91.84	24
