3228_4691_000000_000004	Sir, said he, for ye be wicked and sinful, and he is full blessed.	Sir, said he, for ye be wicked and sinful, and he is full blessed.
3228_4691_000000_000005	Right as they thus stood talking there came in riding Sir Gareth.	Right as they thus stood talking there came in riding Sir Gareth.
3228_4691_000000_000006	And then they made joy either of other.	And then they made joy either of other.
3228_4691_000000_000010	And either promised other of the three knights not to depart while they were in that quest, but if fortune caused it.	And either promised other of the three knights not to depart while they were in that quest, but if fortune caused it.
3228_4691_000001_000002	And then they took the way under the castle, and there they lost the way that Sir Galahad rode, and there everych of them departed from other; and Sir Gawaine rode till he came to an hermitage, and there he found the good man saying his evensong of Our Lady; and there Sir Gawaine asked harbour for charity, and the good man granted it him gladly.	And then they took the way under the castle, and there they lost the way that Sir Galahad rode, and there everych of them departed from other; and Sir Gawaine rode till he came to an hermitage, and there he found the good man saying his evensong of Our Lady; and there Sir Gawaine asked harbour for charity, and the good man granted it him gladly.
3228_4691_000002_000000	Then the good man asked him what he was.	Then the good man asked him what he was.
3228_4691_000002_000005	For certes had ye not been so wicked as ye are, never had the seven brethren been slain by you and your two fellows.	For certes had ye not been so wicked as ye are, never had the seven brethren been slain by you and your two fellows.
3228_4691_000002_000006	For Sir Galahad himself alone beat them all seven the day to-fore, but his living is such he shall slay no man lightly. Also I may say you the Castle of Maidens betokeneth the good souls that were in prison afore the Incarnation of Jesu Christ.	For Sir Galahad himself alone beat them all seven the day to fore, but his living is such he shall slay no man lightly. Also I may say you the Castle of Maidens betokeneth the good souls that were in prison afore the Incarnation of Jesu Christ.
3228_4691_000003_000002	Well, said the good man, and then he held his peace.	Well, said the good man, and then he held his peace.
3228_4691_000003_000004	And by adventure he met with Sir Aglovale and Sir Griflet, two knights of the Table Round.	And by adventure he met with Sir Aglovale and Sir Griflet, two knights of the Table Round.
3228_4691_000003_000005	And they two rode four days without finding of any adventure, and at the fifth day they departed. And everych held as fell them by adventure.	And they two rode four days without finding of any adventure, and at the fifth day they departed. And everych held as fell them by adventure.
3228_4691_000004_000000	CHAPTER XVII.	CHAPTER seventeen.
3228_4691_000005_000000	So when Sir Galahad was departed from the Castle of Maidens he rode till he came to a waste forest, and there he met with Sir Launcelot and Sir Percivale, but they knew him not, for he was new disguised.	So when Sir Galahad was departed from the Castle of Maidens he rode till he came to a waste forest, and there he met with Sir Launcelot and Sir Percivale, but they knew him not, for he was new disguised.
3228_4691_000005_000001	Right so Sir Launcelot, his father, dressed his spear and brake it upon Sir Galahad, and Galahad smote him so again that he smote down horse and man.	Right so Sir Launcelot, his father, dressed his spear and brake it upon Sir Galahad, and Galahad smote him so again that he smote down horse and man.
