1222_133834_000000_000000	CHAPTER VI THE STARLIGHT	CHAPTER six THE STARLIGHT	false	25.14	29.65	21.52492
1222_133834_000001_000000	THE Sunday was a bright Sunday in autumn, clear and cool, when early in the morning Sissy and Rachael met, to walk in the country.	THE Sunday was a bright Sunday in autumn, clear and cool, when early in the morning Sissy and Rachael met, to walk in the country.	true	30.5	37.99	21
1222_133834_000002_000000	As Coketown cast ashes not only on its own head but on the neighbourhood’s too—after the manner of those pious persons who do penance for their own sins by putting other people into sackcloth—it was customary for those who now and then thirsted for a draught of pure air, which is not absolutely the most wicked among the vanities of life, to get a few miles away by the railroad, and then begin their walk, or their lounge in the fields.	As Coketown cast ashes not only on its own head but on the neighbourhood's too—after the manner of those pious persons who do penance for their own sins by putting other people into sackcloth—it was customary for those who now and then thirsted for a draught of pure air, which is not absolutely the most wicked among the vanities of life, to get a few miles away by the railroad, and then begin their walk, or their lounge in the fields.	false	38.63	63.19	20.58584
1222_133834_000002_000001	Sissy and Rachael helped themselves out of the smoke by the usual means, and were put down at a station about midway between the town and Mr. Bounderby’s retreat.	Sissy and Rachael helped themselves out of the smoke by the usual means, and were put down at a station about midway between the town and mr Bounderby's retreat.	true	64.07	72.76	19
1222_133834_000003_000000	Though the green landscape was blotted here and there with heaps of coal, it was green elsewhere, and there were trees to see, and there were larks singing (though it was Sunday), and there were pleasant scents in the air, and all was over-arched by a bright blue sky.	Though the green landscape was blotted here and there with heaps of coal, it was green elsewhere, and there were trees to see, and there were larks singing (though it was Sunday), and there were pleasant scents in the air, and all was over arched by a bright blue sky.	true	73.49	87.67	21
1222_133834_000003_000001	In the distance one way, Coketown showed as a black mist; in another distance hills began to rise; in a third, there was a faint change in the light of the horizon where it shone upon the far-off sea.	In the distance one way, Coketown showed as a black mist; in another distance hills began to rise; in a third, there was a faint change in the light of the horizon where it shone upon the far off sea.	true	88.25	99.52	19.977926
1222_133834_000003_000002	Under their feet, the grass was fresh; beautiful shadows of branches flickered upon it, and speckled it; hedgerows were luxuriant; everything was at peace.	Under their feet, the grass was fresh; beautiful shadows of branches flickered upon it, and speckled it; hedgerows were luxuriant; everything was at peace.	true	100.16	109.3	20.236479
1222_133834_000003_000003	Engines at pits’ mouths, and lean old horses that had worn the circle of their daily labour into the ground, were alike quiet; wheels had ceased for a short space to turn; and the great wheel of earth seemed to revolve without the shocks and noises of another time.	Engines at pits' mouths, and lean old horses that had worn the circle of their daily labour into the ground, were alike quiet; wheels had ceased for a short space to turn; and the great wheel of earth seemed to revolve without the shocks and noises of another time.	true	109.82	125.83	21.377844
1222_133834_000004_000000	They walked on across the fields and down the shady lanes, sometimes getting over a fragment of a fence so rotten that it dropped at a touch of the foot, sometimes passing near a wreck of bricks and beams overgrown with grass, marking the site of deserted works.	They walked on across the fields and down the shady lanes, sometimes getting over a fragment of a fence so rotten that it dropped at a touch of the foot, sometimes passing near a wreck of bricks and beams overgrown with grass, marking the site of deserted works.	true	126.86	140.92	21
1222_133834_000004_000001	They followed paths and tracks, however slight.	They followed paths and tracks, however slight.	true	141.38	144.19	23.375366
1222_133834_000004_000002	Mounds where the grass was rank and high, and where brambles, dock-weed, and such-like vegetation, were confusedly heaped together, they always avoided; for dismal stories were told in that country of the old pits hidden beneath such indications.	Mounds where the grass was rank and high, and where brambles, dock weed, and such like vegetation, were confusedly heaped together, they always avoided; for dismal stories were told in that country of the old pits hidden beneath such indications.	false	144.71	158.71	20.654438
1222_133834_000005_000000	The sun was high when they sat down to rest.	The sun was high when they sat down to rest.	true	159.5	161.92	18.026922
1222_133834_000005_000001	They had seen no one, near or distant, for a long time; and the solitude remained unbroken.	They had seen no one, near or distant, for a long time; and the solitude remained unbroken.	true	162.08	167.41	20
1222_133834_000005_000002	‘It is so still here, Rachael, and the way is so untrodden, that I think we must be the first who have been here all the summer.’	'It is so still here, Rachael, and the way is so untrodden, that I think we must be the first who have been here all the summer.'	true	168.2	175.39	19
1222_133834_000006_000000	As Sissy said it, her eyes were attracted by another of those rotten fragments of fence upon the ground.	As Sissy said it, her eyes were attracted by another of those rotten fragments of fence upon the ground.	true	175.88	181.54	20.947485
1222_133834_000006_000001	She got up to look at it.	She got up to look at it.	true	181.67	183.19	24.037878
1222_133834_000006_000002	‘And yet I don’t know.	'And yet I don't know.	true	183.65	184.99	17.516598
1222_133834_000006_000003	This has not been broken very long.	This has not been broken very long.	true	185.18	187.02	14
1222_133834_000006_000004	The wood is quite fresh where it gave way.	The wood is quite fresh where it gave way.	false	187.02	189.4	23.644743
1222_133834_000006_000005	Here are footsteps too.—O Rachael!’	Here are footsteps too.—O Rachael!'	true	189.47	192.19	23.150764
1222_133834_000007_000000	She ran back, and caught her round the neck.	She ran back, and caught her round the neck.	true	192.53	194.59	24.11273
1222_133834_000007_000001	Rachael had already started up.	Rachael had already started up.	true	194.69	196.42	21.837463
1222_133834_000008_000000	‘What is the matter?’	'What is the matter?'	true	196.82	197.92	24
1222_133834_000009_000000	‘I don’t know.	'I don't know.	true	198.23	199.17	34.760883
1222_133834_000009_000001	There is a hat lying in the grass.’ They went forward together.	There is a hat lying in the grass.' They went forward together.	true	199.17	203.14	23.449215
1222_133834_000009_000002	Rachael took it up, shaking from head to foot.	Rachael took it up, shaking from head to foot.	true	203.3	205.935	24.195522
