2229_152864_000000_000000	"A man can do nothing he is not fit to do.--See! did I not tell you Mara would do her part?"	"A man can do nothing he is not fit to do.--See! did I not tell you Mara would do her part?"	false	0	4.71	19.280151
2229_152864_000001_000000	I looked whither he pointed, and saw a white spot moving at an acute angle with the line taken by the leopardess.	I looked whither he pointed, and saw a white spot moving at an acute angle with the line taken by the leopardess.	false	4.71	6.6	12
2229_152864_000002_000000	"There she is!" he cried.	"There she is!" he cried.	false	6.6	7.14	5
2229_152864_000002_000001	"The spotted leopardess is strong, but the white is stronger!"	"The spotted leopardess is strong, but the white is stronger!"	false	7.14	7.95	14
2229_152864_000003_000000	"I have seen them fight: the combat did not appear decisive as to that."	"I have seen them fight: the combat did not appear decisive as to that."	false	7.95	9.12	34.702152
2229_152864_000004_000000	"How should such eyes tell which have never slept?	"How should such eyes tell which have never slept?	false	9.12	9.84	7
2229_152864_000004_000001	The princess did not confess herself beaten--that she never does--but she fled!	The princess did not confess herself beaten-that she never does-but she fled!	false	9.84	11.01	22
2229_152864_000004_000002	When she confesses her last hope gone, that it is indeed hard to kick against the goad, then will her day begin to dawn!	When she confesses her last hope gone, that it is indeed hard to kick against the goad, then will her day begin to dawn!	false	11.01	16.92	23.555588
2229_152864_000004_000003	Come; come!	Come; come!	false	16.92	17.52	-20
2229_152864_000004_000004	He who cannot act must make haste to sleep!"	He who cannot act must make haste to sleep!"	false	17.52	20.31	19.980568
2229_152864_000005_000000	CHAPTER XXXI.	CHAPTER thirty one.	true	20.31	21.61	19.802765
2229_152864_000005_000001	THE SEXTON'S OLD HORSE	THE SEXTON'S OLD HORSE	true	21.83	23.89	24.991615
2229_152864_000006_000000	I stood and watched the last gleam of the white leopardess melt away, then turned to follow my guide--but reluctantly.	I stood and watched the last gleam of the white leopardess melt away, then turned to follow my guide-but reluctantly.	true	26.03	33.58	23.303898
2229_152864_000006_000001	What had I to do with sleep?	What had I to do with sleep?	true	34.37	36.55	23.49709
2229_152864_000006_000002	Surely reason was the same in every world, and what reason could there be in going to sleep with the dead, when the hour was calling the live man?	Surely reason was the same in every world, and what reason could there be in going to sleep with the dead, when the hour was calling the live man?	true	36.71	45.04	17
2229_152864_000006_000003	Besides, no one would wake me, and how could I be certain of waking early--of waking at all?--the sleepers in that house let morning glide into noon, and noon into night, nor ever stirred!	Besides, no one would wake me, and how could I be certain of waking early-of waking at all?--the sleepers in that house let morning glide into noon, and noon into night, nor ever stirred!	true	45.59	59.11	22.777908
2229_152864_000006_000004	I murmured, but followed, for I knew not what else to do.	I murmured, but followed, for I knew not what else to do.	true	59.69	63.49	26.043558
2229_152864_000007_000000	The librarian walked on in silence, and I walked silent as he.	The librarian walked on in silence, and I walked silent as he.	true	65	69.1	20
2229_152864_000007_000001	Time and space glided past us.	Time and space glided past us.	true	69.8	72.1	24
2229_152864_000007_000002	The sun set; it began to grow dark, and I felt in the air the spreading cold of the chamber of death.	The sun set; it began to grow dark, and I felt in the air the spreading cold of the chamber of death.	true	72.53	79.24	24.233517
2229_152864_000007_000003	My heart sank lower and lower.	My heart sank lower and lower.	true	80.18	82.48	21.233185
2229_152864_000007_000004	I began to lose sight of the lean, long-coated figure, and at length could no more hear his swishing stride through the heather. But then I heard instead the slow-flapping wings of the raven; and, at intervals, now a firefly, now a gleaming butterfly rose into the rayless air.	I began to lose sight of the lean, long coated figure, and at length could no more hear his swishing stride through the heather. But then I heard instead the slow flapping wings of the raven; and, at intervals, now a firefly, now a gleaming butterfly rose into the rayless air.	true	82.73	100.63	20.923225
2229_152864_000008_000000	By and by the moon appeared, slow crossing the far horizon.	By and by the moon appeared, slow crossing the far horizon.	true	102.2	106.45	22.503908
2229_152864_000009_000000	"You are tired, are you not, Mr. Vane?" said the raven, alighting on a stone.	"You are tired, are you not, mr Vane?" said the raven, alighting on a stone.	true	108.53	113.56	24.162773
2229_152864_000009_000001	"You must make acquaintance with the horse that will carry you in the morning!"	"You must make acquaintance with the horse that will carry you in the morning!"	true	113.81	117.46	23.227158
2229_152864_000010_000000	He gave a strange whistle through his long black beak.	He gave a strange whistle through his long black beak.	true	118.85	121.99	20.419628
2229_152864_000010_000001	A spot appeared on the face of the half-risen moon.	A spot appeared on the face of the half risen moon.	true	122.21	125.19	21.77681
