2229_152864_000005_000001	THE SEXTON'S OLD HORSE	THE SEXTON'S OLD HORSE
2229_152864_000006_000000	I stood and watched the last gleam of the white leopardess melt away, then turned to follow my guide--but reluctantly.	I stood and watched the last gleam of the white leopardess melt away, then turned to follow my guide-but reluctantly.
2229_152864_000006_000001	What had I to do with sleep?	What had I to do with sleep?
2229_152864_000006_000003	Besides, no one would wake me, and how could I be certain of waking early--of waking at all?--the sleepers in that house let morning glide into noon, and noon into night, nor ever stirred!	Besides, no one would wake me, and how could I be certain of waking early-of waking at all?--the sleepers in that house let morning glide into noon, and noon into night, nor ever stirred!
2229_152864_000006_000004	I murmured, but followed, for I knew not what else to do.	I murmured, but followed, for I knew not what else to do.
2229_152864_000007_000000	The librarian walked on in silence, and I walked silent as he.	The librarian walked on in silence, and I walked silent as he.
2229_152864_000007_000001	Time and space glided past us.	Time and space glided past us.
2229_152864_000007_000002	The sun set; it began to grow dark, and I felt in the air the spreading cold of the chamber of death.	The sun set; it began to grow dark, and I felt in the air the spreading cold of the chamber of death.
2229_152864_000007_000003	My heart sank lower and lower.	My heart sank lower and lower.
2229_152864_000007_000004	I began to lose sight of the lean, long-coated figure, and at length could no more hear his swishing stride through the heather. But then I heard instead the slow-flapping wings of the raven; and, at intervals, now a firefly, now a gleaming butterfly rose into the rayless air.	I began to lose sight of the lean, long coated figure, and at length could no more hear his swishing stride through the heather. But then I heard instead the slow flapping wings of the raven; and, at intervals, now a firefly, now a gleaming butterfly rose into the rayless air.
2229_152864_000008_000000	By and by the moon appeared, slow crossing the far horizon.	By and by the moon appeared, slow crossing the far horizon.
2229_152864_000009_000000	"You are tired, are you not, Mr. Vane?" said the raven, alighting on a stone.	"You are tired, are you not, mr Vane?" said the raven, alighting on a stone.
2229_152864_000009_000001	"You must make acquaintance with the horse that will carry you in the morning!"	"You must make acquaintance with the horse that will carry you in the morning!"
2229_152864_000010_000000	He gave a strange whistle through his long black beak.	He gave a strange whistle through his long black beak.
2229_152864_000010_000001	A spot appeared on the face of the half-risen moon.	A spot appeared on the face of the half risen moon.
2229_152864_000010_000002	To my ears came presently the drumming of swift, soft-galloping hoofs, and in a minute or two, out of the very disc of the moon, low-thundered the terrible horse.	To my ears came presently the drumming of swift, soft galloping hoofs, and in a minute or two, out of the very disc of the moon, low thundered the terrible horse.
2229_152864_000010_000003	His mane flowed away behind him like the crest of a wind-fighting wave, torn seaward in hoary spray, and the whisk of his tail kept blinding the eye of the moon.	His mane flowed away behind him like the crest of a wind fighting wave, torn seaward in hoary spray, and the whisk of his tail kept blinding the eye of the moon.
